Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
SG,Jordan McRae,3000,Cle@Cha 07:00PM ET,7.132,Cle,0,0,9.450,2.062,8.562,11.000,18.000,18.000,0.026,0.000,210.500
SF,Mike Dunleavy,3000,Cle@Cha 07:00PM ET,9.293,Cle,0,0,8.964,5.077,11.562,0.750,22.000,18.000,0.089,0.000,210.500
SF,Treveon Graham,3000,Cle@Cha 07:00PM ET,4.107,Cha,1,0,4.250,0.750,3.500,1.000,27.000,18.000,0.013,1.000,210.500
PF/C,Spencer Hawes,3000,Cle@Cha 07:00PM ET,15.804,Cha,1,0,16.571,8.583,7.688,12.250,10.000,18.000,0.406,1.000,210.500
PF,Christian Wood,3000,Cle@Cha 07:00PM ET,2.500,Cha,1,0,0.000,0.000,0.000,0.000,14.000,18.000,,1.000,210.500
C,Chris Andersen,3000,Cle@Cha 07:00PM ET,7.979,Cle,0,0,7.688,4.607,8.312,11.000,25.000,18.000,0.035,0.000,210.500
C,Roy Hibbert,3000,Cle@Cha 07:00PM ET,13.287,Cha,1,0,14.500,8.883,13.375,10.500,6.000,18.000,0.269,1.000,210.500
PG,Bobby Brown,3000,NY@Hou 08:00PM ET,0.656,Hou,1,0,1.333,0.000,1.312,0.000,14.000,18.000,0.003,0.000,224.500
PG,Tyler Ennis,3000,NY@Hou 08:00PM ET,5.463,Hou,1,0,3.786,2.182,5.375,1.250,14.000,18.000,0.010,0.000,224.500
SG/SF,Corey Brewer,3000,NY@Hou 08:00PM ET,8.934,Hou,1,0,8.393,5.105,12.812,21.250,19.750,18.000,0.053,0.000,224.500
SG,Sasha Vujacic,3000,NY@Hou 08:00PM ET,5.463,NY,0,0,5.250,0.650,5.688,11.000,27.000,18.000,0.019,12.500,224.500
SG,Ron Baker,3000,NY@Hou 08:00PM ET,7.050,NY,0,0,8.125,3.458,9.188,0.750,27.000,18.000,0.052,12.500,224.500
SF/PF,Lance Thomas,3000,NY@Hou 08:00PM ET,8.071,NY,0,0,6.929,5.125,4.562,6.750,19.750,18.000,0.021,12.500,224.500
SF,K.J. McDaniels,3000,NY@Hou 08:00PM ET,6.213,Hou,1,0,2.607,2.250,2.375,0.000,15.000,18.000,0.034,0.000,224.500
SF,Mindaugas Kuzminskas,3000,NY@Hou 08:00PM ET,8.019,NY,0,0,7.143,4.071,5.438,-0.500,24.000,18.000,0.042,12.500,224.500
PF,Kyle Wiltjer,3000,NY@Hou 08:00PM ET,2.306,Hou,1,0,4.833,0.375,1.000,3.250,20.000,18.000,0.006,0.000,224.500
PF,Maurice Ndour,3000,NY@Hou 08:00PM ET,5.231,NY,0,0,5.042,2.833,4.625,4.500,15.500,18.000,0.003,12.500,224.500
C,Marshall Plumlee,3000,NY@Hou 08:00PM ET,5.000,NY,0,0,6.875,0.625,5.000,0.000,26.000,18.000,0.105,12.500,224.500
C,Guillermo Hernangomez,3000,NY@Hou 08:00PM ET,13.519,NY,0,0,15.750,5.667,7.188,4.000,26.000,18.000,0.332,12.500,224.500
