Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,NN,RF,Final
C,Jahlil Okafor,4600,Phi@Dal 08:30PM ET,21.219,Phi,0,0,22.500,13.019,25.688,22.500,7.000,27.600,0.225,6.500,206.000,-6.674,22.656,20.897,18.250
SG,Jamal Crawford,4600,LAC@Pho 09:00PM ET,19.427,LAC,0,0,21.321,12.365,24.250,12.750,15.000,27.600,0.187,-2.500,219.500,4.850,21.862,17.900,28.750
SG,Tony Allen,4500,Mem@Den 09:00PM ET,22.360,Mem,0,0,22.536,16.062,22.312,20.750,29.000,27.000,0.297,-3.500,214.500,1.323,22.870,25.575,11.750
PF,Jon Leuer,4400,NO@Det 07:30PM ET,22.595,Det,1,1,24.179,15.653,21.500,22.000,26.500,26.400,0.315,-7.500,211.500,-0.794,22.983,23.150,11.500
PF,Trevor Booker,4400,NY@Bkn 07:30PM ET,27.157,Bkn,1,0,24.214,20.010,17.812,27.000,20.000,26.400,0.532,2.500,223.500,7.672,22.282,20.488,29.000
SF,Wayne Ellington,4400,Atl@Mia 07:30PM ET,18.595,Mia,1,0,20.607,10.482,22.688,4.000,26.000,26.400,0.212,-1.000,205.000,-15.041,20.969,11.894,14.500
SF/PF,Dario Saric,4400,Phi@Dal 08:30PM ET,21.011,Phi,0,0,20.000,13.114,21.812,32.250,4.500,26.400,0.277,6.500,206.000,-9008.674,20.303,22.550,23.250
PG/SG,Matthew Dellavedova,4400,Mil@Uta 09:00PM ET,19.804,Mil,0,0,14.643,13.667,24.000,27.250,3.500,26.400,0.197,7.500,198.000,-9014.317,20.928,18.472,17.250
SF,T.J. Warren,4400,LAC@Pho 09:00PM ET,22.171,Pho,1,0,17.321,11.472,18.875,19.250,21.000,26.400,0.370,2.500,219.500,4.850,20.852,20.831,11.750
PF/C,Kelly Olynyk,4300,Tor@Bos 07:30PM ET,19.137,Bos,1,0,19.214,11.905,20.375,14.000,15.750,25.800,0.232,-6.000,215.000,1.675,20.011,17.800,0.000
PG,Emmanuel Mudiay,4300,Mem@Den 09:00PM ET,24.293,Den,1,1,25.536,14.405,26.188,9.500,8.000,25.800,0.450,3.500,214.500,-10.622,24.178,24.144,31.000
C,Robin Lopez,4300,Chi@OKC 09:30PM ET,22.628,Chi,0,0,19.750,16.083,20.750,44.000,12.000,25.800,0.345,3.500,206.500,-4.321,20.890,22.581,18.500
