Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final
SF/PF,Richard Jefferson,3000,Cle@GS 08:00PM ET,10.032,Cle,0,0,5.964,5.977,5.938,0.000,5.295,14.750,18.000,228.500,8.000,17.500
PF,David West,3000,Cle@GS 08:00PM ET,12.269,GS,1,0,11.679,7.287,12.000,0.000,9.295,15.000,18.000,228.500,-8.000,14.500
PF,Kevon Looney,3000,Cle@GS 08:00PM ET,8.025,GS,1,0,7.143,3.824,1.812,0.000,9.295,15.000,18.000,228.500,-8.000,8.750
C,Chris Andersen,3000,Cle@GS 08:00PM ET,7.979,Cle,0,1,7.688,4.607,8.312,0.000,5.295,24.000,18.000,228.500,8.000,0.000
C,Anderson Varejao,3000,Cle@GS 08:00PM ET,5.825,GS,1,0,5.464,2.917,5.875,0.000,-8990.705,6.000,18.000,228.500,-8.000,0.000
C,JaVale McGee,3000,Cle@GS 08:00PM ET,10.111,GS,1,0,8.857,4.588,8.375,0.000,-8990.705,6.000,18.000,228.500,-8.000,8.750
PG,Semaj Christon,3000,OKC@LAC 10:30PM ET,9.081,OKC,0,0,10.429,4.809,10.312,0.000,-9054.686,3.000,18.000,214.500,8.000,0.000
PG,Cameron Payne,3000,OKC@LAC 10:30PM ET,9.800,OKC,0,0,11.000,6.500,9.125,0.000,-9004.465,3.000,18.000,214.500,8.000,12.000
SG/SF,Alex Abrines,3000,OKC@LAC 10:30PM ET,9.407,OKC,0,0,11.143,4.222,10.125,0.000,-9004.465,12.250,18.000,214.500,8.000,7.000
SG,Alan Anderson,3000,OKC@LAC 10:30PM ET,5.250,LAC,1,0,3.393,2.450,8.750,0.000,-9000.465,10.000,18.000,214.500,-8.000,7.750
SG,Anthony Morrow,3000,OKC@LAC 10:30PM ET,8.759,OKC,0,0,7.464,4.044,5.125,0.000,-9004.465,10.000,18.000,214.500,8.000,5.500
SF/PF,Jerami Grant,3000,OKC@LAC 10:30PM ET,12.951,OKC,0,0,10.929,9.000,10.562,0.000,-9004.465,9.500,18.000,214.500,8.000,27.000
