Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PF,Jared Dudley,3300,Tor@Pho 09:00PM ET,17.371,Pho,1,0,16.821,11.600,10.438,22.000,19.800,5.750,0.375,223.000,8.500,-0.195,0.000
SF,Brandon Ingram,3300,Dal@LAL 10:30PM ET,16.850,LAL,1,0,14.036,11.868,13.438,3.000,19.800,12.000,0.325,205.000,-4.000,-9001.628,12.000
SG,Alex Abrines,3200,OKC@Mem 08:00PM ET,8.260,OKC,0,0,11.571,3.577,14.438,6.500,19.200,13.750,0.057,197.500,1.000,-9007.057,13.750
SG/SF,Joe Johnson,3200,Phi@Uta 09:00PM ET,16.523,Uta,1,0,14.107,8.857,10.438,19.000,19.200,12.500,0.370,196.500,-14.500,-7.780,12.500
SF,Dorian Finney-Smith,3200,Dal@LAL 10:30PM ET,12.089,Dal,0,0,13.393,6.961,12.062,28.000,19.200,21.750,0.214,205.000,4.000,-1.628,21.750
SF,Justin Anderson,3200,Dal@LAL 10:30PM ET,15.750,Dal,0,0,11.357,10.141,15.312,28.000,19.200,8.000,0.310,205.000,4.000,-9.044,8.000
PF,Thomas Robinson,3200,Dal@LAL 10:30PM ET,11.057,LAL,1,0,15.321,4.979,19.438,3.000,19.200,23.500,0.187,205.000,-4.000,-9001.628,23.500
SF/PF,Richard Jefferson,3100,Bos@Cle 08:00PM ET,10.017,Cle,1,0,11.893,6.422,10.062,18.500,18.600,16.250,0.056,217.000,-6.000,7.057,16.250
PF,Marquese Chriss,3100,Tor@Pho 09:00PM ET,13.813,Pho,1,0,15.643,9.042,14.125,22.000,18.600,11.000,0.241,223.000,8.500,7.399,11.000
PG,Brian Roberts,3000,Mia@Cha 07:00PM ET,3.656,Cha,1,0,2.800,0.562,5.250,6.000,18.000,5.000,0.012,204.500,-6.000,-9001.990,0.000
PG,Aaron Harrison,3000,Mia@Cha 07:00PM ET,1.625,Cha,1,0,1.333,0.625,1.625,6.000,18.000,1.250,0.024,204.500,-6.000,-9001.990,0.000
SG,Rodney McGruder,3000,Mia@Cha 07:00PM ET,14.509,Mia,0,0,17.607,7.732,11.500,20.000,18.000,6.250,0.308,204.500,6.000,-9.490,6.250
SF,Luke Babbitt,3000,Mia@Cha 07:00PM ET,7.781,Mia,0,0,9.714,3.192,10.062,23.000,18.000,16.750,0.060,204.500,6.000,-1.990,16.750
SF,Treveon Graham,3000,Mia@Cha 07:00PM ET,4.107,Cha,1,0,4.250,0.750,3.500,10.500,18.000,1.000,0.013,204.500,-6.000,-9001.990,0.000
PF/C,Spencer Hawes,3000,Mia@Cha 07:00PM ET,15.804,Cha,1,0,16.571,8.583,7.688,12.000,18.000,12.250,0.406,204.500,-6.000,-9001.990,0.000
PF,Josh McRoberts,3000,Mia@Cha 07:00PM ET,13.523,Mia,0,0,15.393,8.917,9.188,13.000,18.000,10.000,0.234,204.500,6.000,-9001.990,0.000
PF,Derrick Williams,3000,Mia@Cha 07:00PM ET,12.069,Mia,0,0,13.250,7.425,12.875,13.000,18.000,13.500,0.183,204.500,6.000,-9001.990,0.000
C,Udonis Haslem,3000,Mia@Cha 07:00PM ET,2.444,Mia,0,0,3.750,0.958,2.500,25.000,18.000,0.000,0.008,204.500,6.000,-1.990,0.000
C,Roy Hibbert,3000,Mia@Cha 07:00PM ET,13.317,Cha,1,0,14.500,8.883,13.375,17.000,18.000,10.500,0.269,204.500,-6.000,-1.990,10.500
PG,Semaj Christon,3000,OKC@Mem 08:00PM ET,9.032,OKC,0,0,11.000,4.667,9.312,8.000,18.000,14.750,0.048,197.500,1.000,-9007.057,14.750
PG,Wade Baldwin IV,3000,OKC@Mem 08:00PM ET,10.138,Mem,1,0,9.214,3.896,3.438,22.500,18.000,7.250,0.201,197.500,-1.000,-7.057,7.250
SG/SF,Vince Carter,3000,OKC@Mem 08:00PM ET,17.602,Mem,1,0,16.821,13.235,16.875,9.000,18.000,21.000,0.485,197.500,-1.000,-9007.057,21.000
SG,Anthony Morrow,3000,OKC@Mem 08:00PM ET,9.404,OKC,0,0,9.750,4.217,5.062,6.500,18.000,4.000,0.103,197.500,1.000,-9007.057,4.000
SG,Troy Daniels,3000,OKC@Mem 08:00PM ET,14.663,Mem,1,0,18.036,6.500,19.000,11.000,18.000,31.750,0.418,197.500,-1.000,-9007.057,31.750
SG,Troy Williams,3000,OKC@Mem 08:00PM ET,10.720,Mem,1,0,12.964,2.729,4.188,11.000,18.000,0.000,0.234,197.500,-1.000,-9016.365,0.000
SF,Kyle Singler,3000,OKC@Mem 08:00PM ET,4.375,OKC,0,0,4.893,1.333,2.250,6.000,18.000,2.000,0.001,197.500,1.000,-9007.057,2.000
PF/C,Joffrey Lauvergne,3000,OKC@Mem 08:00PM ET,13.304,OKC,0,0,11.036,7.662,8.500,2.500,18.000,-0.500,0.253,197.500,1.000,-9014.763,-0.500
PF/C,Jarell Martin,3000,OKC@Mem 08:00PM ET,11.220,Mem,1,0,12.393,4.971,7.375,14.250,18.000,1.250,0.176,197.500,-1.000,-14.567,1.250
PF,Domantas Sabonis,3000,OKC@Mem 08:00PM ET,14.688,OKC,0,0,15.536,9.972,16.750,4.000,18.000,13.250,0.313,197.500,1.000,-9007.057,13.250
PF,Deyonta Davis,3000,OKC@Mem 08:00PM ET,5.881,Mem,1,0,7.286,2.062,4.750,16.500,18.000,11.000,0.041,197.500,-1.000,-7.057,0.000
C,Nick Collison,3000,OKC@Mem 08:00PM ET,3.944,OKC,0,0,5.850,0.500,7.062,1.000,18.000,7.000,0.012,197.500,1.000,-9007.057,7.000
PG,Demetrius Jackson,3000,Bos@Cle 08:00PM ET,5.000,Bos,0,0,2.375,1.583,5.000,20.000,18.000,2.750,0.082,217.000,6.000,7.057,0.000
PG,Terry Rozier,3000,Bos@Cle 08:00PM ET,14.442,Bos,0,0,13.929,8.897,5.250,20.000,18.000,9.000,0.318,217.000,6.000,7.057,0.000
PG,Kay Felder,3000,Bos@Cle 08:00PM ET,9.911,Cle,1,0,8.036,4.778,16.938,25.500,18.000,19.250,0.168,217.000,-6.000,7.057,0.000
SG,James Jones,3000,Bos@Cle 08:00PM ET,4.736,Cle,1,0,3.071,1.792,2.062,14.000,18.000,3.250,0.014,217.000,-6.000,7.057,0.000
SG,Gerald Green,3000,Bos@Cle 08:00PM ET,10.583,Bos,0,0,8.393,5.472,17.750,28.000,18.000,13.000,0.177,217.000,6.000,7.057,13.000
SG,DeAndre Liggins,3000,Bos@Cle 08:00PM ET,8.318,Cle,1,0,8.786,2.432,6.438,14.000,18.000,10.500,0.082,217.000,-6.000,7.057,10.500
SG,Jordan McRae,3000,Bos@Cle 08:00PM ET,7.132,Cle,1,0,6.179,2.062,8.562,14.000,18.000,11.000,0.026,217.000,-6.000,7.057,0.000
SG,James Young,3000,Bos@Cle 08:00PM ET,3.523,Bos,0,0,4.750,0.594,2.125,28.000,18.000,1.250,0.033,217.000,6.000,7.057,0.000
SF,Mike Dunleavy,3000,Bos@Cle 08:00PM ET,9.682,Cle,1,0,10.071,5.077,11.562,13.000,18.000,0.750,0.089,217.000,-6.000,-8999.168,0.750
SF,Jaylen Brown,3000,Bos@Cle 08:00PM ET,9.289,Bos,0,0,8.286,4.592,6.375,27.000,18.000,11.250,0.126,217.000,6.000,7.057,11.250
PF,Jonas Jerebko,3000,Bos@Cle 08:00PM ET,11.125,Bos,0,0,9.357,7.206,11.000,14.500,18.000,25.750,0.134,217.000,6.000,7.057,25.750
PF,Jordan Mickey,3000,Bos@Cle 08:00PM ET,5.306,Bos,0,0,6.200,1.812,5.500,14.500,18.000,7.750,0.014,217.000,6.000,7.057,0.000
C,Chris Andersen,3000,Bos@Cle 08:00PM ET,7.979,Cle,1,0,8.714,4.607,8.312,20.000,18.000,11.000,0.035,217.000,-6.000,7.057,0.000
C,Tyler Zeller,3000,Bos@Cle 08:00PM ET,10.548,Bos,0,0,8.071,3.650,3.125,7.000,18.000,8.000,0.215,217.000,6.000,-8992.943,8.000
PG,Raul Neto,3000,Phi@Uta 09:00PM ET,5.016,Uta,1,0,5.286,1.159,5.375,9.000,18.000,0.000,0.022,196.500,-14.500,-9007.780,0.000
PG,Dante Exum,3000,Phi@Uta 09:00PM ET,12.446,Uta,1,0,13.643,6.682,10.188,9.000,18.000,6.750,0.172,196.500,-14.500,-9007.780,0.000
SG/SF,Hollis Thompson,3000,Phi@Uta 09:00PM ET,12.116,Phi,0,0,8.929,7.850,7.000,1.000,18.000,10.250,0.239,196.500,14.500,-9011.780,10.250
SG,Nik Stauskas,3000,Phi@Uta 09:00PM ET,16.875,Phi,0,0,19.750,10.692,16.625,1.000,18.000,24.250,0.452,196.500,14.500,-9011.780,24.250
SG,Timothe Luwawu-Cabarrot,3000,Phi@Uta 09:00PM ET,4.611,Phi,0,0,5.393,1.525,2.625,1.000,18.000,0.750,0.002,196.500,14.500,-9015.399,0.750
PF/C,Boris Diaw,3000,Phi@Uta 09:00PM ET,11.761,Uta,1,0,10.893,6.200,11.688,16.000,18.000,3.000,0.199,196.500,-14.500,-15.486,3.000
PF,Joel Bolomboy,3000,Phi@Uta 09:00PM ET,2.833,Uta,1,0,1.938,1.050,2.812,5.000,18.000,3.500,0.004,196.500,-14.500,-9007.780,0.000
C,Jeff Withey,3000,Phi@Uta 09:00PM ET,8.293,Uta,1,0,8.179,3.875,8.438,27.000,18.000,0.000,0.041,196.500,-14.500,-13.179,0.000
PG/SG,Leandro Barbosa,3000,Tor@Pho 09:00PM ET,10.863,Pho,1,0,10.286,4.721,7.750,6.500,18.000,5.000,0.184,223.000,8.500,-8992.601,5.000
PG,Fred VanVleet,3000,Tor@Pho 09:00PM ET,4.406,Tor,0,0,9.250,1.167,7.438,25.500,18.000,0.000,0.046,223.000,-8.500,11.399,0.000
