Name,Salary,Position,teamAbbrev,AvgPointsPerGame,expectedScore,atHome,opponent,injured,fpWithBonus,4dayAvg,penalty,Final,O/U,odds
Randy Foye,3000,PG,BKN,11.391,107,0,IND,0,11.391,11.300,0.000,10.250,219.000,10.500
Caris LeVert,3000,SF,BKN,11.250,107,0,IND,0,11.250,11.300,0.000,13.000,219.000,10.500
Spencer Dinwiddie,3000,PG,BKN,9.525,107,0,IND,0,9.525,11.300,0.000,27.250,219.000,10.500
Luis Scola,3000,PF/C,BKN,12.481,107,0,IND,0,12.481,11.300,0.000,13.750,219.000,10.500
Anthony Bennett,3000,SF,BKN,10.920,107,0,IND,0,10.920,11.300,0.000,6.750,219.000,10.500
Chris McCullough,3000,PF,BKN,5.250,107,0,IND,0,5.250,11.300,0.000,0.000,219.000,10.500
Paul Millsap,7400,PF,ATL,38.367,103,0,NO,0,40.367,11.300,0.000,42.500,208.500,2.000
Dennis Schroder,6600,PG,ATL,32.136,103,0,NO,0,33.136,11.300,0.000,37.500,208.500,2.000
Dwight Howard,7500,C,ATL,36.863,103,0,NO,0,36.863,11.300,0.000,31.500,208.500,2.000
Kyle Korver,4100,SG,ATL,19.141,103,0,NO,0,19.141,11.300,0.000,0.000,208.500,2.000
Kent Bazemore,4200,SG/SF,ATL,21.909,103,0,NO,0,22.909,11.300,0.000,6.750,208.500,2.000
Thabo Sefolosha,4000,SF,ATL,20.766,103,0,NO,0,20.766,11.300,0.000,29.500,208.500,2.000
Mike Muscala,3200,PF/C,ATL,17.064,103,0,NO,0,17.064,11.300,0.000,21.000,208.500,2.000
Malcolm Delaney,3000,PG,ATL,11.929,103,0,NO,0,11.929,11.300,0.000,27.250,208.500,2.000
Kris Humphries,3000,C,ATL,10.125,103,0,NO,0,10.125,11.300,0.000,4.000,208.500,2.000
DeAndre' Bembry,3000,SF,ATL,3.896,103,0,NO,0,3.896,11.300,0.000,7.250,208.500,2.000
Ryan Kelly,3000,SF,ATL,4.667,103,0,NO,0,4.667,11.300,0.000,0.000,208.500,2.000
Harrison Barnes,7000,SF/PF,DAL,31.736,103,1,PHO,0,33.736,11.300,0.000,33.500,206.000,-5.500
Wesley Matthews,5600,SG,DAL,26.676,103,1,PHO,0,26.676,11.300,0.000,20.000,206.000,-5.500
Deron Williams,6200,PG,DAL,27.889,103,1,PHO,0,27.889,11.300,0.000,33.500,206.000,-5.500
Seth Curry,4300,SG,DAL,20.460,103,1,PHO,0,22.460,11.300,0.000,17.250,206.000,-5.500
Dorian Finney-Smith,3000,SF,DAL,12.015,103,1,PHO,0,12.015,11.300,0.000,7.250,206.000,-5.500
Dirk Nowitzki,4400,PF/C,DAL,21.825,103,1,PHO,0,22.825,11.300,0.000,29.250,206.000,-5.500
Dwight Powell,3800,PF/C,DAL,18.750,103,1,PHO,0,18.750,11.300,0.000,9.750,206.000,-5.500
Justin Anderson,3100,SG/SF,DAL,15.258,103,1,PHO,0,15.258,11.300,0.000,0.000,206.000,-5.500
Devin Harris,3200,PG,DAL,10.513,103,1,PHO,0,10.513,11.300,0.000,21.250,206.000,-5.500
Salah Mejri,3000,C,DAL,11.032,103,1,PHO,0,11.032,11.300,0.000,0.000,206.000,-5.500
Pierre Jackson,3000,PG,DAL,8.833,103,1,PHO,0,8.833,11.300,0.000,-0.500,206.000,-5.500
Nicolas Brussino,3000,SG,DAL,5.100,103,1,PHO,0,5.100,11.300,0.000,6.000,206.000,-5.500
A.J. Hammons,3000,C,DAL,3.794,103,1,PHO,0,3.794,11.300,0.000,0.000,206.000,-5.500
DeMar DeRozan,7200,SG,TOR,41.581,101,1,UTA,0,43.581,11.300,0.000,40.250,197.000,-4.500
DeMarre Carroll,3800,SF/PF,TOR,18.526,101,1,UTA,0,18.526,11.300,0.000,18.000,197.000,-4.500
Cory Joseph,3500,PG,TOR,18.000,101,1,UTA,0,18.000,11.300,0.000,15.250,197.000,-4.500
Terrence Ross,3900,SG/SF,TOR,18.356,101,1,UTA,0,18.356,11.300,0.000,18.500,197.000,-4.500
Lucas Nogueira,3500,C,TOR,16.426,101,1,UTA,0,16.426,11.300,0.000,21.500,197.000,-4.500
Pascal Siakam,3000,PF,TOR,12.471,101,1,UTA,0,12.471,11.300,0.000,3.750,197.000,-4.500
Norman Powell,4000,SG/SF,TOR,11.600,101,1,UTA,0,11.600,11.300,0.000,2.500,197.000,-4.500
