Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
27,642808454,truredman (6/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Rondae Hollis-Jefferson,3.73%,18.75
27,642808455,truredman (7/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,George Hill,3.45%,27.25
27,642808456,truredman (8/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,LeBron James,3.09%,51.5
27,642808457,truredman (9/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Montrezl Harrell,3.07%,30.75
27,642808458,truredman (10/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Justin Hamilton,2.93%,15
27,642808459,truredman (11/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,John Wall,2.89%,58
27,642808460,truredman (12/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Kentavious Caldwell-Pope,2.80%,34.25
27,642808461,truredman (13/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Brook Lopez,2.70%,32
27,642808462,truredman (14/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Tobias Harris,2.67%,31.25
27,642808463,truredman (15/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Kent Bazemore,2.61%,13.25
27,642808464,truredman (16/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Derrick Favors,2.49%,24.75
27,642808465,truredman (17/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Spencer Dinwiddie,2.45%,21.25
27,642808466,truredman (18/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Jordan Clarkson,2.39%,16.75
27,642808467,truredman (19/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Kemba Walker,2.39%,53
27,642808468,truredman (20/22),0,317.75,PG Jerian Grant SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Gordon Hayward G Stephen Curry UTIL Kyle Lowry,,Otto Porter,2.32%,23
