Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
18,632494612,Cje540,0,314.25,PG Raymond Felton SG Jimmy Butler SF Gordon Hayward PF Jabari Parker C Rudy Gobert F Trevor Ariza G Malcolm Brogdon UTIL Kyle O'Quinn,,Greg Monroe,12.65%,30.25
19,632473173,NILKNARF (25/30),0,313.75,PG James Harden SG Eric Gordon SF Doug McDermott PF Nikola Mirotic C Greg Monroe F Frank Kaminsky G Jimmy Butler UTIL Rudy Gobert,,Derrick Rose,12.65%,26.25
19,632759822,alex2raww98,0,313.75,PG Eric Bledsoe SG Jimmy Butler SF LeBron James PF Frank Kaminsky C Greg Monroe F Doug McDermott G Raymond Felton UTIL Carmelo Anthony,,Serge Ibaka,11.22%,30
21,632449098,ktech,0,313.25,PG Stephen Curry SG Jimmy Butler SF Tyreke Evans PF Draymond Green C Greg Monroe F Bojan Bogdanovic G Elfrid Payton UTIL Jrue Holiday,,Austin Rivers,10.47%,21
22,632257041,TeamSmiley5 (10/15),0,312.75,PG Eric Bledsoe SG Jimmy Butler SF Doug McDermott PF Nikola Mirotic C Brook Lopez F Draymond Green G Malcolm Brogdon UTIL DeAndre Jordan,,Russell Westbrook,10.12%,52.25
22,632259808,TeamSmiley5 (12/15),0,312.75,PG Eric Bledsoe SG Jimmy Butler SF Doug McDermott PF Nikola Mirotic C Brook Lopez F Draymond Green G Malcolm Brogdon UTIL DeAndre Jordan,,Nikola Vucevic,10.09%,42.25
22,632278457,TeamSmiley5 (15/15),0,312.75,PG Eric Bledsoe SG Jimmy Butler SF Doug McDermott PF Nikola Mirotic C Brook Lopez F Draymond Green G Malcolm Brogdon UTIL DeAndre Jordan,,Giannis Antetokounmpo,10.06%,51.5
25,632163768,mtray1911,0,312.25,PG Jrue Holiday SG Malcolm Brogdon SF Jimmy Butler PF Derrick Favors C Nikola Vucevic F Frank Kaminsky G Eric Bledsoe UTIL Rudy Gobert,,Rudy Gobert,8.09%,46.5
25,632473164,NILKNARF (16/30),0,312.25,PG John Wall SG Jordan McRae SF Trevor Ariza PF Frank Kaminsky C Steven Adams F Draymond Green G Jimmy Butler UTIL Brook Lopez,,Marcin Gortat,7.42%,36.5
27,632269674,JSB31,0,312,PG Michael Carter-Williams SG Jimmy Butler SF LeBron James PF Frank Kaminsky C Brook Lopez F Trevor Ariza G Jrue Holiday UTIL Montrezl Harrell,,Gordon Hayward,7.22%,46
28,632391538,msr3264,0,311.25,PG Jrue Holiday SG Jimmy Butler SF Gordon Hayward PF Ryan Anderson C Nikola Vucevic F Frank Kaminsky G Rodney Hood UTIL Danilo Gallinari,,Nicolas Batum,6.58%,35.5
28,632473174,NILKNARF (26/30),0,311.25,PG Giannis Antetokounmpo SG E'Twaun Moore SF Jimmy Butler PF Frank Kaminsky C Anthony Davis F Nikola Mirotic G Eric Gordon UTIL Michael Carter-Williams,,John Wall,6.21%,45.25
28,632556997,FLThunder70 (2/2),0,311.25,PG Kemba Walker SG Jordan McRae SF Gordon Hayward PF Montrezl Harrell C Enes Kanter F Jimmy Butler G Klay Thompson UTIL Joakim Noah,,Kevin Durant,5.95%,31.25
31,632237844,aloeup (1/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Draymond Green,5.86%,49.5
31,632237845,aloeup (2/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Spencer Hawes,5.63%,19.25
31,632237846,aloeup (3/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Jabari Parker,5.60%,30.5
31,632237847,aloeup (4/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Marvin Williams,5.37%,13
31,632237848,aloeup (5/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Enes Kanter,5.13%,9.75
31,632237849,aloeup (6/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Eric Bledsoe,5.02%,50
31,632237850,aloeup (7/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Tyreke Evans,4.79%,16.25
31,632237851,aloeup (8/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Robin Lopez,4.73%,17.25
31,632237852,aloeup (9/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Victor Oladipo,4.52%,33.25
31,632237853,aloeup (10/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Klay Thompson,4.38%,36.75
31,632237854,aloeup (11/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Joakim Noah,4.35%,31
31,632237855,aloeup (12/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Bradley Beal,4.35%,38.75
31,632237856,aloeup (13/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Anthony Davis,4.23%,52.25
31,632237857,aloeup (14/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Stephen Curry,4.09%,33.25
31,632237858,aloeup (15/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Shelvin Mack,3.51%,26.5
31,632237859,aloeup (16/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Roy Hibbert,3.45%,5.5
31,632237860,aloeup (17/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Otto Porter,3.25%,17.25
31,632237861,aloeup (18/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Emmanuel Mudiay,3.13%,18
31,632237862,aloeup (19/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,DeAndre Jordan,2.96%,41.5
31,632237863,aloeup (20/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Taj Gibson,2.76%,18.25
31,632237864,aloeup (21/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Kyle O'Quinn,2.67%,16.25
31,632237865,aloeup (22/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Jamal Crawford,2.64%,34.75
31,632237866,aloeup (23/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Marreese Speights,2.38%,20.5
31,632237867,aloeup (24/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Iman Shumpert,2.32%,13.5
31,632237868,aloeup (25/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Raymond Felton,2.29%,32.5
31,632237869,aloeup (26/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Rodney Hood,2.18%,20.75
31,632237870,aloeup (27/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Will Barton,2.15%,28.75
31,632237871,aloeup (28/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Wilson Chandler,2.12%,35
31,632237872,aloeup (29/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Langston Galloway,2.09%,9.5
31,632237873,aloeup (30/30),0,310.75,PG Michael Carter-Williams SG James Harden SF Jimmy Butler PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Eric Bledsoe UTIL Austin Rivers,,Jeremy Lamb,2.09%,29
61,632181564,Makisupa,0,310.5,PG Jrue Holiday SG Jordan McRae SF LeBron James PF Frank Kaminsky C Nikola Vucevic F Jimmy Butler G Michael Carter-Williams UTIL Carmelo Anthony,,Sean Kilpatrick,1.91%,14
61,632466342,Mrestela88,0,310.5,PG Michael Carter-Williams SG Jordan McRae SF Carmelo Anthony PF Frank Kaminsky C Nikola Vucevic F Jimmy Butler G Jrue Holiday UTIL LeBron James,,Eric Gordon,1.91%,41.5
63,632356503,reneej23,0,309,PG Eric Bledsoe SG Jodie Meeks SF Trevor Ariza PF Jabari Parker C Robin Lopez F Jimmy Butler G Malcolm Brogdon UTIL Klay Thompson,,Steven Adams,1.89%,41
64,632473176,NILKNARF (28/30),0,308.5,PG Michael Carter-Williams SG Eric Gordon SF Nikola Mirotic PF Frank Kaminsky C Rudy Gobert F Kevin Durant G Bradley Beal UTIL Jimmy Butler,,Danilo Gallinari,1.80%,39.5
65,632182850,RexGrossman (30/30),0,308.25,PG Emmanuel Mudiay SG Jimmy Butler SF Trevor Ariza PF Draymond Green C Brook Lopez F Kevin Love G Michael Carter-Williams UTIL Greg Monroe,,Dwyane Wade,1.68%,0
66,632582596,Vikings51 (2/2),0,307.5,PG Eric Bledsoe SG Jimmy Butler SF Gordon Hayward PF Derrick Favors C Montrezl Harrell F Wilson Chandler G Austin Rivers UTIL Joakim Noah,,Gary Harris,1.68%,24.5
67,632281210,oliphantj15,0,307.25,PG Shelvin Mack SG Klay Thompson SF Wilson Chandler PF Jabari Parker C Nikola Vucevic F P.J. Tucker G Jimmy Butler UTIL Derrick Rose,,Bojan Bogdanovic,1.65%,13.25
67,632539524,kingfi (1/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Devin Booker,1.65%,20.25
67,632539525,kingfi (2/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Andre Roberson,1.62%,6.5
67,632539526,kingfi (3/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Brandon Jennings,1.62%,21.25
67,632539527,kingfi (4/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Markieff Morris,1.57%,27.5
67,632539528,kingfi (5/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Nikola Jokic,1.51%,47.75
67,632539529,kingfi (6/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Ryan Anderson,1.42%,20.5
67,632539530,kingfi (7/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Trevor Booker,1.28%,42.25
67,632539531,kingfi (8/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Buddy Hield,1.22%,30.25
67,632539532,kingfi (9/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,E'Twaun Moore,1.16%,15.5
67,632539533,kingfi (10/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Kemba Walker,1.07%,61.75
67,632539534,kingfi (11/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Alan Anderson,0.93%,0
67,632539535,kingfi (12/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Justin Holiday,0.93%,9.5
67,632539536,kingfi (13/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Aaron Harrison,0.87%,0
67,632539537,kingfi (14/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Alec Burks,0.87%,-0.5
67,632539538,kingfi (15/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Arinze Onuaku,0.87%,2.25
67,632539539,kingfi (16/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Alan Williams,0.87%,0
67,632539540,kingfi (17/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Alonzo Gee,0.87%,0
67,632539541,kingfi (18/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Anthony Morrow,0.87%,0
67,632539542,kingfi (19/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Alexis Ajinca,0.87%,0
67,632539543,kingfi (20/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Tristan Thompson,0.84%,14.75
67,632539544,kingfi (21/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Aaron Gordon,0.78%,41
67,632539545,kingfi (22/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Andre Iguodala,0.73%,15.75
67,632539546,kingfi (23/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Jamal Murray,0.70%,17
67,632539547,kingfi (24/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Michael Beasley,0.64%,7
67,632539548,kingfi (25/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Corey Brewer,0.61%,7.75
67,632539549,kingfi (26/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Domantas Sabonis,0.61%,5.5
67,632539550,kingfi (27/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Rondae Hollis-Jefferson,0.61%,13.25
67,632539551,kingfi (28/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Bismack Biyombo,0.58%,15
67,632539552,kingfi (29/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,J.J. Redick,0.55%,27.5
67,632548403,kingfi (30/30),0,307.25,PG Jrue Holiday SG Bradley Beal SF Jimmy Butler PF Marvin Williams C Nikola Vucevic F LeBron James G Michael Carter-Williams UTIL Jordan McRae,,Kay Felder,0.52%,16.25
67,632659808,mhnxl (3/6),0,307.25,PG James Harden SG Victor Oladipo SF Trevor Ariza PF Michael Beasley C Rudy Gobert F Doug McDermott G Michael Carter-Williams UTIL Jimmy Butler,,Guillermo Hernangómez,0.49%,9.25
67,632659819,mhnxl (4/6),0,307.25,PG James Harden SG Victor Oladipo SF Trevor Ariza PF Michael Beasley C Rudy Gobert F Doug McDermott G Michael Carter-Williams UTIL Jimmy Butler,,Kenneth Faried,0.46%,0
67,632677746,mhnxl (5/6),0,307.25,PG James Harden SG Victor Oladipo SF Trevor Ariza PF Michael Beasley C Rudy Gobert F Doug McDermott G Michael Carter-Williams UTIL Jimmy Butler,,Courtney Lee,0.46%,19.25
101,632171940,jlopez2356 (2/2),0,306,PG James Harden SG Victor Oladipo SF Jimmy Butler PF Dante Cunningham C Steven Adams F Doug McDermott G Jrue Holiday UTIL Alex Len,,Jeff Green,0.41%,19.25
101,632182841,RexGrossman (21/30),0,306,PG Emmanuel Mudiay SG Austin Rivers SF Jimmy Butler PF Montrezl Harrell C Draymond Green F Kevin Love G Michael Carter-Williams UTIL Nikola Vucevic,,Caris LeVert,0.38%,0
101,632243248,jgriz003 (1/2),0,306,PG Malcolm Brogdon SG Jimmy Butler SF Carmelo Anthony PF Frank Kaminsky C Montrezl Harrell F Trevor Ariza G Michael Carter-Williams UTIL Giannis Antetokounmpo,,Zaza Pachulia,0.38%,22.75
104,632694621,DSalsmanmo (29/30),0,305.75,PG Malcolm Brogdon SG Jordan McRae SF Trevor Ariza PF Kevin Love C Greg Monroe F Jimmy Butler G Jrue Holiday UTIL Rudy Gobert,,Sam Dekker,0.35%,13.5
105,632278776,sportsfanatic89 (4/4),0,305.25,PG Giannis Antetokounmpo SG Jimmy Butler SF Gordon Hayward PF Frank Kaminsky C Rudy Gobert F Doug McDermott G Michael Carter-Williams UTIL Marreese Speights,,Dante Cunningham,0.29%,11.75
105,632774561,brazilianfever,0,305.25,PG Kemba Walker SG Victor Oladipo SF Wilson Chandler PF Trevor Booker C Anthony Davis F Frank Kaminsky G Will Barton UTIL Klay Thompson,,Joe Ingles,0.26%,23.25
107,632326415,podski56,0,304.5,PG Raymond Felton SG Jimmy Butler SF LeBron James PF Marvin Williams C Rudy Gobert F Tyreke Evans G Brandon Jennings UTIL Nikola Vucevic,,Alex Len,0.23%,20.75
108,632334491,pac21,0,304,PG Isaiah Whitehead SG Jodie Meeks SF Lance Thomas PF Trevor Booker C Anthony Davis F Jabari Parker G Kemba Walker UTIL Gordon Hayward,,Jodie Meeks,0.23%,32
109,632379948,JohnnyPickEm (1/5),0,303.75,PG Emmanuel Mudiay SG Victor Oladipo SF Jimmy Butler PF Frank Kaminsky C Rudy Gobert F Montrezl Harrell G Gary Harris UTIL Giannis Antetokounmpo,,Tony Snell,0.23%,6.75
109,632389035,JohnnyPickEm (2/5),0,303.75,PG Emmanuel Mudiay SG Victor Oladipo SF Jimmy Butler PF Frank Kaminsky C Rudy Gobert F Montrezl Harrell G Gary Harris UTIL Giannis Antetokounmpo,,D.J. Augustin,0.23%,12
109,632389051,JohnnyPickEm (3/5),0,303.75,PG Emmanuel Mudiay SG Victor Oladipo SF Jimmy Butler PF Frank Kaminsky C Rudy Gobert F Montrezl Harrell G Gary Harris UTIL Giannis Antetokounmpo,,Elfrid Payton,0.23%,43.75
109,632389066,JohnnyPickEm (4/5),0,303.75,PG Emmanuel Mudiay SG Victor Oladipo SF Jimmy Butler PF Frank Kaminsky C Rudy Gobert F Montrezl Harrell G Gary Harris UTIL Giannis Antetokounmpo,,Brandon Knight,0.20%,9.5
109,632389092,JohnnyPickEm (5/5),0,303.75,PG Emmanuel Mudiay SG Victor Oladipo SF Jimmy Butler PF Frank Kaminsky C Rudy Gobert F Montrezl Harrell G Gary Harris UTIL Giannis Antetokounmpo,,Cody Zeller,0.20%,0
114,632473149,NILKNARF (1/30),0,303.5,PG James Harden SG Jimmy Butler SF Trevor Ariza PF Frank Kaminsky C Greg Monroe F Nikola Mirotic G Jamal Crawford UTIL Devin Booker,,Solomon Hill,0.20%,11.5
115,632182825,RexGrossman (5/30),0,303,PG Emmanuel Mudiay SG Austin Rivers SF Jimmy Butler PF Montrezl Harrell C Nikola Vucevic F Kevin Love G Michael Carter-Williams UTIL Rudy Gobert,,John Henson,0.20%,23.75
115,632232465,jrod0831,0,303,PG Michael Carter-Williams SG Sean Kilpatrick SF LeBron James PF Nikola Mirotic C Brook Lopez F Jimmy Butler G Jamal Crawford UTIL Nikola Vucevic,,Richard Jefferson,0.17%,31
115,632264437,klang13 (1/30),0,303,PG Michael Carter-Williams SG Sean Kilpatrick SF LeBron James PF Nikola Mirotic C Brook Lopez F Jimmy Butler G Jamal Crawford UTIL Nikola Vucevic,,Lance Thomas,0.17%,17.25
