DKFPS,3GAvg,TEAM_ABBREVIATION,HOME,OPP,PM,OU,Target,Position,Salary,DISPLAY_FIRST_LAST,SVM,AdaBoost,Neural Network,Random Forest
2.5,,CHA,True,LAC,-4.5,213.5,,PF/C,3000.0,Mangok Mathiang,27.66562503223477,10.25,9.13897256860989,11.182125000000001
0.0,,ORL,True,UTA,-5.0,211.5,,SG/SF,3000.0,Jamel Artis,27.423368626773176,10.25,8.88772186289775,11.617375000000001
19.016,,HOU,False,MEM,-8.0,214.0,,SF/PF,3800.0,,27.50293082916209,19.5,19.562690481715357,20.597091269841265
18.25,,HOU,False,MEM,-8.0,214.0,,SF/PF,3600.0,,27.443970749496124,20.1,19.10376792126717,21.017507936507933
13.932,,HOU,False,MEM,-8.0,214.0,,C,3300.0,,27.135291307704254,14.95,16.83356203734867,15.969130952380954
26.5,,PHI,True,GS,8.5,230.0,,SG/SF,4900.0,,28.090885399697328,27.5,28.301141471019214,26.597440476190478
34.964,,POR,True,SAC,-12.0,195.5,,PG/SG,7100.0,,29.521620110237333,32.65,32.93043792983058,32.8777619047619
0.0,,POR,True,SAC,-12.0,195.5,,SG/SF,3000.0,,27.567394564916647,11.45,8.349138609218377,13.113291666666665
8.25,,MEM,True,HOU,8.0,214.0,,PG/SG,3000.0,,28.39889864319436,11.65,14.423231491913064,15.856125
0.0,,MEM,True,HOU,8.0,214.0,,PF,3000.0,,28.154894437144197,10.2,9.542848173931976,11.943625
6.875,,SAC,False,POR,12.0,195.5,,SF/PF,3000.0,,28.707775525481495,10.5,14.025870092265748,11.08657738095238
10.125,,SAC,False,POR,12.0,195.5,,PG/SG,3000.0,,28.808154686846763,14.55,15.962524731997032,15.061499999999999
