DKFPS,3GAvg,TEAM_ABBREVIATION,HOME,OPP,PM,Target,Position,Salary,DISPLAY_FIRST_LAST,SVM,AdaBoost,Neural Network,Random Forest
23.5,29.5,LAC,False,CHA,4.5,,PG/SG,5400.0,Austin Rivers,29.3428718159692,25.6,26.222233339391103,23.032589285714288
7.25,18.25,POR,True,SAC,-12.0,,PF/C,3000.0,Meyers Leonard,27.654031807532107,10.45,11.43353095427184,11.363363095238096
29.339,24.5,CHA,True,LAC,-4.5,,SG/SF,5100.0,Jeremy Lamb,29.25249690949357,26.95,28.65851070758064,25.33333333333333
20.929,26.75,MIL,False,DAL,-7.5,,C,4800.0,John Henson,28.812633309951853,19.95,21.837203751979104,20.45958333333333
16.433,14.25,POR,True,SAC,-12.0,,SF/PF,3500.0,Maurice Harkless,27.92662356665536,14.65,15.857816425182362,14.700333333333333
32.867,14.0,ORL,True,UTA,-5.0,,SG/SF,6100.0,Evan Fournier,28.79867967014222,24.7,28.214934250943095,25.652432359307358
0.0,2.25,ATL,True,BOS,6.5,,C,3000.0,Miles Plumlee,27.668330700328482,2.35,5.634661820107921,2.379160714285714
34.683,43.25,GS,False,PHI,-8.5,,PF/C,7600.0,Draymond Green,30.42619822995355,36.8,35.54623085393922,38.660920634920636
35.661,35.25,MIL,False,DAL,-7.5,,SG/SF,6700.0,Khris Middleton,30.297390619940025,33.8,35.713587319449445,37.14331746031747
28.833,42.25,ATL,True,BOS,6.5,,SG/SF,5200.0,Kent Bazemore,30.317338788261868,34.35,34.03128836813333,32.91887896825397
13.212,17.5,LAC,False,CHA,4.5,,C,3000.0,Willie Reed,28.321839711504968,17.0,15.392007070082022,15.95617857142857
7.75,7.5,MEM,True,HOU,8.0,,SF/PF,4500.0,JaMychal Green,27.970236430439453,6.1,8.580712354784229,6.831761904761905
16.391,5.75,BOS,False,ATL,-6.5,,C,3600.0,Aron Baynes,28.16035967161677,11.75,12.60737587042614,10.030916666666666
13.167,11.75,DAL,True,MIL,7.5,,C,3400.0,Nerlens Noel,27.996769076191136,14.05,13.464479082775586,13.652869047619046
7.75,23.25,MEM,True,HOU,8.0,,SG/SF,3500.0,Ben McLemore,28.40776135033582,14.05,14.478900236821458,13.134327380952382
19.2,19.0,CHA,True,LAC,-4.5,,C,3600.0,Cody Zeller,28.308339673862164,17.05,19.525086264038322,17.899750000000004
35.058,43.25,ATL,True,BOS,6.5,,PG,6600.0,Dennis Schroder,30.800721627272708,36.75,41.99225492093589,35.61222222222223
25.367,22.25,ATL,True,BOS,6.5,,C,5200.0,Dewayne Dedmon,29.1721544673303,24.25,24.67338702277872,24.277817460317458
4.042,5.25,DAL,True,MIL,7.5,,C,3000.0,Jeff Withey,27.542317112523918,3.55,6.3197479300352075,2.9856249999999998
10.917,16.25,CHA,True,LAC,-4.5,,PG,3200.0,Michael Carter-Williams,27.768603058302016,11.15,12.816183436493931,14.39636111111111
0.0,,UTA,False,ORL,5.0,,PG,3000.0,Nate Wolters,27.7383314475618,10.6,9.326485336922406,12.429910714285715
31.536,36.0,PHI,True,GS,8.5,,SF/PF,6300.0,Robert Covington,29.573047488972502,33.1,32.37749068764494,35.99469444444444
6.846,0.0,BOS,False,ATL,-6.5,,PG,3200.0,Shane Larkin,27.75214816662693,5.5,5.95002171026557,6.290380952380952
18.054,19.5,MIL,False,DAL,-7.5,,SG/SF,3800.0,Tony Snell,28.332036000117977,20.55,17.762305649808702,20.086916666666664
56.179,47.5,MIL,False,DAL,-7.5,,SF/PF,11400.0,Giannis Antetokounmpo,32.55663936664615,49.55,53.296455973791325,52.242095238095246
17.786,25.25,MEM,True,HOU,8.0,,SG/SF,3600.0,James Ennis III,28.92526576357661,22.9,19.84458436093719,19.069499999999998
9.75,1.25,UTA,False,ORL,5.0,,PG,3000.0,Raul Neto,27.472852270444402,7.45,7.4471627753938705,6.972310064935067
0.0,,UTA,False,ORL,5.0,,SF/PF,3000.0,Eric Griffin,27.7383314475618,10.6,9.326485336922406,12.429910714285715
23.567,17.75,ORL,True,UTA,-5.0,,SG/SF,4500.0,Jonathon Simmons,28.31500651529921,20.6,21.959003437208494,22.284083333333335
2.25,6.25,ATL,True,BOS,6.5,,PG,3000.0,Josh Magette,27.766407757056953,3.05,6.105766746985645,2.556805555555555
0.0,,LAC,False,CHA,4.5,,SG,3000.0,C.J. Williams,28.03099371764745,10.6,8.554619879377835,11.963910714285714
12.409,10.5,POR,True,SAC,-12.0,,PG/SG,3600.0,Shabazz Napier,27.605609854642886,14.0,11.686881025034957,12.0705
25.125,36.75,ORL,True,UTA,-5.0,,PG,6200.0,Elfrid Payton,29.425651224339138,30.8,30.253930875359508,28.6862380952381
24.0,15.25,UTA,False,ORL,5.0,,SG/SF,5500.0,Rodney Hood,28.55251817924242,24.149999999999995,22.245478221939294,20.053583333333336
3.0,,ORL,True,UTA,-5.0,,PF,3000.0,Khem Birch,27.49612953801784,11.0,10.70204043548284,11.727660714285715
34.769,41.5,ORL,True,UTA,-5.0,,SF/PF,6800.0,Aaron Gordon,30.487148356819816,35.8,38.79021441777788,33.195625
26.036,24.0,BOS,False,ATL,-6.5,,SG/SF,5600.0,Marcus Smart,29.2531455158174,28.95,25.20751446234197,23.543857142857142
12.95,8.0,DAL,True,MIL,7.5,,PF/C,3000.0,Dwight Powell,27.881953617843415,12.65,11.681199053377739,12.388916666666667
13.781,8.0,POR,True,SAC,-12.0,,PF/C,3500.0,Noah Vonleh,27.5904827630867,12.95,11.55961277902699,11.115374999999997
11.0,20.5,CHA,True,LAC,-4.5,,PF/C,3000.0,Johnny O'Bryant III,27.92577503420329,13.7,14.8316765700543,14.472916666666668
5.0,17.0,PHI,True,GS,8.5,,PF,3000.0,James Michael McAdoo,26.07463490087276,9.55,10.321026599453289,9.40200595238095
47.0,58.0,PHI,True,GS,8.5,,C,10000.0,Joel Embiid,33.18673069688907,48.7,51.121683464823526,51.403166666666664
0.0,,LAC,False,CHA,4.5,,SF/PF,3000.0,Jamil Wilson,28.03099371764745,10.6,8.554619879377835,11.963910714285714
20.321,25.0,PHI,True,GS,8.5,,PF/C,4500.0,Dario Saric,27.595705288459516,21.35,21.161316117723523,21.82696428571429
34.719,29.5,HOU,False,MEM,-8.0,,C,6700.0,Clint Capela,29.403179998641228,34.45,31.99516922715307,33.309083333333334
16.896,17.25,SAC,False,POR,12.0,,SG/SF,3600.0,Bogdan Bogdanovic,28.918937801463773,15.5,18.45509380046198,17.100892857142856
28.7,46.25,POR,True,SAC,-12.0,,C,6900.0,Jusuf Nurkic,30.369610604764258,32.05,34.654802520169305,32.064
0.0,,SAC,False,POR,12.0,,PF,3000.0,Jack Cooley,28.548020565574987,8.2,9.378227752219086,11.195994047619047
11.045,9.5,HOU,False,MEM,-8.0,,PF/C,3500.0,Tarik Black,26.35168598539647,13.35,11.015657457097978,12.05736904761905
25.188,18.0,UTA,False,ORL,5.0,,SG/SF,5300.0,Joe Ingles,28.737037031997613,25.25,23.963464003060523,22.100214285714284
20.589,18.75,PHI,True,GS,8.5,,PG,4200.0,T.J. McConnell,27.22375642551458,18.8,19.432440720118542,19.96811111111111
9.972,21.0,LAC,False,CHA,4.5,,PF/C,3200.0,Montrezl Harrell,28.304666096520723,12.35,14.650732654644385,12.553839285714286
9.575,10.25,MEM,True,HOU,8.0,,PG/SG,3200.0,Andrew Harrison,28.09032279894343,9.75,10.843434884692142,10.54402380952381
5.318,4.75,LAC,False,CHA,4.5,,SF/PF,3000.0,Sam Dekker,27.72370139335344,4.3,6.371107806764933,5.5894047619047615
11.55,27.75,PHI,True,GS,8.5,,PF/C,3600.0,Richaun Holmes,27.05656124406815,18.0,17.225714826979065,17.087847222222223
22.567,21.25,SAC,False,POR,12.0,,PF/C,4200.0,Willie Cauley-Stein,29.29477318738261,24.2,23.687926006419787,21.936708333333335
20.038,20.25,CHA,True,LAC,-4.5,,PF/C,4000.0,Frank Kaminsky,28.411544255672418,17.15,20.41882575808968,19.10455952380952
9.156,6.25,GS,False,PHI,-8.5,,SF/PF,3000.0,Kevon Looney,25.553126011844853,7.4,7.215345819237092,8.68702380952381
7.45,0.0,MIL,False,DAL,-7.5,,PG/SF,3000.0,Rashad Vaughn,27.347010031528164,6.75,6.345608270241282,6.710340909090908
21.578,18.75,BOS,False,ATL,-6.5,,PG/SG,4500.0,Terry Rozier,28.796284698538265,20.65,21.652128570098547,19.87437301587301
14.096,4.0,MEM,True,HOU,8.0,,PF/C,3500.0,Jarell Martin,28.105079930546758,12.4,11.246011942585124,10.843458333333334
1.0,28.75,GS,False,PHI,-8.5,,PG,3000.0,Quinn Cook,26.235128211997942,10.3,10.626920135639768,15.237
11.0,10.75,POR,True,SAC,-12.0,,SG/SF,3000.0,Pat Connaughton,27.553803128947813,11.05,10.768627225632734,12.658035714285715
11.9,8.75,CHA,True,LAC,-4.5,,SG/SF,3000.0,Treveon Graham,27.577966319580497,8.25,9.892972015850454,10.377956349206348
7.288,15.75,ORL,True,UTA,-5.0,,PG/SF,3000.0,Mario Hezonja,27.40175517082045,8.75,10.91174203657796,7.366666666666665
4.222,3.25,UTA,False,ORL,5.0,,SF,3000.0,Royce O'Neale,27.358611480224425,3.1,6.2329430478883445,3.5768928571428575
16.114,3.25,DAL,True,MIL,7.5,,C,3300.0,Salah Mejri,27.892094406788978,13.65,11.854017231091987,13.681099206349206
0.0,,PHI,True,GS,8.5,,PG,3000.0,Jacob Pullen,26.11634079383812,10.8,9.199352025691509,11.983910714285715
13.788,14.75,ATL,True,BOS,6.5,,PG/SG,3500.0,Malcolm Delaney,28.31562976932814,18.45,14.80912453217825,12.700666666666667
0.0,4.75,HOU,False,MEM,-8.0,,PG,3000.0,Briante Weber,25.822294992183497,2.8,5.7696919487445,2.636964285714286
45.875,56.25,PHI,True,GS,8.5,,PG/SF,9300.0,Ben Simmons,32.92112246411572,47.25,49.805843318408286,49.27741666666667
0.0,14.75,POR,True,SAC,-12.0,,PG/SG,3000.0,Wade Baldwin IV,27.328939770899158,8.6,6.528402995968262,6.988041666666666
5.0,2.0,MEM,True,HOU,8.0,,PF/C,3000.0,Deyonta Davis,27.798369149226772,5.0,6.301644401406355,4.16985119047619
3.114,1.0,HOU,False,MEM,-8.0,,PG,3000.0,Demetrius Jackson,25.80808181985857,1.9,5.835060633431005,1.9748730158730161
6.125,12.0,LAC,False,CHA,4.5,,PF/C,3000.0,Brice Johnson,27.90492322807205,8.3,8.35580435671826,7.0145833333333325
0.0,2.5,GS,False,PHI,-8.5,,C,3000.0,Damian Jones,25.10680836313349,1.45,5.526295816531492,1.621299603174603
16.867,2.0,SAC,False,POR,12.0,,PF/C,3600.0,Skal Labissiere,28.55806127430819,12.0,12.477403848833148,12.117410714285715
12.589,13.5,MIL,False,DAL,-7.5,,PF/C,3300.0,Thon Maker,27.8514599627335,13.9,13.45308155891396,13.350059523809524
27.45,27.75,ATL,True,BOS,6.5,,SG/SF,5000.0,Taurean Prince,29.53498267671155,26.7,27.96618249184062,27.56666666666667
3.222,3.25,HOU,False,MEM,-8.0,,PF/C,3000.0,Zhou Qi,25.8602197993138,2.05,6.0160856726782885,2.5962222222222224
28.563,17.0,BOS,False,ATL,-6.5,,SG/SF,6500.0,Jaylen Brown,29.127005380061604,24.7,24.787304078154,26.596416666666663
20.0,0.0,ATL,True,BOS,6.5,,SG/SF,3000.0,DeAndre' Bembry,28.195564473667766,9.4,13.208729743125438,8.509273809523808
0.0,2.0,MIL,False,DAL,-7.5,,PF,3000.0,Joel Bolomboy,27.23454977501786,1.45,5.637548743643903,1.8152519841269839
27.365,40.0,MIL,False,DAL,-7.5,,PG/SG,5300.0,Malcolm Brogdon,29.92789350625226,30.9,31.857125718922333,31.257948051948055
4.125,16.0,POR,True,SAC,-12.0,,SF/PF,3000.0,Jake Layman,27.472392018959127,10.45,8.439471719372127,9.060541666666667
8.229,12.0,GS,False,PHI,-8.5,,SG/SF,3200.0,Patrick McCaw,25.73274694053484,9.2,8.483311155501966,10.155083333333334
0.0,13.25,HOU,False,MEM,-8.0,,PF/C,3000.0,Chinanu Onuaku,26.066564879683032,5.85,6.630421371535048,7.1934466089466085
2.5,,CHA,True,LAC,-4.5,,PG,3000.0,Marcus Paige,27.65586570022755,12.25,9.136099870789979,11.488375000000001
0.0,11.25,MIL,False,DAL,-7.5,,SG,3000.0,Gary Payton II,27.41248123050162,5.4,6.293610536052894,6.14194246031746
8.781,14.75,SAC,False,POR,12.0,,SG/SF,3000.0,Malachi Richardson,28.572066900232368,10.55,12.259874750182664,12.013964285714284
3.875,26.75,HOU,False,MEM,-8.0,,SG,3000.0,Troy Williams,26.78519010728319,10.05,13.267356047245826,12.280666666666667
4.5,,PHI,True,GS,8.5,,SG/SF,3000.0,Furkan Korkmaz,26.307133482505474,11.45,12.186230931637349,12.508910714285715
10.327,7.5,PHI,True,GS,8.5,,SG/SF,3100.0,Timothe Luwawu-Cabarrot,25.940263260046677,11.05,9.889351971067708,7.8311190476190475
18.797,13.0,DAL,True,MIL,7.5,,PG/SG,3800.0,Yogi Ferrell,28.29929698841684,14.75,17.419950012982103,17.856458333333332
4.458,4.0,BOS,False,ATL,-6.5,,PF/C,3000.0,Guerschon Yabusele,27.764594575010097,4.15,5.954944391208379,4.255583333333333
5.313,23.25,SAC,False,POR,12.0,,C,3000.0,Georgios Papagiannis,28.697376935957458,10.6,13.446675360558233,13.013285714285711
4.156,4.25,BOS,False,ATL,-6.5,,PF,3000.0,Abdel Nader,27.7628660130258,3.65,5.9371834434894355,3.8685476190476193
1.25,32.5,ATL,True,BOS,6.5,,SG/SF,3000.0,Nicolas Brussino,28.48257167619998,12.85,13.687366306331555,12.46775
22.733,18.5,SAC,False,POR,12.0,,PG,4700.0,De'Aaron Fox,29.21353753505678,21.5,22.865512259026097,21.447875000000003
26.078,40.0,BOS,False,ATL,-6.5,,SF/PF,6100.0,Jayson Tatum,29.981466707100815,24.9,30.014984884960107,26.97080952380952
15.304,33.5,CHA,True,LAC,-4.5,,PG/SG,3600.0,Malik Monk,28.72582149483504,20.4,21.55418312161521,18.615916666666667
28.804,27.75,DAL,True,MIL,7.5,,PG/SG,6200.0,Dennis Smith Jr.,29.523511901953288,29.55,29.501638009601166,28.693327380952383
26.063,29.0,UTA,False,ORL,5.0,,PG/SG,6700.0,Donovan Mitchell,29.29191659735946,27.6,27.708472457383017,27.39709523809524
2.125,,POR,True,SAC,-12.0,,PF/C,3000.0,Zach Collins,27.622568980395723,11.45,9.608969224696171,13.787875
22.917,33.75,ATL,True,BOS,6.5,,PF/C,4600.0,John Collins,29.525478240461236,25.0,26.471071302028335,27.93025
11.054,6.75,SAC,False,POR,12.0,,SG/SF,3400.0,Justin Jackson,28.463479137107573,9.75,10.275925381166099,10.518916666666666
1.938,,MIL,False,DAL,-7.5,,PF/C,3000.0,D.J. Wilson,27.77033054568394,11.9,10.144170655260773,13.075375
8.536,5.0,LAC,False,CHA,4.5,,PG,3000.0,Jawun Evans,27.814914454419675,6.6,7.385883117550078,6.955753246753247
9.477,18.25,GS,False,PHI,-8.5,,PF/C,3000.0,Jordan Bell,26.105649840370855,15.45,11.900776035920858,15.57482142857143
1.917,,UTA,False,ORL,5.0,,PF/C,3000.0,Tony Bradley,27.787665138484016,10.6,10.606733490763984,12.429910714285715
6.067,9.5,BOS,False,ATL,-6.5,,SF/PF,3200.0,Semi Ojeleye,27.90855523809247,6.15,7.02199018094395,7.744583333333333
9.318,3.75,POR,True,SAC,-12.0,,PF,3700.0,Caleb Swanigan,27.30376185109624,5.25,7.2362649990301,8.555571428571428
0.0,,DAL,True,MIL,7.5,,PF/C,3000.0,Johnathan Motley,27.89031542410573,10.6,8.944532253570038,11.837410714285715
13.911,21.0,CHA,True,LAC,-4.5,,SG/SF,3400.0,Dwayne Bacon,28.089817680657813,15.1,16.96764249404515,16.39902777777778
4.05,3.0,ORL,True,UTA,-5.0,,SG/SF,3000.0,Wes Iwundu,26.960802877333307,2.45,6.089390102931253,3.762361111111111
9.607,0.0,LAC,False,CHA,4.5,,SG,3200.0,Sindarius Thornwell,27.75372600969447,6.65,6.675407660446162,6.331196428571428
19.643,12.25,MEM,True,HOU,8.0,,SG/SF,4200.0,Dillon Brooks,28.56246816208806,16.55,17.133089150199094,17.413099206349205
2.625,0.0,ATL,True,BOS,6.5,,PG/SG,3000.0,Tyler Dorsey,27.674854735591776,2.5,5.712757453507655,2.415
0.0,,MEM,True,HOU,8.0,,SG,3000.0,Kobi Simmons,28.14815296813865,10.6,9.548030888754438,12.360160714285715
4.167,,MIL,False,DAL,-7.5,,SG,3000.0,Sterling Brown,27.83473377571871,12.05,11.60096736987336,13.740375
0.0,,BOS,False,ATL,-6.5,,SG,3000.0,Kadeem Allen,28.098266343995018,10.75,7.750025957739016,11.727660714285715
2.125,,BOS,False,ATL,-6.5,,SG,3000.0,Jabari Bird,28.145935672092044,10.75,8.979073484024937,11.727660714285715
0.0,,GS,False,PHI,-8.5,,PF,3000.0,Chris Boucher,25.838329106941657,12.05,7.630919966341473,14.451208333333335
8.917,1.25,ATL,True,BOS,6.5,,PF,3400.0,Tyler Cavanaugh,27.827796340925808,5.2,6.892910743111619,4.869285714285715
12.417,7.5,BOS,False,ATL,-6.5,,PF/C,3300.0,Daniel Theis,28.053177921933337,9.2,9.95452027071049,7.99217857142857
7.65,19.25,DAL,True,MIL,7.5,,PF,3000.0,Maxi Kleber,28.02053981838839,12.45,12.82853032018446,11.343750000000002
5.607,1.5,DAL,True,MIL,7.5,,PG,3000.0,Gian Clavell,27.509627623527077,3.35,6.167814003787473,5.201964285714285
2.5,,CHA,True,LAC,-4.5,,PF/C,3000.0,Mangok Mathiang,27.65586570022755,12.25,9.136099870789979,11.488375000000001
0.0,,ORL,True,UTA,-5.0,,SG/SF,3000.0,Jamel Artis,27.414973133505796,11.0,8.71932870729053,11.727660714285715
19.016,,HOU,False,MEM,-8.0,,SF/PF,3800.0,,27.471470034335304,20.3,19.443611667039292,21.63903571428571
18.25,,HOU,False,MEM,-8.0,,SF/PF,3600.0,,27.41256180423619,20.1,18.991555131153426,21.22528571428571
13.932,,HOU,False,MEM,-8.0,,C,3300.0,,27.10427127790876,14.800000000000002,16.757471278350863,15.719488095238097
26.5,,PHI,True,GS,8.5,,SG/SF,4900.0,,28.00122506834895,27.1,24.673323416913505,27.776720238095237
34.964,,POR,True,SAC,-12.0,,PG/SG,7100.0,,29.53250741787264,33.0,32.818549681957535,31.79135714285714
0.0,,POR,True,SAC,-12.0,,SG/SF,3000.0,,27.564537959058345,11.45,8.337864082263184,13.787875
8.25,,MEM,True,HOU,8.0,,PG/SG,3000.0,,28.39072607549911,14.05,14.417690616257893,15.345785714285714
0.0,,MEM,True,HOU,8.0,,PF,3000.0,,28.14815296813865,10.6,9.548030888754438,12.360160714285715
6.875,,SAC,False,POR,12.0,,SF/PF,3000.0,,28.711360537024987,10.05,14.037166372339973,12.117470238095237
10.125,,SAC,False,POR,12.0,,PG/SG,3000.0,,28.812407363681928,14.1,15.985364584416473,15.058249999999997
