DKFPS,3GAvg,TEAM_ABBREVIATION,HOME,OPP,PM,OU,Target,PERSON_ID,Position,Salary,DISPLAY_FIRST_LAST,SVM,AdaBoost,Neural Network,Random Forest
25.25,8.25,LAL,True,DEN,5.0,222.5,,1626204.0,SF/PF,5600.0,Larry Nance Jr.,24.565756537197405,20.1875,18.33505188944887,16.047105654761904
0.0,3.25,PHO,True,CHI,-2.5,217.0,,1626210.0,C,3200.0,Alan Williams,20.817439037519552,3.125,4.189453789338371,2.1421875
0.0,1.5,DET,False,MIN,6.0,209.0,,1626242.0,SF,3000.0,Luis Montero,23.000462681208276,1.9375,4.816828579515067,2.243065476190476
10.654,1.5,CHI,False,PHO,2.5,217.0,,1626245.0,PF/C,3000.0,Cristiano Felicio,22.002769645246275,7.5,7.651128316508608,8.850136408730158
10.25,1.25,DET,False,MIN,6.0,209.0,,1626246.0,C,3000.0,Boban Marjanovic,23.30228908005359,5.9375,7.2434966716007745,4.340684523809524
14.191,15.0,PHO,True,CHI,-2.5,217.0,,1627733.0,PF/C,3400.0,Dragan Bender,22.192413821785223,18.75,7.155747442324341,14.244605654761903
5.583,7.25,DEN,False,LAL,-5.0,222.5,,1627736.0,SG,3000.0,Malik Beasley,22.962333094853904,6.0,10.23233088565833,6.388106060606061
18.294,14.75,PHO,True,CHI,-2.5,217.0,,1627737.0,PF/C,3900.0,Marquese Chriss,22.55682802519086,16.9375,9.302430107589698,17.718452380952378
26.306,31.0,CHI,False,PHO,2.5,217.0,,1627739.0,PG/SG,5300.0,Kris Dunn,25.09442121890252,31.1875,27.157644952790363,28.290729166666672
11.45,5.75,DET,False,MIN,6.0,209.0,,1627740.0,PF/C,3000.0,Henry Ellenson,23.477687316332123,9.75,9.150782937668728,9.039479166666666
28.141,11.5,LAL,True,DEN,5.0,222.5,,1627742.0,SG/SF,6200.0,Brandon Ingram,24.88548647279416,23.5,21.67492128496901,21.221912202380956
0.0,,GS,False,BKN,-11.5,231.0,,1627745.0,C,3000.0,Damian Jones,21.663784593585728,11.625,5.063103202350096,11.96622023809524
21.383,17.75,BKN,True,GS,11.5,231.0,,1627747.0,SG/SF,4100.0,Caris LeVert,23.612220093518253,19.5625,21.893695746875572,18.95357142857143
22.733,9.25,DEN,False,LAL,-5.0,222.5,,1627750.0,PG/SG,5200.0,Jamal Murray,23.98941111623158,17.5625,20.540785423450934,16.83398336038961
16.344,26.0,PHO,True,CHI,-2.5,217.0,,1627755.0,PG,4200.0,Tyler Ulis,23.15444270396579,22.8125,13.89440298827146,22.749308035714286
22.692,25.25,CHI,False,PHO,2.5,217.0,,1627756.0,SG/SF,4700.0,Denzel Valentine,24.274602374315876,24.75,24.435918037090026,23.513993055555556
8.425,1.5,CHI,False,PHO,2.5,217.0,,1627770.0,PG,3000.0,Kay Felder,21.8836681422475,6.625,6.746937917767928,6.785163690476191
7.596,12.0,GS,False,BKN,-11.5,231.0,,1627775.0,SG/SF,3200.0,Patrick McCaw,21.510659330288924,10.0,5.156423902696176,10.438645833333334
9.35,7.25,BKN,True,GS,11.5,231.0,,1627785.0,PG/SG,3500.0,Isaiah Whitehead,22.14532303561899,7.4375,10.154257979661129,10.631805555555555
2.625,,LAL,True,DEN,5.0,222.5,,1627826.0,C,3400.0,Ivica Zubac,23.955668139052893,11.625,10.374748765980161,12.549196428571427
10.625,9.5,CHI,False,PHO,2.5,217.0,,1627835.0,SG/SF,3800.0,Paul Zipser,22.319237483008227,9.3125,10.478404247031376,9.367812500000001
1.5,,CHI,False,PHO,2.5,217.0,,1627853.0,PG,3000.0,Ryan Arcidiacono,22.455498717178155,11.0,9.62698393225324,11.597113095238095
1.179,0.0,MIN,True,DET,-6.0,209.0,,1627875.0,SG/SF,3000.0,Marcus Georges-Hunt,22.375086969970702,1.75,5.033604750856651,1.622767857142857
4.65,0.0,PHO,True,CHI,-2.5,217.0,,1627884.0,SF,3000.0,Derrick Jones Jr.,20.89188884544332,3.125,4.268067426502193,3.349561011904762
4.75,,LAL,True,DEN,5.0,222.5,,1627936.0,PG/SG,3000.0,Alex Caruso,24.031426181925266,11.625,11.42464561858023,12.549196428571427
18.313,10.5,CHI,False,PHO,2.5,217.0,,1628021.0,PG/SG,3900.0,David Nwaba,22.934095071127693,15.625,17.038361125688617,15.600052083333333
31.797,25.25,LAL,True,DEN,5.0,222.5,,1628366.0,PG,7000.0,Lonzo Ball,25.796872487176888,26.875,29.11235798333319,32.54526289682539
17.941,14.5,PHO,True,CHI,-2.5,217.0,,1628367.0,SG/SF,3500.0,Josh Jackson,22.506449211058047,17.75,8.959369928690238,17.28032738095238
30.404,30.0,CHI,False,PHO,2.5,217.0,,1628374.0,PF,6400.0,Lauri Markkanen,25.480017985315264,33.5,28.722062553808374,33.72097470238096
11.675,5.0,DET,False,MIN,6.0,209.0,,1628379.0,SG,3300.0,Luke Kennard,23.46563561061333,8.875,9.022763505008264,10.392172619047617
0.0,,MIN,True,DET,-6.0,209.0,,1628383.0,C,3000.0,Justin Patton,23.05785309590909,14.625,9.057860691398583,11.538095238095238
10.607,9.25,BKN,True,GS,11.5,231.0,,1628386.0,PF/C,3000.0,Jarrett Allen,22.304901576688053,8.4375,11.887365221939286,13.018035714285713
9.477,12.0,GS,False,BKN,-11.5,231.0,,1628395.0,PF/C,3000.0,Jordan Bell,21.640163927659138,13.1875,5.466848132622705,12.671666666666667
28.344,29.0,LAL,True,DEN,5.0,222.5,,1628398.0,SF/PF,6900.0,Kyle Kuzma,25.72954035220593,25.375,27.524629675837364,28.757663690476193
0.0,,DEN,False,LAL,-5.0,222.5,,1628399.0,PF,3000.0,Tyler Lydon,23.312615770730076,11.0,10.8303957380152,10.847633928571428
6.932,10.5,LAL,True,DEN,5.0,222.5,,1628404.0,PG/SG,3000.0,Josh Hart,23.708421225450955,6.375,8.74601768075996,9.223883928571428
5.625,,PHO,True,CHI,-2.5,217.0,,1628409.0,PF,3000.0,Alec Peters,21.990399240985354,11.1875,5.9518489322477395,11.529553571428572
0.0,,LAL,True,DEN,5.0,222.5,,1628418.0,PF/C,3000.0,Thomas Bryant,23.874508351360426,11.625,9.196179964661702,12.549196428571427
0.0,,DEN,False,LAL,-5.0,222.5,,1628420.0,PG,3000.0,Monte Morris,23.312615770730076,11.0,10.8303957380152,10.847633928571428
0.0,,PHO,True,CHI,-2.5,217.0,,1628432.0,SG/SF,3000.0,Davon Reed,21.668118950783818,11.1875,4.9847545835632285,10.781488095238096
0.0,,GS,False,BKN,-11.5,231.0,,1628449.0,PF,3000.0,Chris Boucher,21.663784593585728,11.625,5.063103202350096,11.96622023809524
5.813,,BKN,True,GS,11.5,231.0,,1628451.0,PG,3000.0,Jacob Wiley,22.684647705965236,11.3125,14.253557909499078,13.42078869047619
22.882,15.0,PHO,True,CHI,-2.5,217.0,,1628455.0,PG,4300.0,Mike James,23.05004365430477,21.875,13.696400522101255,21.55684523809524
9.583,,CHI,False,PHO,2.5,217.0,,1628469.0,PG,3000.0,Antonio Blakeney,22.93384933426453,15.0,15.84518137314126,15.161815476190474
0.0,,DEN,False,LAL,-5.0,222.5,,1628470.0,SG/SF,3000.0,Torrey Craig,23.312615770730076,11.0,10.8303957380152,10.847633928571428
0.0,,BKN,True,GS,11.5,231.0,,1628473.0,SG,3000.0,Yakuba Ouattara,22.391261560423132,11.3125,10.081881710927341,12.553973214285714
1.375,,DEN,False,LAL,-5.0,222.5,,,SF/PF,3600.0,,23.360738430391255,11.0,11.574365729991849,10.847633928571428
30.118,,PHO,True,CHI,-2.5,217.0,,,SF/PF,6600.0,,24.465731004115696,26.1875,30.341886602296398,25.872291666666666
