Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,NN,RF
SF,Solomon Hill,4000,NO@Det 07:30PM ET,16.229,NO,0,0,15.857,11.120,24.562,22.750,3.000,24.000,0.163,7.500,211.500,-9004.794,19.857,20.590
SF,Caris LeVert,4000,NY@Bkn 07:30PM ET,15.529,Bkn,1,0,20.679,9.089,19.750,16.500,14.000,24.000,0.173,2.500,223.500,7.672,18.227,18.413
SG/SF,Shabazz Muhammad,4000,Min@Cle 07:00PM ET,13.619,Min,0,0,14.571,7.927,21.188,18.750,27.500,24.000,0.091,6.500,215.500,-1.972,17.880,15.591
PF/C,Channing Frye,4000,Min@Cle 07:00PM ET,16.706,Cle,1,0,20.357,10.955,17.000,26.250,10.750,24.000,0.181,-6.500,215.500,2.028,17.275,20.113
PG,Yogi Ferrell,4000,Phi@Dal 08:30PM ET,13.688,Dal,1,0,10.450,6.500,19.000,38.250,16.000,24.000,0.183,-6.500,206.000,-4.674,17.197,13.812
SF,DeMarre Carroll,3900,Tor@Bos 07:30PM ET,19.290,Tor,0,0,15.250,12.844,15.812,10.500,12.500,23.400,0.320,6.000,215.000,-2.325,16.638,15.966
SG,Jeremy Lamb,3900,Cha@GS 10:30PM ET,18.103,Cha,0,0,21.464,8.188,19.812,25.750,12.000,23.400,0.329,15.000,224.000,4.025,18.529,21.247
C,Guillermo Hernangomez,3900,NY@Bkn 07:30PM ET,14.917,NY,0,0,21.036,4.750,21.812,0.000,29.000,23.400,0.210,-2.500,223.500,-3.508,18.507,20.319
PF,Richaun Holmes,3900,Phi@Dal 08:30PM ET,16.040,Phi,0,0,16.393,7.364,14.188,11.250,3.500,23.400,0.202,6.500,206.000,-9008.674,13.541,14.222
SG/SF,Joe Ingles,3900,Mil@Uta 09:00PM ET,15.495,Uta,1,0,15.321,7.740,13.875,7.250,22.500,23.400,0.210,-7.500,198.000,-10.317,13.221,13.088
PF/C,Lucas Nogueira,3800,Tor@Bos 07:30PM ET,17.856,Tor,0,0,13.571,11.131,20.812,10.500,23.000,22.800,0.273,6.000,215.000,-2.325,19.062,18.803
PF,Nikola Mirotic,3800,Chi@OKC 09:30PM ET,20.378,Chi,0,0,21.571,13.193,14.375,21.750,15.000,22.800,0.401,3.500,206.500,-4.321,16.252,20.519
SG/SF,Marco Belinelli,3800,Cha@GS 10:30PM ET,18.506,Cha,0,0,18.179,12.810,20.312,13.750,11.000,22.800,0.298,15.000,224.000,4.025,19.059,21.141
PF,Rondae Hollis-Jefferson,3800,NY@Bkn 07:30PM ET,19.114,Bkn,1,0,21.071,13.198,16.625,21.750,20.000,22.800,0.333,2.500,223.500,7.672,18.720,21.000
PG/SG,C.J. Watson,3800,Ind@Orl 07:00PM ET,9.197,Orl,1,0,13.107,4.318,21.688,30.000,20.750,22.800,0.035,2.000,212.500,-0.088,16.741,20.659
SF,Justin Anderson,3800,Phi@Dal 08:30PM ET,13.670,Dal,1,0,9.179,6.717,14.250,0.750,19.000,22.800,0.160,-6.500,206.000,-13.736,12.703,14.099
PG,Shelvin Mack,3800,Mil@Uta 09:00PM ET,15.875,Uta,1,0,14.107,8.713,4.938,4.000,4.000,22.800,0.205,-7.500,198.000,-9018.648,3.836,6.559
PG/SG,Brandon Knight,3800,LAC@Pho 09:00PM ET,19.000,Pho,1,0,10.143,11.924,13.875,7.500,4.250,22.800,0.339,2.500,219.500,-9004.287,14.656,17.100
PF/C,Marreese Speights,3800,LAC@Pho 09:00PM ET,19.349,LAC,0,0,18.964,13.231,14.250,14.250,23.000,22.800,0.347,-2.500,219.500,4.850,16.644,19.097
PF/C,Amir Johnson,3700,Tor@Bos 07:30PM ET,16.989,Bos,1,0,17.786,10.073,18.438,14.250,15.750,22.200,0.283,-6.000,215.000,1.675,17.748,17.225
SF/PF,Jeff Green,3700,Ind@Orl 07:00PM ET,16.699,Orl,1,0,17.429,10.270,19.688,21.250,19.500,22.200,0.246,2.000,212.500,-0.088,18.711,15.713
C,Bismack Biyombo,3700,Ind@Orl 07:00PM ET,19.878,Orl,1,0,19.607,12.600,11.875,7.500,18.500,22.200,0.398,2.000,212.500,-9.070,14.710,19.172
SG/SF,Kyle Korver,3700,Min@Cle 07:00PM ET,17.756,Cle,1,0,19.786,10.977,13.062,8.750,5.250,22.200,0.297,-6.500,215.500,-6.262,14.022,12.387
PG/SG,Devin Harris,3700,Phi@Dal 08:30PM ET,11.711,Dal,1,0,15.857,5.750,15.188,12.250,16.750,22.200,0.080,-6.500,206.000,-4.674,13.456,13.141
SG,Nik Stauskas,3700,Phi@Dal 08:30PM ET,16.878,Phi,0,0,18.429,11.386,20.562,23.000,4.000,22.200,0.216,6.500,206.000,-9008.674,17.794,14.381
PG,Cory Joseph,3600,Tor@Bos 07:30PM ET,17.807,Tor,0,0,20.929,12.423,16.250,6.750,24.000,21.600,0.330,6.000,215.000,-10.342,17.033,10.259
SG/SF,Vince Carter,3600,Mem@Den 09:00PM ET,17.622,Mem,0,0,15.429,12.688,16.500,24.750,22.500,21.600,0.287,-3.500,214.500,1.323,17.169,15.109
SF,Andre Roberson,3600,Chi@OKC 09:30PM ET,18.219,OKC,1,0,20.857,11.216,19.000,12.250,12.500,21.600,0.338,-3.500,206.500,-4.321,18.299,17.334
PG,Spencer Dinwiddie,3600,NY@Bkn 07:30PM ET,15.140,Bkn,1,0,18.464,7.455,20.562,19.250,13.000,21.600,0.215,2.500,223.500,7.672,18.107,21.434
PG,Kris Dunn,3600,Min@Cle 07:00PM ET,12.880,Min,0,0,6.500,7.286,12.812,14.750,22.000,21.600,0.154,6.500,215.500,-1.972,12.042,15.825
SG,Gerald Henderson,3600,Phi@Dal 08:30PM ET,17.163,Phi,0,0,17.000,10.583,21.250,27.500,4.000,21.600,0.279,6.500,206.000,-9008.674,18.012,11.466
SF,Dorian Finney-Smith,3600,Phi@Dal 08:30PM ET,11.628,Dal,1,0,11.607,6.833,15.938,6.750,19.000,21.600,0.115,-6.500,206.000,-4.674,14.399,12.588
PF,Patrick Patterson,3500,Tor@Bos 07:30PM ET,19.336,Tor,0,0,13.321,12.926,19.875,23.000,23.000,21.000,0.407,6.000,215.000,-2.325,19.187,15.994
PG/SG,Jamal Murray,3500,Mem@Den 09:00PM ET,15.569,Den,1,0,9.036,8.380,18.688,22.250,8.250,21.000,0.285,3.500,214.500,1.323,16.856,21.731
PG,Andrew Harrison,3500,Mem@Den 09:00PM ET,16.160,Mem,0,0,9.143,10.129,9.250,6.000,30.000,21.000,0.299,-3.500,214.500,-7.835,9.294,19.997
PG,Michael Carter-Williams,3500,Chi@OKC 09:30PM ET,18.569,Chi,0,0,19.500,12.562,19.625,13.250,21.000,21.000,0.362,3.500,206.500,-4.321,18.512,16.350
PG/SG,E'Twaun Moore,3500,NO@Det 07:30PM ET,18.533,NO,0,0,17.250,12.880,20.062,4.250,16.750,21.000,0.342,7.500,211.500,-11.571,18.741,18.851
C,Aron Baynes,3500,NO@Det 07:30PM ET,10.517,Det,1,0,10.393,6.704,12.312,9.250,20.500,21.000,0.050,-7.500,211.500,-0.794,11.102,9.919
PG,Isaiah Whitehead,3500,NY@Bkn 07:30PM ET,16.681,Bkn,1,0,14.250,11.369,22.250,28.000,13.000,21.000,0.267,2.500,223.500,7.672,20.159,21.097
PG,Sergio Rodriguez,3500,Phi@Dal 08:30PM ET,21.155,Phi,0,0,15.179,12.137,10.000,6.500,1.000,21.000,0.506,6.500,206.000,-9018.914,11.545,16.359
PF,Dwight Powell,3500,Phi@Dal 08:30PM ET,17.385,Dal,1,0,16.964,11.288,13.875,32.000,6.500,21.000,0.327,-6.500,206.000,-4.674,15.155,16.462
SF/PF,Michael Beasley,3500,Mil@Uta 09:00PM ET,16.212,Mil,0,0,17.250,7.625,9.938,28.000,1.000,21.000,0.319,7.500,198.000,-9014.317,11.224,21.312
PF,Jonas Jerebko,3400,Tor@Bos 07:30PM ET,11.793,Bos,1,0,15.393,6.663,17.688,15.500,21.500,20.400,0.088,-6.000,215.000,1.675,15.663,13.834
SF,James Ennis III,3400,Mem@Den 09:00PM ET,16.792,Mem,0,0,15.786,11.053,12.562,13.750,16.000,20.400,0.318,-3.500,214.500,1.323,13.587,16.625
SF,Doug McDermott,3400,Chi@OKC 09:30PM ET,16.806,Chi,0,0,19.250,10.306,17.438,18.750,7.000,20.400,0.343,3.500,206.500,-4.321,15.900,14.600
PF/C,Donatas Motiejunas,3400,NO@Det 07:30PM ET,14.625,NO,0,0,12.800,9.643,21.688,16.500,8.500,20.400,0.279,7.500,211.500,-4.794,17.962,16.991
C,Kyle O'Quinn,3400,NY@Bkn 07:30PM ET,18.151,NY,0,0,15.679,9.528,17.250,26.000,29.000,20.400,0.416,-2.500,223.500,7.672,17.719,16.781
PG,D.J. Augustin,3400,Ind@Orl 07:00PM ET,16.265,Orl,1,0,16.714,11.185,14.188,10.750,17.500,20.400,0.268,2.000,212.500,-0.088,14.551,15.850
PF,Okaro White,3400,Atl@Mia 07:30PM ET,10.500,Mia,1,0,6.450,6.450,15.312,10.000,19.000,20.400,0.166,-1.000,205.000,-5.379,14.048,12.772
PF,Marquese Chriss,3400,LAC@Pho 09:00PM ET,14.750,Pho,1,0,18.821,9.696,16.938,33.000,9.000,20.400,0.237,2.500,219.500,4.850,16.479,16.697
PG,Jerian Grant,3300,Chi@OKC 09:30PM ET,10.862,Chi,0,0,14.786,5.214,9.500,7.000,21.000,19.800,0.145,3.500,206.500,-4.321,8.673,12.963
PF/C,Joffrey Lauvergne,3300,Chi@OKC 09:30PM ET,11.702,OKC,1,0,10.321,5.864,7.812,20.500,13.250,19.800,0.157,-3.500,206.500,-4.321,7.157,15.287
PF,Domantas Sabonis,3300,Chi@OKC 09:30PM ET,14.495,OKC,1,0,13.679,8.924,14.062,17.250,18.000,19.800,0.196,-3.500,206.500,-4.321,13.457,15.203
PG/SG,Ian Clark,3300,Cha@GS 10:30PM ET,11.307,GS,1,0,9.536,6.346,8.375,8.500,17.500,19.800,0.143,-15.000,224.000,8.025,7.759,16.419
PG,Ramon Sessions,3300,Cha@GS 10:30PM ET,12.954,Cha,0,0,9.786,9.029,7.438,7.500,14.500,19.800,0.118,15.000,224.000,4.025,7.086,18.066
PG,Tim Frazier,3300,NO@Det 07:30PM ET,24.162,NO,0,0,26.071,14.607,3.812,11.000,25.000,19.800,0.626,7.500,211.500,-4.794,9.177,5.644
