DKFPS,3GAvg,TEAM_ABBREVIATION,HOME,OPP,PM,Target,PERSON_ID,Position,Salary,SVM,AdaBoost,Neural Network,Random Forest
13.781,8.0,POR,True,SAC,-12.0,,203943.0,PF/C,3500.0,27.5904827631,12.95,11.559612779,11.115375
11.0,20.5,CHA,True,LAC,-4.5,,203948.0,PF/C,3000.0,27.9257750342,13.7,14.8316765701,14.4729166667
5.0,17.0,PHI,True,GS,8.5,,203949.0,PF,3000.0,26.0746349009,9.55,10.3210265995,9.40200595238
47.0,58.0,PHI,True,GS,8.5,,203954.0,C,10000.0,33.1867306969,48.7,51.1216834648,51.4031666667
0.0,,LAC,False,CHA,4.5,,203966.0,SF/PF,3000.0,28.0309937176,10.6,8.55461987938,11.9639107143
20.321,25.0,PHI,True,GS,8.5,,203967.0,PF/C,4500.0,27.5957052885,21.35,21.1613161177,21.8269642857
34.719,29.5,HOU,False,MEM,-8.0,,203991.0,C,6700.0,29.4031799986,34.45,31.9951692272,33.3090833333
16.896,17.25,SAC,False,POR,12.0,,203992.0,SG/SF,3600.0,28.9189378015,15.5,18.4550938005,17.1008928571
28.7,46.25,POR,True,SAC,-12.0,,203994.0,C,6900.0,30.3696106048,32.05,34.6548025202,32.064
0.0,,SAC,False,POR,12.0,,204022.0,PF,3000.0,28.5480205656,8.2,9.37822775222,11.1959940476
11.045,9.5,HOU,False,MEM,-8.0,,204028.0,PF/C,3500.0,26.3516859854,13.35,11.0156574571,12.0573690476
25.188,18.0,UTA,False,ORL,5.0,,204060.0,SG/SF,5300.0,28.737037032,25.25,23.9634640031,22.1002142857
20.589,18.75,PHI,True,GS,8.5,,204456.0,PG,4200.0,27.2237564255,18.8,19.4324407201,19.9681111111
9.972,21.0,LAC,False,CHA,4.5,,1626149.0,PF/C,3200.0,28.3046660965,12.35,14.6507326546,12.5538392857
9.575,10.25,MEM,True,HOU,8.0,,1626150.0,PG/SG,3200.0,28.0903227989,9.75,10.8434348847,10.5440238095
5.318,4.75,LAC,False,CHA,4.5,,1626155.0,SF/PF,3000.0,27.7237013934,4.3,6.37110780676,5.5894047619
11.55,27.75,PHI,True,GS,8.5,,1626158.0,PF/C,3600.0,27.0565612441,18.0,17.225714827,17.0878472222
22.567,21.25,SAC,False,POR,12.0,,1626161.0,PF/C,4200.0,29.2947731874,24.2,23.6879260064,21.9367083333
20.038,20.25,CHA,True,LAC,-4.5,,1626163.0,PF/C,4000.0,28.4115442557,17.15,20.4188257581,19.1045595238
9.156,6.25,GS,False,PHI,-8.5,,1626172.0,SF/PF,3000.0,25.5531260118,7.4,7.21534581924,8.68702380952
7.45,0.0,MIL,False,DAL,-7.5,,1626173.0,PG/SF,3000.0,27.3470100315,6.75,6.34560827024,6.71034090909
21.578,18.75,BOS,False,ATL,-6.5,,1626179.0,PG/SG,4500.0,28.7962846985,20.65,21.6521285701,19.8743730159
14.096,4.0,MEM,True,HOU,8.0,,1626185.0,PF/C,3500.0,28.1050799305,12.4,11.2460119426,10.8434583333
1.0,28.75,GS,False,PHI,-8.5,,1626188.0,PG,3000.0,26.235128212,10.3,10.6269201356,15.237
11.0,10.75,POR,True,SAC,-12.0,,1626192.0,SG/SF,3000.0,27.5538031289,11.05,10.7686272256,12.6580357143
11.9,8.75,CHA,True,LAC,-4.5,,1626203.0,SG/SF,3000.0,27.5779663196,8.25,9.89297201585,10.3779563492
7.288,15.75,ORL,True,UTA,-5.0,,1626209.0,PG/SF,3000.0,27.4017551708,8.75,10.9117420366,7.36666666667
4.222,3.25,UTA,False,ORL,5.0,,1626220.0,SF,3000.0,27.3586114802,3.1,6.23294304789,3.57689285714
16.114,3.25,DAL,True,MIL,7.5,,1626257.0,C,3300.0,27.8920944068,13.65,11.8540172311,13.6810992063
0.0,,PHI,True,GS,8.5,,1626643.0,PG,3000.0,26.1163407938,10.8,9.19935202569,11.9839107143
13.788,14.75,ATL,True,BOS,6.5,,1627098.0,PG/SG,3500.0,28.3156297693,18.45,14.8091245322,12.7006666667
0.0,4.75,HOU,False,MEM,-8.0,,1627362.0,PG,3000.0,25.8222949922,2.8,5.76969194874,2.63696428571
