Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,NN,RF
SG/SF,Wesley Matthews,4500,Dal@OKC 08:00PM ET,26.023,Dal,0,0,25.107,19.534,25.062,9.000,27.000,21.500,0.451,197.000,9.000,-11.286,22.642,18.637
SG,Seth Curry,4500,Dal@OKC 08:00PM ET,20.439,Dal,0,0,22.750,14.062,25.000,11.000,27.000,34.250,0.217,197.000,9.000,-11.286,35.860,35.512
PG,Emmanuel Mudiay,4400,Pho@Den 09:00PM ET,24.293,Den,1,0,25.536,14.405,26.188,25.500,26.400,9.500,0.430,230.000,-7.000,2.341,0.000,5.698
SF/PF,P.J. Tucker,4400,Pho@Den 09:00PM ET,18.861,Pho,0,0,20.286,10.250,25.875,12.250,26.400,34.500,0.219,230.000,7.000,14.286,36.127,33.250
SG,Rodney Hood,4300,LAL@Uta 10:30PM ET,23.547,Uta,1,0,24.464,15.625,28.000,21.000,25.800,23.500,0.408,201.500,-13.000,-6.071,24.761,16.475
SF,Brandon Ingram,4200,LAL@Uta 10:30PM ET,17.776,LAL,0,0,16.179,12.883,20.938,1.000,25.200,9.000,0.166,201.500,13.000,-9017.663,9.839,9.206
SF,T.J. Warren,4100,Pho@Den 09:00PM ET,22.234,Pho,0,0,20.464,10.969,15.062,16.000,24.600,11.000,0.428,230.000,7.000,14.286,11.837,4.938
SG,Nick Young,3900,LAL@Uta 10:30PM ET,20.875,LAL,0,0,17.536,13.211,23.062,1.000,23.400,21.000,0.388,201.500,13.000,-9010.071,22.139,21.029
PG,Kris Dunn,3800,Ind@Min 08:00PM ET,12.739,Min,1,0,17.500,7.048,16.938,16.500,22.800,6.250,0.125,211.500,-3.000,1.071,7.063,5.325
PG,Shelvin Mack,3800,LAL@Uta 10:30PM ET,15.905,Uta,1,0,14.107,8.713,4.938,27.500,22.800,4.000,0.205,201.500,-13.000,-14.402,4.736,3.354
SF,C.J. Miles,3700,Ind@Min 08:00PM ET,18.118,Ind,0,0,15.321,11.487,14.125,4.500,22.200,18.250,0.306,211.500,3.000,-8998.929,19.364,18.525
PG/SG,Jamal Murray,3600,Pho@Den 09:00PM ET,15.403,Den,1,0,8.464,8.442,20.500,20.250,21.600,16.000,0.268,230.000,-7.000,14.286,17.056,15.519
PG,J.J. Barea,3600,Dal@OKC 08:00PM ET,24.167,Dal,0,0,16.393,18.275,21.500,22.500,21.600,24.250,0.614,197.000,9.000,-13.286,25.417,23.023
SF/PF,Luol Deng,3600,LAL@Uta 10:30PM ET,20.244,LAL,0,0,22.607,13.537,13.125,1.000,21.600,13.000,0.443,201.500,13.000,-9010.071,13.904,12.823
SG/SF,Shabazz Muhammad,3500,Ind@Min 08:00PM ET,13.091,Min,1,0,19.679,7.466,21.125,20.500,21.000,22.250,0.143,211.500,-3.000,1.071,23.550,23.119
SF,Andre Roberson,3400,Dal@OKC 08:00PM ET,18.478,OKC,1,0,20.750,10.900,16.750,3.000,20.400,22.500,0.405,197.000,-9.000,-9009.286,23.756,21.900
SG,Alec Burks,3400,LAL@Uta 10:30PM ET,9.477,Uta,1,0,15.750,2.042,18.250,21.000,20.400,21.000,0.132,201.500,-13.000,-6.071,22.283,19.546
PG/SG,Brandon Knight,3300,Pho@Den 09:00PM ET,19.417,Pho,0,0,14.321,12.705,13.875,29.000,19.800,16.000,0.483,230.000,7.000,14.286,16.963,12.244
C,Andrew Bogut,3300,Dal@OKC 08:00PM ET,19.435,Dal,0,0,18.750,14.271,13.062,12.000,19.800,15.500,0.477,197.000,9.000,-13.286,16.467,14.110
C,Alex Len,3200,Pho@Den 09:00PM ET,20.140,Pho,0,0,15.179,13.159,14.500,18.500,19.200,23.500,0.540,230.000,7.000,14.286,24.686,23.098
SG,Monta Ellis,3200,Ind@Min 08:00PM ET,19.271,Ind,0,0,14.857,12.026,16.438,8.000,19.200,13.250,0.503,211.500,3.000,1.071,14.145,14.144
C,Al Jefferson,3200,Ind@Min 08:00PM ET,16.313,Ind,0,0,18.536,11.426,23.000,15.000,19.200,18.250,0.353,211.500,3.000,1.071,19.337,16.308
PF,Marquese Chriss,3100,Pho@Den 09:00PM ET,14.494,Pho,0,0,14.179,9.370,16.625,8.500,18.600,12.000,0.294,230.000,7.000,14.286,12.915,6.404
PF,Dwight Powell,3100,Dal@OKC 08:00PM ET,17.439,Dal,0,0,15.714,11.490,15.312,16.500,18.600,5.750,0.441,197.000,9.000,-21.072,6.419,5.996
SG/SF,Joe Johnson,3100,LAL@Uta 10:30PM ET,15.342,Uta,1,0,7.464,8.102,13.500,24.500,18.600,11.500,0.353,201.500,-13.000,-6.071,12.404,11.413
SF/PF,Larry Nance Jr.,3100,LAL@Uta 10:30PM ET,18.683,LAL,0,0,16.536,12.094,14.688,1.000,18.600,15.750,0.504,201.500,13.000,-9010.071,16.712,15.898
PG/SG,Leandro Barbosa,3000,Pho@Den 09:00PM ET,10.125,Pho,0,0,11.500,4.107,4.562,29.000,18.000,2.750,0.155,230.000,7.000,14.286,1.855,2.667
PG,Tyler Ulis,3000,Pho@Den 09:00PM ET,6.542,Pho,0,0,3.393,3.163,3.500,29.000,18.000,4.250,0.052,230.000,7.000,14.286,0.000,4.035
PG,Malik Beasley,3000,Pho@Den 09:00PM ET,4.333,Den,1,0,2.714,0.969,4.500,25.500,18.000,2.000,0.013,230.000,-7.000,14.286,0.000,0.804
SG,Mike Miller,3000,Pho@Den 09:00PM ET,4.938,Den,1,0,5.800,1.312,4.625,15.000,18.000,7.250,0.022,230.000,-7.000,14.286,6.872,4.788
SF/PF,Dragan Bender,3000,Pho@Den 09:00PM ET,7.872,Pho,0,0,6.536,3.604,6.312,12.250,18.000,2.750,0.108,230.000,7.000,14.286,2.272,2.235
PF,Jared Dudley,3000,Pho@Den 09:00PM ET,16.858,Pho,0,0,12.786,11.000,7.750,8.500,18.000,2.000,0.443,230.000,7.000,6.313,2.780,1.977
PF,Darrell Arthur,3000,Pho@Den 09:00PM ET,13.063,Den,1,0,15.214,6.727,22.375,20.500,18.000,31.000,0.278,230.000,-7.000,14.286,32.537,18.110
PF,Juancho Hernangomez,3000,Pho@Den 09:00PM ET,8.200,Den,1,0,3.536,3.612,8.562,20.500,18.000,3.500,0.114,230.000,-7.000,14.286,4.228,3.452
C,Alan Williams,3000,Pho@Den 09:00PM ET,8.672,Pho,0,0,10.393,2.750,2.812,18.500,18.000,0.000,0.240,230.000,7.000,14.286,0.000,0.552
C,Jusuf Nurkic,3000,Pho@Den 09:00PM ET,20.231,Den,1,0,14.000,11.369,11.438,24.000,18.000,7.500,0.578,230.000,-7.000,2.880,8.217,8.113
PG/SG,Devin Harris,3000,Dal@OKC 08:00PM ET,11.414,Dal,0,0,10.429,5.750,12.375,16.750,18.000,17.000,0.193,197.000,9.000,-13.286,18.083,17.513
PG,Pierre Jackson,3000,Dal@OKC 08:00PM ET,7.594,Dal,0,0,6.875,0.375,8.688,22.500,18.000,12.250,0.129,197.000,9.000,-13.286,13.196,9.479
PG,Semaj Christon,3000,Dal@OKC 08:00PM ET,9.081,OKC,1,0,10.821,4.809,10.312,1.000,18.000,3.500,0.049,197.000,-9.000,-9014.308,4.275,3.471
PG,Cameron Payne,3000,Dal@OKC 08:00PM ET,10.667,OKC,1,0,8.000,7.438,11.750,1.000,18.000,10.000,0.061,197.000,-9.000,-9009.286,10.966,9.250
SG/SF,Alex Abrines,3000,Dal@OKC 08:00PM ET,9.353,OKC,1,0,10.679,4.488,8.562,3.500,18.000,16.000,0.098,197.000,-9.000,-9009.286,17.141,15.671
SG,Anthony Morrow,3000,Dal@OKC 08:00PM ET,8.484,OKC,1,0,8.893,3.559,3.625,4.000,18.000,3.500,0.082,197.000,-9.000,-9009.286,0.000,2.313
SG,Nicolas Brussino,3000,Dal@OKC 08:00PM ET,4.983,Dal,0,0,5.607,1.279,4.250,11.000,18.000,11.500,0.010,197.000,9.000,-13.286,0.000,8.946
SF/PF,Jerami Grant,3000,Dal@OKC 08:00PM ET,13.156,OKC,1,0,13.429,8.950,14.750,3.000,18.000,8.250,0.167,197.000,-9.000,-9009.286,9.136,8.296
SF,Kyle Singler,3000,Dal@OKC 08:00PM ET,4.261,OKC,1,0,2.750,1.386,4.312,3.000,18.000,8.000,0.001,197.000,-9.000,-9009.286,0.000,6.138
SF,Dorian Finney-Smith,3000,Dal@OKC 08:00PM ET,11.364,Dal,0,0,7.071,6.170,13.625,7.000,18.000,17.250,0.203,197.000,9.000,-13.286,18.338,13.908
SF,Justin Anderson,3000,Dal@OKC 08:00PM ET,13.848,Dal,0,0,7.429,7.307,13.875,7.000,18.000,23.250,0.321,197.000,9.000,-13.286,24.486,21.731
PF/C,Joffrey Lauvergne,3000,Dal@OKC 08:00PM ET,11.763,OKC,1,0,12.500,6.024,9.812,7.000,18.000,7.500,0.215,197.000,-9.000,-9.286,8.345,7.467
PF,Domantas Sabonis,3000,Dal@OKC 08:00PM ET,14.005,OKC,1,0,13.321,8.924,12.688,3.000,18.000,15.000,0.275,197.000,-9.000,-9009.286,16.062,15.131
C,Nick Collison,3000,Dal@OKC 08:00PM ET,3.818,OKC,1,0,2.125,0.333,4.312,11.000,18.000,-0.500,0.010,197.000,-9.000,-9.286,0.000,0.000
C,Salah Mejri,3000,Dal@OKC 08:00PM ET,10.859,Dal,0,0,10.107,5.091,9.688,12.000,18.000,11.250,0.187,197.000,9.000,-13.286,12.164,11.077
C,A.J. Hammons,3000,Dal@OKC 08:00PM ET,3.794,Dal,0,0,2.536,1.750,3.875,12.000,18.000,2.000,0.002,197.000,9.000,-13.286,0.000,0.842
PG/SG,Rodney Stuckey,3000,Ind@Min 08:00PM ET,15.794,Ind,0,0,17.357,8.306,14.625,13.500,18.000,2.000,0.409,211.500,3.000,-8.548,1.070,0.427
PG,Aaron Brooks,3000,Ind@Min 08:00PM ET,11.856,Ind,0,0,13.964,7.114,6.750,19.000,18.000,3.000,0.195,211.500,3.000,-6.025,3.755,2.835
PG,Tyus Jones,3000,Ind@Min 08:00PM ET,9.170,Min,1,0,5.357,2.042,10.062,16.500,18.000,19.000,0.177,211.500,-3.000,1.071,20.175,10.760
SG,Brandon Rush,3000,Ind@Min 08:00PM ET,7.938,Min,1,0,11.000,3.229,15.062,27.000,18.000,0.000,0.159,211.500,-3.000,1.071,0.000,0.192
SG,Joe Young,3000,Ind@Min 08:00PM ET,4.762,Ind,0,0,9.071,0.635,2.812,8.000,18.000,2.500,0.033,211.500,3.000,1.071,0.000,1.408
SF/PF,Nemanja Bjelica,3000,Ind@Min 08:00PM ET,12.942,Min,1,0,13.607,6.107,9.438,21.000,18.000,2.500,0.285,211.500,-3.000,-7.787,2.258,2.977
PF/C,Kevin Seraphin,3000,Ind@Min 08:00PM ET,9.491,Ind,0,0,8.357,3.600,2.500,11.750,18.000,3.250,0.145,211.500,3.000,1.071,0.000,2.342
PF,Jordan Hill,3000,Ind@Min 08:00PM ET,5.350,Min,1,0,2.667,0.625,5.000,28.000,18.000,1.250,0.048,211.500,-3.000,1.071,0.000,1.056
PF,Adreian Payne,3000,Ind@Min 08:00PM ET,9.000,Min,1,0,10.750,4.625,4.812,28.000,18.000,2.750,0.102,211.500,-3.000,1.071,0.000,0.912
PF,Rakeem Christmas,3000,Ind@Min 08:00PM ET,3.417,Ind,0,0,1.375,1.375,3.417,8.500,18.000,0.000,0.055,211.500,3.000,1.071,0.000,0.213
PF,Georges Niang,3000,Ind@Min 08:00PM ET,2.316,Ind,0,0,1.821,0.521,2.000,8.500,18.000,0.000,0.000,211.500,3.000,1.071,0.000,0.202
C,Cole Aldrich,3000,Ind@Min 08:00PM ET,8.931,Min,1,0,5.250,4.602,4.625,16.000,18.000,9.000,0.102,211.500,-3.000,1.071,9.896,7.679
C,Lavoy Allen,3000,Ind@Min 08:00PM ET,6.406,Ind,0,0,3.714,3.347,1.875,15.000,18.000,1.250,0.005,211.500,3.000,-2.887,0.000,0.898
PG,Jose Calderon,3000,LAL@Uta 10:30PM ET,9.054,LAL,0,0,6.571,3.635,8.688,7.000,18.000,3.750,0.158,201.500,13.000,-10.071,0.000,3.323
PG,Marcelo Huertas,3000,LAL@Uta 10:30PM ET,8.075,LAL,0,0,11.286,4.125,4.438,7.000,18.000,3.000,0.104,201.500,13.000,-10.071,0.000,1.148
PG,Raul Neto,3000,LAL@Uta 10:30PM ET,5.370,Uta,1,0,4.214,1.464,3.938,27.500,18.000,0.000,0.016,201.500,-13.000,-11.412,0.000,0.325
PG,Dante Exum,3000,LAL@Uta 10:30PM ET,11.750,Uta,1,0,12.786,5.385,8.562,27.500,18.000,14.750,0.157,201.500,-13.000,-6.071,15.830,15.154
SF,Metta World Peace,3000,LAL@Uta 10:30PM ET,2.603,LAL,0,0,2.857,0.523,0.875,1.000,18.000,-0.500,0.001,201.500,13.000,-9010.071,0.000,0.000
PF/C,Boris Diaw,3000,LAL@Uta 10:30PM ET,11.336,Uta,1,0,9.036,5.989,16.250,28.250,18.000,22.750,0.193,201.500,-13.000,-6.071,24.052,20.183
PF,Thomas Robinson,3000,LAL@Uta 10:30PM ET,11.485,LAL,0,0,16.107,4.653,3.062,1.000,18.000,3.750,0.226,201.500,13.000,-9010.071,0.000,1.927
PF,Joel Bolomboy,3000,LAL@Uta 10:30PM ET,2.833,Uta,1,0,1.938,1.050,2.812,26.500,18.000,3.500,0.004,201.500,-13.000,-6.071,0.000,3.817
PF,Trey Lyles,3000,LAL@Uta 10:30PM ET,16.447,Uta,1,0,15.536,9.750,13.688,26.500,18.000,13.250,0.418,201.500,-13.000,-6.071,14.202,13.813
C,Jeff Withey,3000,LAL@Uta 10:30PM ET,7.380,Uta,1,0,5.643,3.058,2.125,30.000,18.000,1.250,0.033,201.500,-13.000,-11.470,0.000,1.410
C,Tarik Black,3000,LAL@Uta 10:30PM ET,14.608,LAL,0,0,9.036,9.408,16.812,2.000,18.000,11.500,0.312,201.500,13.000,-9010.071,12.371,12.050
C,Timofey Mozgov,3000,LAL@Uta 10:30PM ET,15.979,LAL,0,0,13.607,10.413,14.562,2.000,18.000,9.250,0.394,201.500,13.000,-9010.071,10.040,9.554
C,Ivica Zubac,3000,LAL@Uta 10:30PM ET,10.821,LAL,0,0,10.750,3.611,21.500,2.000,18.000,33.000,0.279,201.500,13.000,-9010.071,34.549,32.315
