DKFPS,TEAM_ABBREVIATION,HOME,OPP,PM,OU,Target,Position,Salary,Name,SVM,AdaBoost,Random Forest,Neural Network
33.117,GS,False,PHI,-8.5,230.0,,SG,6900.0,Klay Thompson,34.430432350249454,22.5,21.2325,34.61514879521869
0.0,MEM,True,HOU,8.0,214.0,,SG,3000.0,Kobi Simmons,33.951517146135814,6.0,8.505208333333332,7.882338155031689
17.317,SAC,False,POR,12.0,195.5,,C,3300.0,Kosta Koufos,34.33834019710125,24.5,24.319761904761904,16.001391854850002
36.633,BOS,False,ATL,-6.5,202.5,,PG,8500.0,Kyrie Irving,34.67327438410165,26.5,31.194047619047616,39.13377169700797
28.089,LAC,False,CHA,4.5,213.5,,PG/SG,6800.0,Lou Williams,34.56764501613633,8.75,8.89404761904762,29.16688041456278
8.781,SAC,False,POR,12.0,195.5,,SG/SF,3000.0,Malachi Richardson,34.18942265123756,13.75,7.858333333333334,9.2392535623374
27.365,MIL,False,DAL,-7.5,202.5,,PG/SG,5300.0,Malcolm Brogdon,34.38280349684376,48.25,42.51416666666667,27.473160465706542
13.788,ATL,True,BOS,6.5,202.5,,PG/SG,3500.0,Malcolm Delaney,34.14340839089294,13.5,15.249967532467531,14.221425013586943
15.304,CHA,True,LAC,-4.5,213.5,,PG/SG,3600.0,Malik Monk,34.11086220742307,14.75,16.299375,15.650527960619153
2.5,CHA,True,LAC,-4.5,213.5,,PF/C,3000.0,Mangok Mathiang,33.866438960138396,8.75,9.668333333333333,7.930911082941055
41.464,MEM,True,HOU,8.0,214.0,,C,8200.0,Marc Gasol,34.967642300906874,45.5,46.31017857142857,39.317128686670515
21.65,ATL,True,BOS,6.5,202.5,,SG,3900.0,Marco Belinelli,34.33176125162442,28.25,28.42136904761905,23.71723154061451
23.714,BOS,False,ATL,-6.5,202.5,,SF/PF,4800.0,Marcus Morris,34.26320930633873,5.0,13.401101190476192,23.68644536851066
2.5,CHA,True,LAC,-4.5,213.5,,PG,3000.0,Marcus Paige,33.866438960138396,8.75,9.668333333333333,7.930911082941055
26.036,BOS,False,ATL,-6.5,202.5,,SG/SF,5600.0,Marcus Smart,34.331618311571695,42.0,33.75895833333333,26.673281764025965
18.714,MEM,True,HOU,8.0,214.0,,PG,4100.0,Mario Chalmers,34.29608388921388,36.0,38.25896825396826,18.533319048190243
7.288,ORL,True,UTA,-5.0,211.5,,PG/SF,3000.0,Mario Hezonja,33.831181463560256,18.75,23.351666666666667,8.005140919633016
13.182,ORL,True,UTA,-5.0,211.5,,PF/C,3100.0,Marreese Speights,33.96030190213276,10.0,7.678777472527473,9.62029751968904
18.446,CHA,True,LAC,-4.5,213.5,,SF/PF,3800.0,Marvin Williams,34.18889309756469,25.25,20.821527777777778,18.750202913403953
16.433,POR,True,SAC,-12.0,195.5,,SF/PF,3500.0,Maurice Harkless,34.091545755613936,21.75,34.26190476190476,20.88559009874365
7.65,DAL,True,MIL,7.5,202.5,,PF,3000.0,Maxi Kleber,34.03935754524957,5.25,6.802083333333333,9.044714200578873
7.25,POR,True,SAC,-12.0,195.5,,PF/C,3000.0,Meyers Leonard,33.90681673559519,18.75,15.243333333333334,9.850312647594812
10.917,CHA,True,LAC,-4.5,213.5,,PG,3200.0,Michael Carter-Williams,34.01322159253892,9.75,19.350881410256413,10.928969010682057
16.156,CHA,True,LAC,-4.5,213.5,,SF,4000.0,Michael Kidd-Gilchrist,34.13138074726921,7.0,9.901875,16.560275120166175
0.0,ATL,True,BOS,6.5,202.5,,C,3000.0,Miles Plumlee,33.91610131415202,6.25,5.108124999999999,7.83848259909549
9.972,LAC,False,CHA,4.5,213.5,,PF/C,3200.0,Montrezl Harrell,34.178435080586226,8.25,8.256666666666666,10.186251421438008
0.0,UTA,False,ORL,5.0,211.5,,PG,3000.0,Nate Wolters,33.68121108338035,5.25,6.3218749999999995,8.105718308616874
13.167,DAL,True,MIL,7.5,202.5,,C,3400.0,Nerlens Noel,34.142386887084434,14.25,9.998331043956044,13.769497198228438
11.482,GS,False,PHI,-8.5,230.0,,SG,3300.0,Nick Young,33.594297011022945,20.75,18.857916666666664,9.294676160595918
25.25,CHA,True,LAC,-4.5,213.5,,SG/SF,6300.0,Nicolas Batum,34.37811333977237,20.5,8.753333333333334,23.721425821590188
1.25,ATL,True,BOS,6.5,202.5,,SG/SF,3000.0,Nicolas Brussino,33.9308166849238,6.25,4.6901190476190475,7.906000175373819
35.15,ORL,True,UTA,-5.0,211.5,,C,6800.0,Nikola Vucevic,34.6509007875213,22.0,17.975,32.92469501424735
13.781,POR,True,SAC,-12.0,195.5,,PF/C,3500.0,Noah Vonleh,34.031961439956845,14.0,13.743717532467532,17.012001032698432
11.875,GS,False,PHI,-8.5,230.0,,SF/PF,3300.0,Omri Casspi,33.60573706297232,13.25,17.46857142857143,9.501693224937446
11.0,POR,True,SAC,-12.0,195.5,,SG/SF,3000.0,Pat Connaughton,33.97480420513306,12.25,11.661607142857143,13.145553926624155
8.229,GS,False,PHI,-8.5,230.0,,SG/SF,3200.0,Patrick McCaw,33.506034661193844,16.25,20.122083333333332,8.276004115888568
1.0,GS,False,PHI,-8.5,230.0,,PG,3000.0,Quinn Cook,33.35253765081282,6.25,7.818125,7.744403617333367
7.45,MIL,False,DAL,-7.5,202.5,,PG/SF,3000.0,Rashad Vaughn,33.90326450032215,10.75,10.753333333333332,8.243344706815444
9.75,UTA,False,ORL,5.0,211.5,,PG,3000.0,Raul Neto,33.8531993885014,20.75,22.380297619047617,12.26450347396678
11.55,PHI,True,GS,8.5,230.0,,PF/C,3600.0,Richaun Holmes,33.696113154936924,11.5,11.556666666666667,13.57931474838499
31.536,PHI,True,GS,8.5,230.0,,SF/PF,6300.0,Robert Covington,34.497737860208865,50.5,49.41122023809524,31.83474080051656
24.0,UTA,False,ORL,5.0,211.5,,SG/SF,5500.0,Rodney Hood,34.24991192179114,22.75,22.584583333333335,21.84939233767303
4.222,UTA,False,ORL,5.0,211.5,,SF,3000.0,Royce O'Neale,33.744945861157525,1.5,3.092321428571428,9.06789453938568
23.047,HOU,False,MEM,-8.0,214.0,,PF/C,4400.0,Ryan Anderson,34.09127126086258,33.0,36.58345238095238,22.439617594139904
16.114,DAL,True,MIL,7.5,202.5,,C,3300.0,Salah Mejri,34.20592547931088,9.75,11.465238095238096,17.941201934346463
5.318,LAC,False,CHA,4.5,213.5,,SF/PF,3000.0,Sam Dekker,34.10889934801037,4.5,7.383898809523809,8.282144203154377
6.067,BOS,False,ATL,-6.5,202.5,,SF/PF,3200.0,Semi Ojeleye,33.858837372096616,4.25,3.6379166666666665,8.10038473906463
12.409,POR,True,SAC,-12.0,195.5,,PG/SG,3600.0,Shabazz Napier,34.00306439133228,20.75,19.788333333333334,15.016451689689259
6.846,BOS,False,ATL,-6.5,202.5,,PG,3200.0,Shane Larkin,33.8717255103169,7.0,4.681755952380953,8.203512558939902
12.904,GS,False,PHI,-8.5,230.0,,PG/SG,3500.0,Shaun Livingston,33.636466344816434,16.75,16.91401785714286,10.17085367023094
17.0,ORL,True,UTA,-5.0,211.5,,PG,3400.0,Shelvin Mack,34.05886348744639,23.5,25.972559523809526,13.227561338411052
9.607,LAC,False,CHA,4.5,213.5,,SG,3200.0,Sindarius Thornwell,34.17247769243557,5.75,3.7416666666666663,9.929959994158644
16.867,SAC,False,POR,12.0,195.5,,PF/C,3600.0,Skal Labissiere,34.329474634136254,21.75,23.173244047619043,15.387728148317628
44.518,GS,False,PHI,-8.5,230.0,,PG/SG,9100.0,Stephen Curry,34.97293036007975,42.5,28.56666666666667,51.23624284374474
4.167,MIL,False,DAL,-7.5,202.5,,SG,3000.0,Sterling Brown,33.85181936840231,10.25,9.14375,7.8830067034917
20.589,PHI,True,GS,8.5,230.0,,PG,4200.0,T.J. McConnell,34.017975000041424,22.75,25.48380952380952,20.891865803273582
11.045,HOU,False,MEM,-8.0,214.0,,PF/C,3500.0,Tarik Black,33.7141558037028,6.0,0.3198809523809524,9.986150317306091
27.45,ATL,True,BOS,6.5,202.5,,SG/SF,5000.0,Taurean Prince,34.4925862278321,36.5,39.70979166666667,30.66276167403041
19.0,ORL,True,UTA,-5.0,211.5,,SG/SF,3700.0,Terrence Ross,34.11481175447252,22.0,22.00589285714286,15.891278001200243
21.578,BOS,False,ATL,-6.5,202.5,,PG/SG,4500.0,Terry Rozier,34.202932456144396,3.75,6.11875,21.016464170981134
12.589,MIL,False,DAL,-7.5,202.5,,PF/C,3300.0,Thon Maker,34.000823187889495,9.25,7.595000000000001,10.390580210238674
10.327,PHI,True,GS,8.5,230.0,,SG/SF,3100.0,Timothe Luwawu-Cabarrot,33.658930225457084,14.0,14.504791666666666,12.897532802281232
1.917,UTA,False,ORL,5.0,211.5,,PF/C,3000.0,Tony Bradley,33.708091734072575,3.0,5.245982142857143,8.416571561225823
