Name,Salary,Position,teamAbbrev,AvgPointsPerGame,expectedScore,atHome,opponent,injured,7GameAvg,floorAvg,4GameAvg,communityBonus,Final,O/U,odds
Jose Calderon,3000,PG,LAL,10.453,104.450,1,ORL,0,13.750,3.714,7.750,0.000,0.000,217.000,-2.500
Thomas Robinson,3400,PF,LAL,12.500,104.450,1,ORL,0,16.286,4.673,17.688,0.000,15.000,217.000,-2.500
Marcelo Huertas,3000,PG,LAL,9.267,104.450,1,ORL,0,6.750,3.917,8.938,0.000,0.000,217.000,-2.500
Kyle Korver,4700,SG/SF,CLE,19.141,107.625,0,PHO,0,17.036,12.183,26.938,0.000,0.000,221.000,-8.500
Gordon Hayward,7100,SF,UTA,37.266,98.175,0,MEM,0,33.750,28.800,30.875,3.000,35.250,187.500,2.500
Rudy Gobert,6600,C,UTA,35.743,98.175,0,MEM,0,38.179,26.750,38.625,0.000,29.500,187.500,2.500
George Hill,6000,PG,UTA,33.196,98.175,0,MEM,0,37.208,18.812,27.562,0.000,26.000,187.500,2.500
Rodney Hood,4300,SG,UTA,23.008,98.175,0,MEM,0,13.536,15.125,17.312,3.000,15.750,187.500,2.500
Shelvin Mack,4300,PG,UTA,17.059,98.175,0,MEM,0,16.964,10.472,18.250,0.000,11.000,187.500,2.500
Joe Johnson,3200,SG/SF,UTA,15.987,98.175,0,MEM,0,14.250,8.833,15.688,0.000,9.750,187.500,2.500
Derrick Favors,4900,PF/C,UTA,20.946,98.175,0,MEM,0,19.179,14.286,23.688,6.000,9.750,187.500,2.500
Dante Exum,3000,PG,UTA,12.190,98.175,0,MEM,0,11.607,6.542,7.875,0.000,0.000,187.500,2.500
Trey Lyles,3100,PF,UTA,17.072,98.175,0,MEM,0,10.643,10.569,9.688,0.000,18.500,187.500,2.500
Joe Ingles,3700,SG/SF,UTA,15.237,98.175,0,MEM,0,19.500,7.274,21.750,0.000,8.500,187.500,2.500
Boris Diaw,3000,PF/C,UTA,10.698,98.175,0,MEM,0,10.643,5.639,8.188,0.000,7.750,187.500,2.500
Jeff Withey,3000,C,UTA,7.948,98.175,0,MEM,0,9.714,3.875,8.438,0.000,0.000,187.500,2.500
Raul Neto,3000,PG,UTA,5.638,98.175,0,MEM,0,7.893,1.159,8.125,0.000,0.000,187.500,2.500
Alec Burks,3000,SG,UTA,3.417,98.175,0,MEM,0,3.417,-0.500,3.417,0.000,0.000,187.500,2.500
Joel Bolomboy,3000,PF,UTA,2.833,98.175,0,MEM,0,3.550,1.050,2.812,0.000,0.000,187.500,2.500
