Name,Salary,Position,team,AvgPointsPerGame,expectedScore,atHome,opponent,injured,fpWithBonus,7dayAvg,penalty
Troy Williams,3000,SG,MEM,10.720,105,0,GSW,0,10.720,11.821,0.00
Jarell Martin,3000,PF/C,MEM,10.520,105,0,GSW,0,10.520,8.464,0.00
John Wall,10100,PG,WAS,49.164,104,1,MIN,0,50.164,53.179,0.00
Marcin Gortat,6200,C,WAS,32.331,104,1,MIN,0,32.331,33.286,0.00
Bradley Beal,6900,SG,WAS,34.075,104,1,MIN,0,34.075,36.321,0.00
Otto Porter,6000,SF/PF,WAS,29.566,104,1,MIN,0,29.566,28.714,0.00
Markieff Morris,4900,SF/PF,WAS,25.386,104,1,MIN,0,25.386,28.821,0.00
Marcus Thornton,3000,SG,WAS,12.712,104,1,MIN,0,12.712,12.107,0.00
Tomas Satoransky,3300,PG,WAS,8.826,104,1,MIN,0,8.826,7.107,0.00
Sheldon McClellan,3000,SG,WAS,7.729,104,1,MIN,0,7.729,4.500,0.00
Trey Burke,3000,PG,WAS,8.258,104,1,MIN,0,8.258,11.357,0.00
Jason Smith,3000,PF/C,WAS,8.383,104,1,MIN,0,8.383,12.214,0.00
Andrew Nicholson,3000,C,WAS,5.891,104,1,MIN,0,5.891,2.786,0.00
Daniel Ochefu,3000,C,WAS,2.875,104,1,MIN,0,2.875,2.400,0.00
Ersan Ilyasova,6000,PF,PHI,26.439,103,0,BOS,0,30.439,36.536,0.00
Zach LaVine,6700,SG,MIN,32.015,104,0,WAS,0,32.015,33.821,0.00
Andrew Wiggins,6800,SF,MIN,32.321,104,0,WAS,0,32.321,34.286,0.00
Karl-Anthony Towns,9600,PF/C,MIN,44.829,104,0,WAS,0,45.829,43.643,0.00
Gorgui Dieng,5800,PF/C,MIN,27.364,104,0,WAS,0,27.364,27.357,0.00
Ricky Rubio,5500,PG,MIN,25.792,104,0,WAS,0,25.792,30.393,0.00
Shabazz Muhammad,3300,SG/SF,MIN,12.148,104,0,WAS,0,13.148,13.429,0.00
Kris Dunn,3200,PG,MIN,12.964,104,0,WAS,0,12.964,10.929,0.00
Nemanja Bjelica,3000,SF/PF,MIN,13.333,104,0,WAS,0,13.333,11.071,0.00
Cole Aldrich,3400,C,MIN,10.024,104,0,WAS,0,10.024,14.929,0.00
Brandon Rush,3000,SG,MIN,4.773,104,0,WAS,0,4.773,3.667,0.00
Tyus Jones,3000,PG,MIN,9.000,104,0,WAS,0,9.000,9.393,0.00
Adreian Payne,3000,PF,MIN,9.000,104,0,WAS,0,9.000,7.250,0.00
Jordan Hill,3000,PF,MIN,5.350,104,0,WAS,0,5.350,9.375,0.00
John Lucas III,3000,PG,MIN,1.500,104,0,WAS,0,1.500,0.00,0.00
Brook Lopez,6500,C,BRK,35.194,108,1,CLE,0,35.194,37.500,0.00
Sean Kilpatrick,5300,SG,BRK,26.221,108,1,CLE,0,27.221,29.607,0.00
Trevor Booker,5700,PF,BRK,28.633,108,1,CLE,0,28.633,30.464,0.00
Bojan Bogdanovic,4200,SG/SF,BRK,20.956,108,1,CLE,0,20.956,23.964,0.00
Joe Harris,3200,SG,BRK,16.578,108,1,CLE,0,16.578,15.750,0.00
Isaiah Whitehead,3500,PG,BRK,15.731,108,1,CLE,0,15.731,19.607,0.00
Justin Hamilton,3500,PF/C,BRK,16.043,108,1,CLE,0,16.043,10.607,0.00
Randy Foye,3000,PG,BRK,11.344,108,1,CLE,0,11.344,9.714,0.00
Caris LeVert,3000,SF,BRK,11.375,108,1,CLE,0,11.375,8.800,0.00
Spencer Dinwiddie,3000,PG,BRK,11.136,108,1,CLE,0,11.136,7.333,0.00
Luis Scola,3000,PF/C,BRK,12.528,108,1,CLE,0,12.528,7.929,0.00
Anthony Bennett,3000,SF,BRK,10.739,108,1,CLE,0,10.739,6.250,0.00
Chris McCullough,3000,PF,BRK,5.250,108,1,CLE,0,5.250,1.438,0.00
Ersan Ilyasova,6000,PF,PHI,26.439,103,0,BOS,0,30.439,36.536,0.00
Nik Stauskas,3800,SG/SF,PHI,17.161,103,0,BOS,0,17.161,18.929,0.00
