Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,±,Final
C,Marshall Plumlee,3000,Was@NY 08:00PM ET,9.063,NY,True,0,1.250,0.625,9.062,0.000,-815.670,9.000,18.000,220.000,2.500,3.250
C,Daniel Ochefu,3000,Was@NY 08:00PM ET,3.025,WAS,False,0,3.667,1.042,5.375,0.000,-0.000,25.500,18.000,220.000,-2.500,0.000
PG,Kris Dunn,3000,Min@LAC 10:30PM ET,12.060,MIN,False,0,6.357,6.609,6.500,0.000,-1086.894,3.000,18.000,208.000,-1.000,18.500
PG,Tyus Jones,3000,Min@LAC 10:30PM ET,8.685,MIN,False,0,5.464,2.042,3.000,0.000,-782.074,3.000,18.000,208.000,-1.000,10.500
SG/SF,Shabazz Muhammad,3000,Min@LAC 10:30PM ET,12.428,MIN,False,0,12.679,6.938,15.188,1.243,-1119.126,11.000,18.000,208.000,-1.000,12.500
SG,Alan Anderson,3000,Min@LAC 10:30PM ET,5.406,LAC,True,0,2.893,2.450,6.125,0.000,-486.804,6.000,18.000,208.000,1.000,0.000
SF/PF,Nemanja Bjelica,3000,Min@LAC 10:30PM ET,13.431,MIN,False,0,11.750,6.812,16.875,0.000,-1209.445,9.750,18.000,208.000,-1.000,2.750
SF,Paul Pierce,3000,Min@LAC 10:30PM ET,6.917,LAC,True,0,4.292,3.500,6.938,0.000,-622.867,5.000,18.000,208.000,1.000,0.000
SF,Wesley Johnson,3000,Min@LAC 10:30PM ET,10.444,LAC,True,0,10.071,5.487,11.562,0.000,-940.469,5.000,18.000,208.000,1.000,5.250
PF,Brandon Bass,3000,Min@LAC 10:30PM ET,9.639,LAC,True,0,11.786,4.839,12.188,0.000,-867.980,8.000,18.000,208.000,1.000,22.000
PF,Jordan Hill,3000,Min@LAC 10:30PM ET,5.350,MIN,False,0,9.375,0.625,5.000,0.000,-481.761,5.000,18.000,208.000,-1.000,0.000
PF,Adreian Payne,3000,Min@LAC 10:30PM ET,9.000,MIN,False,0,7.250,4.625,4.812,0.000,-810.439,5.000,18.000,208.000,-1.000,0.000
C,Cole Aldrich,3000,Min@LAC 10:30PM ET,9.257,MIN,False,0,10.786,5.159,4.812,0.000,-833.582,7.000,18.000,208.000,-1.000,2.750
C,Diamond Stone,3000,Min@LAC 10:30PM ET,2.813,LAC,True,0,2.812,0.250,2.812,0.000,-253.307,12.000,18.000,208.000,1.000,0.000
PG/SG,Jamal Murray,3000,Den@SA 08:30PM ET,14.906,DEN,False,0,14.679,8.310,7.812,0.000,-5.981,13.250,18.000,219.000,12.000,24.500
PG,Bryn Forbes,3000,Den@SA 08:30PM ET,1.483,SA,True,0,2.536,0.114,0.812,0.000,-0.297,30.000,18.000,219.000,-12.000,0.000
PG,Malik Beasley,3000,Den@SA 08:30PM ET,4.545,DEN,False,0,3.200,0.821,5.188,0.000,-409.959,5.000,18.000,219.000,12.000,0.000
PG,Dejounte Murray,3000,Den@SA 08:30PM ET,5.100,SA,True,1,6.500,1.682,7.688,0.000,-510.969,30.000,18.000,219.000,-12.000,32.500
SG,Mike Miller,3000,Den@SA 08:30PM ET,4.000,DEN,False,0,1.125,1.312,5.438,0.000,-0.800,21.500,18.000,219.000,12.000,8.250
SG,Kyle Anderson,3000,Den@SA 08:30PM ET,8.694,SA,True,0,7.214,4.054,4.375,0.000,-1.739,28.500,18.000,219.000,-12.000,0.000
SF/PF,Davis Bertans,3000,Den@SA 08:30PM ET,6.860,SA,True,0,10.357,2.250,7.062,0.000,-1.372,13.750,18.000,219.000,-12.000,10.000
SF,Alonzo Gee,3000,Den@SA 08:30PM ET,3.654,DEN,False,0,2.125,0.531,0.375,0.000,-329.591,2.000,18.000,219.000,12.000,0.000
PF,Darrell Arthur,3000,Den@SA 08:30PM ET,11.176,DEN,False,1,11.786,5.611,16.125,0.000,-1119.723,2.000,18.000,219.000,12.000,0.000
C,Jusuf Nurkic,3000,Den@SA 08:30PM ET,20.861,DEN,False,0,21.071,11.763,12.062,0.000,-1884.055,3.000,18.000,219.000,12.000,7.750
