Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final
SG,Alan Anderson,3000,LAC@Den 09:00PM ET,5.406,LAC,0,0,7.750,2.450,6.125,0.000,0.550,29.000,18.000,222.500,5.000,5.500
SF,Paul Pierce,3000,LAC@Den 09:00PM ET,6.917,LAC,0,0,9.542,3.500,6.938,0.000,0.704,19.500,18.000,222.500,5.000,0.000
SF,Wesley Johnson,3000,LAC@Den 09:00PM ET,10.304,LAC,0,0,11.179,5.475,10.125,0.000,1.049,19.500,18.000,222.500,5.000,10.750
PF,Brandon Bass,3000,LAC@Den 09:00PM ET,10.080,LAC,0,0,11.500,5.167,12.688,0.000,-906.174,11.500,18.000,222.500,5.000,8.750
PF,Darrell Arthur,3000,LAC@Den 09:00PM ET,11.176,DEN,1,1,12.000,5.611,16.125,0.000,-1116.351,4.000,18.000,222.500,-5.000,12.000
C,Jusuf Nurkic,3000,LAC@Den 09:00PM ET,20.507,DEN,1,0,12.786,11.562,6.688,0.000,-1867.154,9.000,18.000,222.500,-5.000,22.750
PG/SG,Tomas Satoransky,3000,Was@Det 06:00PM ET,9.917,WAS,0,0,6.036,4.891,16.188,0.000,-0.349,14.500,18.000,208.000,1.000,-0.500
PG,Beno Udrih,3000,Was@Det 06:00PM ET,13.278,DET,1,0,16.250,7.929,9.062,0.000,-1204.245,4.000,18.000,208.000,-1.000,0.000
PG,Trey Burke,3000,Was@Det 06:00PM ET,8.270,WAS,0,0,6.536,4.477,8.875,0.000,-0.291,23.500,18.000,208.000,1.000,12.500
SG,Darrun Hilliard,3000,Was@Det 06:00PM ET,6.413,DET,1,0,6.036,2.554,4.750,0.000,-577.396,10.000,18.000,208.000,-1.000,0.000
SG,Sheldon McClellan,3000,Was@Det 06:00PM ET,7.500,WAS,0,0,12.214,2.500,5.062,0.000,-675.264,5.500,18.000,208.000,1.000,2.500
SF,Marcus Thornton,3000,Was@Det 06:00PM ET,12.712,WAS,0,0,9.500,6.875,13.688,0.000,-1153.646,4.500,18.000,208.000,1.000,0.000
SF,Michael Gbinije,3000,Was@Det 06:00PM ET,1.344,DET,1,1,1.100,0.625,1.500,0.000,-134.434,16.000,18.000,208.000,-1.000,0.000
PF/C,Jason Smith,3000,Was@Det 06:00PM ET,9.881,WAS,0,0,11.250,6.074,15.188,0.000,-889.638,8.250,18.000,208.000,1.000,24.000
PF,Henry Ellenson,3000,Was@Det 06:00PM ET,2.964,DET,1,0,2.429,1.361,4.750,0.000,-0.104,23.500,18.000,208.000,-1.000,0.000
C,Andrew Nicholson,3000,Was@Det 06:00PM ET,5.840,WAS,0,0,9.250,2.300,5.062,0.000,-525.806,5.000,18.000,208.000,1.000,0.000
C,Boban Marjanovic,3000,Was@Det 06:00PM ET,9.842,DET,1,0,11.821,2.841,14.938,0.000,-886.127,9.000,18.000,208.000,-1.000,2.750
C,Daniel Ochefu,3000,Was@Det 06:00PM ET,3.025,WAS,0,0,3.667,1.042,5.375,0.000,-272.357,5.000,18.000,208.000,1.000,0.000
PG,Isaiah Canaan,3000,Sac@Chi 09:00PM ET,10.768,CHI,1,0,7.179,5.703,3.312,0.000,-11.014,22.000,18.000,205.000,-6.500,0.000
SG/SF,Denzel Valentine,3000,Sac@Chi 09:00PM ET,7.611,CHI,1,0,7.607,2.922,15.125,0.000,-2.006,15.750,18.000,205.000,-6.500,0.000
SG,Arron Afflalo,3000,Sac@Chi 09:00PM ET,12.379,SAC,0,0,10.536,6.706,12.250,0.000,-3.262,14.000,18.000,205.000,6.500,21.750
SG,Ben McLemore,3000,Sac@Chi 09:00PM ET,8.485,SAC,0,0,9.929,2.554,1.312,0.000,-2.236,14.000,18.000,205.000,6.500,0.000
SG,Malachi Richardson,3000,Sac@Chi 09:00PM ET,4.607,SAC,0,0,4.700,1.450,3.125,0.000,-1.214,14.000,18.000,205.000,6.500,5.500
SF,Paul Zipser,3000,Sac@Chi 09:00PM ET,4.982,CHI,1,0,4.083,1.688,10.938,0.000,-449.693,11.000,18.000,205.000,-6.500,18.500
PF,Bobby Portis,3000,Sac@Chi 09:00PM ET,9.858,CHI,1,0,7.643,5.361,10.375,0.000,-2.598,23.500,18.000,205.000,-6.500,0.000
PF,Skal Labissiere,3000,Sac@Chi 09:00PM ET,5.450,SAC,0,0,5.812,2.250,3.875,0.000,-1.436,17.500,18.000,205.000,6.500,0.000
C,Kosta Koufos,3000,Sac@Chi 09:00PM ET,15.851,SAC,0,0,21.821,10.457,13.125,0.000,-1430.767,9.000,18.000,205.000,6.500,20.000
C,Willie Cauley-Stein,3000,Sac@Chi 09:00PM ET,8.450,SAC,0,0,6.893,3.587,4.125,0.845,-762.727,9.000,18.000,205.000,6.500,12.000
C,Cristiano Felicio,3000,Sac@Chi 09:00PM ET,12.160,CHI,1,0,17.964,6.737,10.188,0.000,-1106.820,11.000,18.000,205.000,-6.500,17.000
PG,Randy Foye,3000,Bkn@Cha 07:00PM ET,11.897,BKN,0,0,14.429,7.031,17.500,0.000,-1.281,19.000,18.000,221.500,12.000,22.500
PG,Brian Roberts,3000,Bkn@Cha 07:00PM ET,3.229,CHA,1,0,2.500,0.542,2.375,0.000,-0.348,30.000,18.000,221.500,-12.000,0.000
SF,Joe Harris,3000,Bkn@Cha 07:00PM ET,15.806,BKN,0,1,17.179,9.816,14.312,0.000,-1582.144,19.500,18.000,221.500,12.000,0.000
SF,Treveon Graham,3000,Bkn@Cha 07:00PM ET,3.232,CHA,1,0,3.357,0.929,2.125,0.000,-0.348,30.000,18.000,221.500,-12.000,0.000
PF/C,Luis Scola,3000,Bkn@Cha 07:00PM ET,12.532,BKN,0,0,12.286,6.446,12.562,1.253,-1.350,17.500,18.000,221.500,12.000,0.000
PF,Quincy Acy,3000,Bkn@Cha 07:00PM ET,7.682,BKN,0,0,8.000,3.607,14.562,0.000,-692.207,10.000,18.000,221.500,12.000,28.000
C,Roy Hibbert,3000,Bkn@Cha 07:00PM ET,13.188,CHA,1,0,13.036,8.537,14.125,0.000,-1.420,30.000,18.000,221.500,-12.000,2.000
PG,Bobby Brown,3000,Hou@Mem 08:00PM ET,1.688,HOU,0,0,1.071,0.583,3.750,0.000,-151.860,7.000,18.000,215.500,-1.500,0.000
PG,Tyler Ennis,3000,Hou@Mem 08:00PM ET,4.654,HOU,0,0,5.143,1.600,2.062,0.000,-418.694,7.000,18.000,215.500,-1.500,-0.500
PG,Wade Baldwin IV,3000,Hou@Mem 08:00PM ET,9.402,MEM,1,0,9.214,3.327,3.125,0.000,-845.845,9.000,18.000,215.500,1.500,0.000
SG/SF,Corey Brewer,3000,Hou@Mem 08:00PM ET,9.810,HOU,0,0,10.429,6.080,11.250,0.000,-882.550,4.500,18.000,215.500,-1.500,17.750
SG,Troy Daniels,3000,Hou@Mem 08:00PM ET,14.159,MEM,1,1,11.643,5.368,6.188,0.000,-1431.596,26.500,18.000,215.500,1.500,0.000
SG,Troy Williams,3000,Hou@Mem 08:00PM ET,10.720,MEM,1,0,12.964,2.729,4.188,0.000,-9.596,26.500,18.000,215.500,1.500,0.000
SF,K.J. McDaniels,3000,Hou@Mem 08:00PM ET,5.688,HOU,0,0,3.536,2.033,3.062,0.000,-511.717,6.000,18.000,215.500,-1.500,3.250
PF/C,Jarell Martin,3000,Hou@Mem 08:00PM ET,10.128,MEM,1,0,8.714,4.631,4.375,0.000,-7.134,18.750,18.000,215.500,1.500,2.750
PF,Kyle Wiltjer,3000,Hou@Mem 08:00PM ET,2.306,HOU,0,0,1.042,0.375,1.000,0.000,-207.458,5.000,18.000,215.500,-1.500,0.000
PF,Deyonta Davis,3000,Hou@Mem 08:00PM ET,5.670,MEM,1,0,6.500,2.000,4.500,0.000,0.202,15.500,18.000,215.500,1.500,2.500
SG/SF,Rodney McGruder,3000,Mil@Mia 07:30PM ET,13.962,MIA,1,0,12.250,7.721,12.250,0.000,-0.755,22.500,18.000,206.000,-1.500,11.000
SG,Jason Terry,3000,Mil@Mia 07:30PM ET,8.284,MIL,0,0,8.857,4.382,5.750,0.000,-746.008,4.000,18.000,206.000,1.500,0.000
SG,Rashad Vaughn,3000,Mil@Mia 07:30PM ET,7.611,MIL,0,0,5.786,2.136,6.812,0.000,-685.402,4.000,18.000,206.000,1.500,2.000
PF,Josh McRoberts,3000,Mil@Mia 07:30PM ET,13.523,MIA,1,1,15.107,8.917,9.188,0.000,-1352.896,19.000,18.000,206.000,-1.500,0.000
PF,Luke Babbitt,3000,Mil@Mia 07:30PM ET,8.809,MIA,1,0,6.321,3.653,11.375,0.000,-0.477,19.000,18.000,206.000,-1.500,14.500
PF,Derrick Williams,3000,Mil@Mia 07:30PM ET,12.326,MIA,1,0,12.429,7.769,11.312,0.000,-8.427,19.000,18.000,206.000,-1.500,0.000
PF,Mirza Teletovic,3000,Mil@Mia 07:30PM ET,12.729,MIL,0,0,8.536,6.603,2.188,0.000,-1156.281,7.000,18.000,206.000,1.500,0.000
PF,Justise Winslow,3000,Mil@Mia 07:30PM ET,25.833,MIA,1,1,25.464,20.250,23.875,0.000,-2584.439,19.000,18.000,206.000,-1.500,0.000
PF,Thon Maker,3000,Mil@Mia 07:30PM ET,4.237,MIL,0,0,3.214,1.886,3.500,0.000,-381.559,7.000,18.000,206.000,1.500,9.750
C,Udonis Haslem,3000,Mil@Mia 07:30PM ET,5.679,MIA,1,0,4.208,1.321,10.750,0.000,-511.417,13.000,18.000,206.000,-1.500,0.000
C,Miles Plumlee,3000,Mil@Mia 07:30PM ET,5.681,MIL,0,0,2.536,1.618,3.188,0.000,-0.307,18.000,18.000,206.000,1.500,0.000
PG,Bryn Forbes,3000,SA@Cle 08:30PM ET,1.483,SA,0,0,0.643,0.114,0.812,0.000,-0.003,18.000,18.000,211.500,2.500,0.000
PG,Kay Felder,3000,SA@Cle 08:30PM ET,9.375,CLE,1,0,10.179,4.150,5.375,0.000,-843.770,5.000,18.000,211.500,-2.500,0.000
SG,James Jones,3000,SA@Cle 08:30PM ET,4.971,CLE,1,0,5.821,1.422,7.312,0.000,-0.011,23.000,18.000,211.500,-2.500,0.000
SG,DeAndre Liggins,3000,SA@Cle 08:30PM ET,9.152,CLE,1,0,9.286,3.350,5.875,0.000,-0.020,23.000,18.000,211.500,-2.500,9.750
SG,Jordan McRae,3000,SA@Cle 08:30PM ET,7.929,CLE,1,0,10.071,2.683,3.062,0.000,-6.180,23.000,18.000,211.500,-2.500,0.000
SG,Kyle Anderson,3000,SA@Cle 08:30PM ET,8.459,SA,0,0,9.179,3.885,4.500,0.000,-6.508,28.000,18.000,211.500,2.500,20.500
SF/PF,Richard Jefferson,3000,SA@Cle 08:30PM ET,10.226,CLE,1,0,14.643,5.977,11.750,0.000,-920.362,2.250,18.000,211.500,-2.500,7.750
SF/PF,Davis Bertans,3000,SA@Cle 08:30PM ET,6.950,SA,0,0,0.929,2.250,5.438,0.000,-0.015,20.500,18.000,211.500,2.500,0.000
C,Chris Andersen,3000,SA@Cle 08:30PM ET,7.979,CLE,1,1,8.714,4.607,8.312,0.000,-797.837,3.000,18.000,211.500,-2.500,0.000
PG/SG,Leandro Barbosa,3000,Pho@NY 07:30PM ET,10.305,PHO,0,0,11.500,4.464,6.250,0.000,-6.859,20.000,18.000,222.500,5.500,0.000
PG,Tyler Ulis,3000,Pho@NY 07:30PM ET,6.907,PHO,0,0,4.786,3.347,3.562,0.000,0.703,15.000,18.000,222.500,5.500,2.000
SG,Sasha Vujacic,3000,Pho@NY 07:30PM ET,5.728,NY,1,0,7.857,1.000,8.875,0.000,0.583,15.000,18.000,222.500,-5.500,0.000
SF/PF,Lance Thomas,3000,Pho@NY 07:30PM ET,9.150,NY,1,1,10.964,5.375,7.562,0.000,-918.687,22.500,18.000,222.500,-5.500,0.000
