Name,Salary,Position,team,AvgPointsPerGame,expectedScore,atHome,opponent,injured, penalty
Mike Conley,6500,PG,MEM,34.813,102,0,LAL,0,0.00
JaMychal Green,4800,PF,MEM,23.764,102,0,LAL,0,0.00
Tony Allen,5000,SG,MEM,22.319000000000003,102,0,LAL,0,0.00
Andrew Harrison,4900,PG,MEM,18.493,102,0,LAL,0,0.00
Vince Carter,3200,SG/SF,MEM,17.914,102,0,LAL,0,0.00
Zach Randolph,5600,PF/C,MEM,26.767,102,0,LAL,0,0.00
Troy Daniels,3100,SG,MEM,15.37,102,0,LAL,0,0.00
Chandler Parsons,3400,SF,MEM,11.659,102,0,LAL,0,0.00
Troy Williams,3000,SG,MEM,10.72,102,0,LAL,0,0.00
Jarell Martin,3000,PF/C,MEM,10.786,102,0,LAL,0,0.00
Kentavious Caldwell-Pope,5600,SG,DET,26.914,101,1,IND,0,0.00
Tobias Harris,6200,SF/PF,DET,27.958000000000002,101,1,IND,0,0.00
Marcus Morris,4200,SF,DET,23.05,101,1,IND,0,0.00
Andre Drummond,7300,C,DET,37.971,101,1,IND,0,0.00
Reggie Jackson,6000,PG,DET,26.95,101,1,IND,0,0.00
Jon Leuer,4800,PF,DET,23.35,101,1,IND,0,0.00
Ish Smith,3200,PG,DET,22.041999999999998,101,1,IND,0,0.00
Beno Udrih,3000,PG,DET,13.635,101,1,IND,0,0.00
Stanley Johnson,3000,SG/SF,DET,9.883,101,1,IND,0,0.00
Darrun Hilliard,3000,SG,DET,6.845,101,1,IND,0,0.00
Boban Marjanovic,3000,C,DET,5.654,101,1,IND,0,0.00
Henry Ellenson,3000,PF,DET,2.25,101,1,IND,0,0.00
Michael Gbinije,3000,SF,DET,1.344,101,1,IND,0,0.00
Kawhi Leonard,8500,SF,SA,41.352,104,1,TOR,0,0.00
LaMarcus Aldridge,7600,PF/C,SA,32.556,104,1,TOR,0,0.00
Pau Gasol,6100,C,SA,29.406,104,1,TOR,0,0.00
Danny Green,3900,SG,SA,17.808,104,1,TOR,0,0.00
Tony Parker,4800,PG,SA,20.44,104,1,TOR,0,0.00
Patty Mills,3700,PG,SA,20.176,104,1,TOR,0,0.00
Manu Ginobili,4000,SG,SA,18.643,104,1,TOR,0,0.00
Jonathon Simmons,3800,SG/SF,SA,13.103,104,1,TOR,0,0.00
David Lee,3600,PF,SA,16.265,104,1,TOR,0,0.00
Dewayne Dedmon,3500,C,SA,14.545,104,1,TOR,0,0.00
Kyle Anderson,3200,SG,SA,9.3,104,1,TOR,0,0.00
Davis Bertans,3000,SF/PF,SA,5.981,104,1,TOR,0,0.00
Dejounte Murray,3000,PG,SA,4.453,104,1,TOR,0,0.00
Bryn Forbes,3000,PG,SA,1.462,104,1,TOR,0,0.00
Zach LaVine,6600,SG,MIN,31.795,103,0,PHI,0,0.00
Andrew Wiggins,7200,SF,MIN,32.721,103,0,PHI,0,0.00
Karl-Anthony Towns,9900,PF/C,MIN,44.566,103,0,PHI,0,0.00
Gorgui Dieng,5700,PF/C,MIN,27.294,103,0,PHI,0,0.00
Ricky Rubio,5800,PG,MIN,26.017,103,0,PHI,0,0.00
Shabazz Muhammad,3200,SG/SF,MIN,11.968,103,0,PHI,0,0.00
Kris Dunn,3200,PG,MIN,13.154000000000002,103,0,PHI,0,0.00
Nemanja Bjelica,3000,SF/PF,MIN,13.398,103,0,PHI,0,0.00
Cole Aldrich,3400,C,MIN,10.158,103,0,PHI,0,0.00
Brandon Rush,3000,SG,MIN,4.773,103,0,PHI,0,0.00
Tyus Jones,3000,PG,MIN,9.0,103,0,PHI,0,0.00
Adreian Payne,3000,PF,MIN,9.0,103,0,PHI,0,0.00
Jordan Hill,3000,PF,MIN,5.35,103,0,PHI,0,0.00
John Lucas III,3000,PG,MIN,1.5,103,0,PHI,0,0.00
Gordon Hayward,8000,SF,UTA,38.491,100,0,BOS,0,0.00
Rudy Gobert,7300,C,UTA,35.721,100,0,BOS,0,0.00
Rodney Hood,4800,SG,UTA,23.691999999999997,100,0,BOS,0,0.00
Shelvin Mack,4900,PG,UTA,17.192999999999998,100,0,BOS,0,0.00
Joe Johnson,3100,SG/SF,UTA,15.921,100,0,BOS,0,0.00
Derrick Favors,4900,PF/C,UTA,19.838,100,0,BOS,0,0.00
Trey Lyles,3400,PF,UTA,17.5,100,0,BOS,0,0.00
Boris Diaw,3000,PF/C,UTA,10.981,100,0,BOS,0,0.00
Joe Ingles,4000,SG/SF,UTA,14.720999999999998,100,0,BOS,0,0.00
Jeff Withey,3000,C,UTA,7.9479999999999995,100,0,BOS,0,0.00
Raul Neto,3000,PG,UTA,5.329,100,0,BOS,0,0.00
Alec Burks,3000,SG,UTA,-0.5,100,0,BOS,0,0.00
Joel Bolomboy,3000,PF,UTA,2.833,100,0,BOS,0,0.00
Ersan Ilyasova,5300,PF,PHI,26.351999999999997,103,1,MIN,0,0.00
