Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,NNs,RF
SG,Jamal Crawford,4400,LAC@Atl 07:30PM ET,19.056,LAC,0,0,17.679,12.350,14.750,0.000,-5.051,21.500,26.400,206.500,7.500,12.487,14.157
C,Greg Monroe,4400,Hou@Mil 08:00PM ET,25.107,MIL,1,0,30.893,16.466,16.812,0.000,2.483,22.000,26.400,224.000,5.000,18.033,12.637
SG,Bojan Bogdanovic,4400,SA@Bkn 07:30PM ET,22.064,BKN,1,0,22.179,15.719,22.875,0.000,-3.574,18.500,26.400,217.500,11.000,19.132,16.338
C,Joakim Noah,4400,NY@Ind 08:00PM ET,23.179,NY,0,0,25.036,15.557,28.750,0.000,0.881,16.000,26.400,217.500,5.500,21.642,21.848
SG,Rodney Hood,4400,OKC@Uta 09:00PM ET,23.547,UTA,1,1,24.464,15.625,28.000,0.000,-2356.659,11.000,26.400,203.500,-5.500,22.382,15.201
PF/C,Marreese Speights,4300,LAC@Atl 07:30PM ET,19.978,LAC,0,0,24.286,14.096,26.312,0.000,-1803.316,11.250,25.800,206.500,7.500,19.827,19.745
PF/C,Montrezl Harrell,4300,Hou@Mil 08:00PM ET,18.737,HOU,0,0,20.679,10.238,19.625,0.000,1.853,15.750,25.800,224.000,-5.000,15.358,16.574
PF,Jon Leuer,4300,Sac@Det 07:30PM ET,22.814,DET,1,0,24.357,15.562,18.125,0.000,-1.912,23.000,25.800,204.500,-7.000,17.867,16.353
SG,Sean Kilpatrick,4300,SA@Bkn 07:30PM ET,24.673,BKN,1,0,17.179,15.830,17.000,0.000,-3.997,18.500,25.800,217.500,11.000,14.618,10.730
PF/C,Kyle O'Quinn,4300,NY@Ind 08:00PM ET,17.913,NY,0,0,16.500,9.680,15.625,0.000,-21.210,22.000,25.800,217.500,5.500,12.781,13.662
SF/PF,Sam Dekker,4200,Hou@Mil 08:00PM ET,16.160,HOU,0,0,21.214,11.164,26.438,0.000,1.598,23.750,25.200,224.000,-5.000,20.383,18.020
PG/SG,Garrett Temple,4200,Sac@Det 07:30PM ET,17.814,SAC,0,0,24.107,12.478,21.750,0.000,-1.493,15.750,25.200,204.500,7.000,17.326,17.613
PG,Dejounte Murray,4100,SA@Bkn 07:30PM ET,7.227,SA,0,0,8.143,2.643,18.188,0.723,-1.171,30.000,24.600,217.500,-11.000,13.201,11.711
C,Clint Capela,4000,Hou@Mil 08:00PM ET,25.969,HOU,0,0,17.714,18.217,20.125,0.000,-2357.128,13.000,24.000,224.000,-5.000,14.946,21.657
