Name,Salary,Position,team,seasonAvg,expectedScore,atHome,opponent,injured,7GameAvg,floorAvg,4GameAvg,communityBonus,penalty,Final
Karl-Anthony Towns,9500,PF/C,MIN,45.079,107.375,1,HOU,0,48.429,38.163,49.750,0.000,0.000,59.500
Gorgui Dieng,5400,PF/C,MIN,27.414,107.375,1,HOU,0,26.500,20.044,28.125,0.000,0.000,16.500
Ricky Rubio,5600,PG,MIN,26.485,107.375,1,HOU,0,30.393,19.855,29.875,0.000,0.000,42.250
Shabazz Muhammad,3800,SG/SF,MIN,12.103,107.375,1,HOU,0,15.071,7.181,15.500,0.000,0.000,31.250
Kris Dunn,3000,PG,MIN,12.645,107.375,1,HOU,0,14.393,7.534,8.312,0.000,0.000,14.750
Nemanja Bjelica,3000,SF/PF,MIN,12.993,107.375,1,HOU,0,11.286,6.474,10.250,0.000,0.000,17.250
Cole Aldrich,3400,C,MIN,9.610,107.375,1,HOU,0,5.571,5.145,5.500,0.000,0.000,6.000
Brandon Rush,3000,SG,MIN,5.135,107.375,1,HOU,0,5.083,2.375,6.250,0.000,0.000,34.250
Tyus Jones,3000,PG,MIN,9.080,107.375,1,HOU,0,2.643,2.227,4.188,0.000,0.000,0.000
Adreian Payne,3000,PF,MIN,9.000,107.375,1,HOU,0,10.750,4.625,4.812,0.000,0.000,0.000
Jordan Hill,3000,PF,MIN,5.350,107.375,1,HOU,0,2.667,0.625,5.000,0.000,0.000,0.000
Damian Lillard,8500,PG,POR,44.107,108.100,1,CLE,0,41.393,34.736,40.812,0.000,0.000,22.250
Maurice Harkless,4000,SF,POR,23.699,108.100,1,CLE,0,21.750,15.844,22.750,0.000,-4.000,24.250
Allen Crabbe,4400,SG/SF,POR,18.175,108.100,1,CLE,0,22.357,12.369,24.562,0.000,0.000,34.000
Mason Plumlee,6000,C,POR,30.663,108.100,1,CLE,0,33.107,23.455,37.625,0.000,0.000,22.250
Al-Farouq Aminu,5100,PF,POR,21.250,108.100,1,CLE,0,20.143,15.208,33.438,0.000,0.000,31.500
Evan Turner,3900,SG/SF,POR,20.872,108.100,1,CLE,0,26.143,15.429,19.875,0.000,0.000,32.500
Ed Davis,3000,C,POR,13.007,108.100,1,CLE,0,13.393,6.556,10.312,0.000,0.000,17.500
Meyers Leonard,3000,PF/C,POR,11.451,108.100,1,CLE,0,16.286,4.987,7.625,0.000,0.000,0.000
Noah Vonleh,3000,PF,POR,8.265,108.100,1,CLE,0,9.464,3.934,3.312,0.000,0.000,7.750
Shabazz Napier,3000,PG,POR,7.550,108.100,1,CLE,0,7.821,3.000,8.250,0.000,0.000,0.000
Jake Layman,3000,PF,POR,4.525,108.100,1,CLE,0,1.571,1.411,1.625,0.000,0.000,1.000
Pat Connaughton,3000,SF,POR,2.971,108.100,1,CLE,0,2.583,0.778,2.125,0.000,0.000,3.250
Tim Quarterman,3000,PG,POR,3.250,108.100,1,CLE,0,3.100,1.750,1.750,0.000,0.000,0.000
Blake Griffin,7300,PF/C,LAC,41.942,103.250,1,ORL,1,45.679,35.625,41.750,0.000,-99.000,0.000
DeAndre Jordan,7000,C,LAC,34.369,103.250,1,ORL,0,35.857,28.837,39.562,4.000,0.000,47.500
Chris Paul,9400,PG,LAC,44.447,103.250,1,ORL,0,48.571,37.039,46.750,3.000,0.000,41.750
Jamal Crawford,4100,SG,LAC,19.600,103.250,1,ORL,0,24.857,13.033,23.688,3.000,-2.000,14.500
Austin Rivers,4700,PG,LAC,18.664,103.250,1,ORL,1,26.607,10.697,30.312,0.000,-99.000,21.000
Raymond Felton,4200,SG/SF,LAC,15.520,103.250,1,ORL,0,24.000,9.565,26.500,0.000,0.000,12.750
Marreese Speights,4200,PF/C,LAC,19.406,103.250,1,ORL,0,20.286,13.375,21.188,0.000,0.000,18.750
Wesley Johnson,3000,SF,LAC,10.279,103.250,1,ORL,0,10.500,5.421,8.250,0.000,0.000,14.750
Paul Pierce,3000,SF,LAC,6.917,103.250,1,ORL,0,4.292,3.500,6.938,0.000,0.000,0.000
Brandon Bass,3000,PF,LAC,9.646,103.250,1,ORL,0,11.250,4.833,15.062,0.000,0.000,3.250
Alan Anderson,3000,SG,LAC,5.268,103.250,1,ORL,0,3.071,2.167,9.562,0.000,0.000,0.000
Diamond Stone,3000,C,LAC,2.813,103.250,1,ORL,0,2.812,0.250,2.812,0.000,0.000,0.000
LeBron James,9700,SF,CLE,52.147,108.100,0,POR,0,54.607,44.069,51.062,6.000,-4.000,43.750
Kyrie Irving,8200,PG,CLE,40.070,108.100,0,POR,0,39.107,32.391,45.750,0.000,0.000,19.250
Kevin Love,8100,PF/C,CLE,41.765,108.100,0,POR,0,39.643,34.292,35.562,7.000,0.000,29.500
Tristan Thompson,4700,C,CLE,24.189,108.100,0,POR,0,25.643,18.262,25.625,0.000,0.000,25.000
Iman Shumpert,3500,PG/SG,CLE,15.354,108.100,0,POR,0,14.286,10.900,12.812,0.000,0.000,11.500
Richard Jefferson,3000,SF/PF,CLE,10.061,108.100,0,POR,0,5.893,6.060,4.562,0.000,0.000,4.250
Channing Frye,3600,PF/C,CLE,16.858,108.100,0,POR,0,14.821,11.234,18.188,0.000,0.000,12.250
Kyle Korver,4500,SG/SF,CLE,18.720,108.100,0,POR,0,16.607,11.750,22.812,0.000,0.000,5.500
DeAndre Liggins,3100,SG,CLE,9.603,108.100,0,POR,0,13.643,3.000,14.812,0.000,0.000,7.250
Jordan McRae,3400,SG,CLE,8.740,108.100,0,POR,0,11.286,3.021,11.562,0.000,0.000,6.250
Kay Felder,3000,PG,CLE,10.175,108.100,0,POR,0,12.464,4.312,6.375,0.000,0.000,11.000
Chris Andersen,3000,C,CLE,7.979,108.100,0,POR,1,7.688,4.607,8.312,0.000,-99.000,0.000
James Jones,3000,SG,CLE,4.545,108.100,0,POR,0,6.143,1.536,3.688,0.000,0.000,8.000
Kristaps Porzingis,7500,PF,NYK,37.371,104.875,0,PHI,0,39.679,28.368,35.500,4.000,0.000,18.500
Carmelo Anthony,7600,SF,NYK,37.122,104.875,0,PHI,0,32.393,27.925,42.188,2.000,0.000,40.500
Derrick Rose,5900,PG,NYK,30.068,104.875,0,PHI,1,28.500,23.724,25.250,2.000,-99.000,34.500
Courtney Lee,4000,SG,NYK,18.992,104.875,0,PHI,0,19.607,13.179,18.750,0.000,0.000,15.000
Brandon Jennings,4900,PG/SG,NYK,21.059,104.875,0,PHI,0,23.536,13.850,18.938,0.000,0.000,14.750
Joakim Noah,4700,C,NYK,22.662,104.875,0,PHI,0,23.786,15.213,21.938,0.000,0.000,20.500
Justin Holiday,3200,SG,NYK,14.678,104.875,0,PHI,0,20.286,8.595,7.438,0.000,-4.000,7.500
Lance Thomas,3000,SF/PF,NYK,9.389,104.875,0,PHI,0,8.214,5.783,13.750,0.000,0.000,10.500
Kyle O'Quinn,3400,PF/C,NYK,17.056,104.875,0,PHI,0,16.929,9.607,14.562,0.000,0.000,39.750
Mindaugas Kuzminskas,3000,SF,NYK,9.685,104.875,0,PHI,1,9.036,5.194,17.688,0.000,-99.000,2.500
Ron Baker,3200,PG,NYK,8.482,104.875,0,PHI,0,9.286,3.464,12.062,0.000,0.000,0.000
Marshall Plumlee,3000,C,NYK,5.000,104.875,0,PHI,0,6.875,0.625,5.000,0.000,0.000,0.000
Sasha Vujacic,3000,SG,NYK,5.489,104.875,0,PHI,0,5.357,0.591,9.062,0.000,0.000,0.000
Maurice Ndour,3000,PF,NYK,5.078,104.875,0,PHI,0,5.179,2.714,4.438,0.000,0.000,0.000
