"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","Julyan Stone",3000,"CHA@GS 12/29/2017 10:30PM ET",7.250,"CHA"
"PG","Briante Weber",3000,"HOU@WAS 12/29/2017 07:00PM ET",4.167,"HOU"
"PF/C","Zhou Qi",3000,"HOU@WAS 12/29/2017 07:00PM ET",3.731,"HOU"
"PG","Bobby Brown",3000,"HOU@WAS 12/29/2017 07:00PM ET",4.292,"HOU"
"PF/C","Chinanu Onuaku",3000,"HOU@WAS 12/29/2017 07:00PM ET",0,"HOU"
"SG","Troy Williams",3000,"HOU@WAS 12/29/2017 07:00PM ET",3.250,"HOU"
"PF/C","Jason Smith",3000,"HOU@WAS 12/29/2017 07:00PM ET",6.933,"WAS"
"PG","Demetrius Jackson",3000,"HOU@WAS 12/29/2017 07:00PM ET",2.854,"HOU"
"PF/C","Chris McCullough",3000,"HOU@WAS 12/29/2017 07:00PM ET",5.682,"WAS"
"PF","Mike Young",3000,"HOU@WAS 12/29/2017 07:00PM ET",0,"WAS"
"SG","Sheldon Mac",3000,"HOU@WAS 12/29/2017 07:00PM ET",0,"WAS"
"SG","Devin Robinson",3000,"HOU@WAS 12/29/2017 07:00PM ET",0,"WAS"
"SG/SF","Justin Jackson",3000,"PHO@SAC 12/29/2017 10:00PM ET",9.780,"SAC"
"PF/C","Skal Labissiere",3000,"PHO@SAC 12/29/2017 10:00PM ET",14.466,"SAC"
"SG/SF","Malachi Richardson",3000,"PHO@SAC 12/29/2017 10:00PM ET",7.221,"SAC"
"SF/PF","Jakarr Sampson",3000,"PHO@SAC 12/29/2017 10:00PM ET",13.750,"SAC"
"SG/SF","Danuel House",3000,"PHO@SAC 12/29/2017 10:00PM ET",7.107,"PHO"
"PG/SG","Brandon Knight",3000,"PHO@SAC 12/29/2017 10:00PM ET",0,"PHO"
"SG/SF","Davon Reed",3000,"PHO@SAC 12/29/2017 10:00PM ET",0,"PHO"
"C","Alan Williams",3000,"PHO@SAC 12/29/2017 10:00PM ET",0,"PHO"
"PF","Alec Peters",3000,"PHO@SAC 12/29/2017 10:00PM ET",3.750,"PHO"
"PF","Jack Cooley",3000,"PHO@SAC 12/29/2017 10:00PM ET",4.750,"SAC"
"C","Georgios Papagiannis",3000,"PHO@SAC 12/29/2017 10:00PM ET",7.714,"SAC"
"PF/C","Harry Giles",3000,"PHO@SAC 12/29/2017 10:00PM ET",0,"SAC"
"PF/C","Thon Maker",3000,"MIL@OKC 12/29/2017 08:00PM ET",12.227,"MIL"
"PG/SG","Sean Kilpatrick",3000,"MIL@OKC 12/29/2017 08:00PM ET",10.028,"MIL"
"SG/SF","DeAndre Liggins",3000,"MIL@OKC 12/29/2017 08:00PM ET",7.345,"MIL"
"PG/SG","Jason Terry",3000,"MIL@OKC 12/29/2017 08:00PM ET",5.972,"MIL"
"PF/C","D.J. Wilson",3000,"MIL@OKC 12/29/2017 08:00PM ET",1.591,"MIL"
"SG/SF","Rashad Vaughn",3000,"MIL@OKC 12/29/2017 08:00PM ET",7.433,"MIL"
"SG","Sterling Brown",3000,"MIL@OKC 12/29/2017 08:00PM ET",5.275,"MIL"
