"Sport","Entry","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NBA","NBA GIANT $5 Double Up [$70,000 Guaranteed] (2/2)","2015-12-30 19:00:00",172,297.5,"$10.00","$0.00",15909,"$5.00","$70,000.00",7000
"NBA","NBA $10 Double Up [$4,000 Gtd] (Multi-Entry)","2015-12-30 19:00:00",10,297.5,"$20.00","$0.00",454,"$10.00","$4,000.00",200
"NBA","NBA $25 Double Up [$10,000 Gtd] (Multi-Entry)","2015-12-30 19:00:00",9,297.5,"$50.00","$0.00",454,"$25.00","$10,000.00",200
"NBA","NBA GIANT $5 Double Up [$70,000 Guaranteed]","2015-12-29 19:30:00",1932,317,"$10.00","$0.00",15909,"$5.00","$70,000.00",7000
"NBA","NBA $5 Double Up [$7,000 Gtd] (Multi-Entry)","2015-12-29 19:30:00",43,331.5,"$10.00","$0.00",1590,"$5.00","$7,000.00",700
"NBA","NBA GIANT $25 Double Up [$75,000 Guaranteed]","2015-12-28 19:00:00",3366,188.5,"$0.00","$0.00",3409,"$25.00","$75,000.00",1500
"NFL","NFL MASSIVE $50 Double Up [$110,000 Guaranteed]","2015-12-27 13:00:00",1982,108.1,"$0.00","$0.00",2500,"$50.00","$110,000.00",1100
"NFL","NFL MASSIVE $10 Double Up [$110,000 Guaranteed]","2015-12-27 13:00:00",9135,115.6,"$0.00","$0.00",12500,"$10.00","$110,000.00",5500
"NFL","NFL GIANT $25 Double Up [$12,000 Guaranteed]","2015-12-27 13:00:00",398,108.1,"$0.00","$0.00",545,"$25.00","$12,000.00",240
"NBA","NBA MASSIVE $50 Double Up [$20,000 Guaranteed]","2015-12-26 19:00:00",136,262.5,"$100.00","$0.00",454,"$50.00","$20,000.00",200
"NBA","NBA GIANT $10 Double Up [$22,000 Guaranteed]","2015-12-26 19:00:00",820,262.5,"$20.00","$0.00",2500,"$10.00","$22,000.00",1100
"NBA","NBA $1 Double Up [$18,000 Gtd] (Multi-Entry)","2015-12-26 19:00:00",10811,251,"$0.00","$0.00",20454,"$1.00","$18,000.00",9000
"NBA","NBA GIANT $25 Double Up [$55,000 Guaranteed]","2015-12-26 19:00:00",780,262.5,"$50.00","$0.00",2500,"$25.00","$55,000.00",1100
"NBA","NBA GIANT $10 Double Up [$35,000 Guaranteed]","2015-12-23 19:00:00",3367,246.5,"$0.00","$0.00",3977,"$10.00","$35,000.00",1750
"NBA","NBA MASSIVE $5 Double Up [$60,000 Guaranteed]","2015-12-21 19:00:00",11015,255.25,"$0.00","$0.00",13636,"$5.00","$60,000.00",6000
"NBA","NBA $5 Double Up [$4,000 Gtd] (Multi-Entry)","2015-12-21 19:00:00",604,262.25,"$0.00","$0.00",909,"$5.00","$4,000.00",400
"NFL","NFL MASSIVE $25 Double Up [$800,000 Guaranteed]","2015-12-20 13:00:00",13585,166.26,"$50.00","$0.00",34775,"$25.00","$800,000.00",16000
"NBA","NBA GIANT $25 Double Up [$20,000 Guaranteed] (1/2)","2015-12-20 17:00:00",114,279.75,"$50.00","$0.00",909,"$25.00","$20,000.00",400
"NBA","NBA GIANT $25 Double Up [$20,000 Guaranteed] (2/2)","2015-12-20 17:00:00",114,279.75,"$50.00","$0.00",909,"$25.00","$20,000.00",400
"NBA","NBA $5 Double Up [$15,000 Gtd] (Multi-Entry)","2015-12-20 17:00:00",338,279.75,"$10.00","$0.00",3409,"$5.00","$15,000.00",1500
"NBA","NBA GIANT $5 Double Up [$45,000 Guaranteed]","2015-12-19 19:00:00",9566,219,"$0.00","$0.00",10227,"$5.00","$45,000.00",4500
"NBA","NBA GIANT $5 Double Up [$75,000 Guaranteed]","2015-12-18 19:00:00",6947,243.25,"$10.00","$0.00",17045,"$5.00","$75,000.00",7500
"NBA","NBA $1 Double Up [$14,000 Gtd] (Multi-Entry)","2015-12-17 19:00:00",10648,257,"$0.00","$0.00",15909,"$1.00","$14,000.00",7000
"NBA","Beginner NBA $1 Double Up [$30 Gtd]","2015-12-17 19:00:00",17,257,"$0.00","$0.00",34,"$1.00","$30.00",15
"NBA","Beginner NBA $1 Double Up [$30 Gtd]","2015-12-17 19:00:00",17,257,"$0.00","$0.00",34,"$1.00","$30.00",15
"NBA","Beginner NBA $1 Double Up [$30 Gtd]","2015-12-17 19:00:00",15,257,"$2.00","$0.00",34,"$1.00","$30.00",15
"NBA","NBA $5 Double Up [$55,000 Gtd] (Multi-Entry)","2015-12-17 19:00:00",8912,253.75,"$0.00","$0.00",12237,"$5.00","$55,000.00",5500
"NBA","Beginner NBA $1 Double Up [$30 Gtd]","2015-12-17 19:00:00",15,257,"$2.00","$0.00",34,"$1.00","$30.00",15
"NBA","NBA GIANT $1 Double Up [$22,000 Guaranteed]","2015-12-16 19:00:00",1883,266,"$2.00","$0.00",25000,"$1.00","$22,000.00",11000
"NBA","NBA $10 Double Up [$4K Gtd] (Multi-Entry)","2015-12-16 19:00:00",176,229.5,"$20.00","$0.00",454,"$10.00","$4,000.00",200
"NBA","NBA GIANT $5 Double Up [$70,000 Guaranteed]","2015-12-16 19:00:00",1289,266,"$10.00","$0.00",15909,"$5.00","$70,000.00",7000
"NBA","Beginner NBA $1 Double Up [$30 Gtd]","2015-12-16 19:00:00",2,266,"$2.00","$0.00",34,"$1.00","$30.00",15
"NBA","NBA $5 Double Up [$4,000 Gtd] (Multi-Entry)","2015-12-16 19:00:00",309,229.5,"$10.00","$0.00",909,"$5.00","$4,000.00",400
"NBA","NBA $25 Double Up [$6,000 Gtd] (Multi-Entry)","2015-12-16 19:00:00",76,229.5,"$50.00","$0.00",272,"$25.00","$6,000.00",120
"NBA","NBA $1 Double Up [$24,000 Gtd] (Multi-Entry)","2015-12-15 19:30:00",12289,248.25,"$0.00","$0.00",27272,"$1.00","$24,000.00",12000
