Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final,NN,RF
SG/SF,Wesley Matthews,4500,Cle@Dal 08:30PM ET,26.222,Dal,1,0,23.643,19.534,28.750,34.750,27.500,27.000,0.461,4.500,208.000,-2.016,0.000,25.246,22.325
PF/C,Kelly Olynyk,4400,Det@Bos 08:00PM ET,19.262,Bos,1,0,20.643,11.800,19.688,32.250,8.500,26.400,0.218,0.000,215.000,2.964,0.000,22.677,23.425
PF,Jon Leuer,4400,Det@Bos 08:00PM ET,22.610,Det,0,0,21.179,15.279,16.375,10.750,23.000,26.400,0.317,6.000,215.000,-9.000,0.000,24.851,23.432
PG/SG,Sean Kilpatrick,4400,Bkn@Mia 07:30PM ET,24.440,Bkn,0,0,23.214,15.635,22.000,16.750,5.000,26.400,0.431,8.500,218.000,-8998.901,0.000,24.197,17.665
SG/SF,Josh Richardson,4400,Bkn@Mia 07:30PM ET,22.473,Mia,1,1,22.643,15.467,23.500,9.750,30.000,26.400,0.348,0.000,218.000,-4.928,0.000,24.159,23.982
SF,T.J. Warren,4400,Mem@Pho 10:30PM ET,22.257,Pho,1,0,15.071,11.015,16.375,11.750,5.000,26.400,0.375,3.500,208.500,-9001.660,0.000,21.836,21.173
SF/PF,P.J. Tucker,4300,Mem@Pho 10:30PM ET,19.112,Pho,1,0,24.429,10.667,27.625,30.000,3.750,25.800,0.243,3.500,208.500,-9001.660,0.000,21.325,19.705
PF,JaMychal Green,4300,Mem@Pho 10:30PM ET,22.750,Mem,0,1,18.786,16.190,19.062,17.500,21.000,25.800,0.358,0.000,208.500,-1.660,0.000,23.048,23.078
SG,Bojan Bogdanovic,4200,Bkn@Mia 07:30PM ET,21.883,Bkn,0,0,23.000,15.452,19.938,13.250,3.000,25.200,0.352,8.500,218.000,-8998.901,0.000,23.460,17.710
PG/SG,Iman Shumpert,4100,Cle@Dal 08:30PM ET,16.811,Cle,0,0,17.964,11.531,21.812,25.250,2.500,24.600,0.131,0.000,208.000,-9009.043,0.000,19.068,17.850
SG,Jodie Meeks,4000,Orl@Min 08:00PM ET,16.792,Orl,0,1,21.429,9.188,19.250,13.000,5.000,24.000,0.227,9.500,210.500,-9004.237,0.000,20.568,21.930
SG/SF,Caris LeVert,4000,Bkn@Mia 07:30PM ET,15.490,Bkn,0,0,18.571,8.596,24.688,23.500,5.500,24.000,0.177,8.500,218.000,1.099,0.000,20.359,16.727
SF,Justin Anderson,4000,Cle@Dal 08:30PM ET,13.971,Dal,1,0,13.786,7.283,21.625,6.750,27.000,24.000,0.134,4.500,208.000,-2.016,0.000,19.430,19.335
PG/SG,Brandon Knight,4000,Mem@Pho 10:30PM ET,19.261,Pho,1,0,13.679,12.424,15.562,6.250,8.000,24.000,0.301,3.500,208.500,-10.731,0.000,20.594,20.983
C,Bismack Biyombo,3900,Orl@Min 08:00PM ET,20.135,Orl,0,0,14.000,13.100,18.938,10.750,16.000,23.400,0.357,9.500,210.500,-4.237,0.000,20.849,21.440
SF/PF,Rondae Hollis-Jefferson,3900,Bkn@Mia 07:30PM ET,19.052,Bkn,0,1,16.500,13.198,14.250,3.750,7.750,23.400,0.308,8.500,218.000,-7.543,0.000,21.691,21.657
PG/SG,Devin Harris,3900,Cle@Dal 08:30PM ET,11.694,Dal,1,0,18.036,5.750,15.875,13.250,25.500,23.400,0.063,4.500,208.000,-2.016,0.000,19.247,20.213
SG/SF,Kyle Korver,3900,Cle@Dal 08:30PM ET,17.970,Cle,0,0,14.571,11.083,13.500,4.750,3.750,23.400,0.257,0.000,208.000,-9002.016,0.000,14.918,19.855
PF/C,Amir Johnson,3800,Det@Bos 08:00PM ET,17.049,Bos,1,0,20.571,10.188,14.875,25.250,8.500,22.800,0.265,0.000,215.000,2.964,0.000,20.280,20.477
PG/SG,C.J. Watson,3800,Orl@Min 08:00PM ET,8.635,Orl,0,0,10.000,4.107,19.938,19.250,13.500,22.800,0.019,9.500,210.500,-4.237,0.000,17.587,18.360
SG/SF,Shabazz Muhammad,3800,Orl@Min 08:00PM ET,13.500,Min,1,0,19.393,7.685,23.938,31.250,23.750,22.800,0.116,0.000,210.500,-0.237,0.000,18.830,16.842
SF/PF,Jeff Green,3700,Orl@Min 08:00PM ET,16.604,Orl,0,0,16.821,10.270,19.188,27.250,6.750,22.200,0.244,9.500,210.500,-12.197,0.000,19.361,22.475
SF,Dorian Finney-Smith,3700,Cle@Dal 08:30PM ET,11.734,Dal,1,0,12.071,6.836,18.688,9.500,27.000,22.200,0.105,4.500,208.000,-2.016,0.000,17.989,16.978
PG,Andrew Harrison,3700,Mem@Pho 10:30PM ET,16.380,Mem,0,0,9.964,10.277,9.625,8.250,25.500,22.200,0.263,0.000,208.500,-1.660,0.000,16.394,17.728
SG/SF,Jaylen Brown,3600,Det@Bos 08:00PM ET,10.326,Bos,1,0,13.143,5.295,19.875,26.500,5.000,21.600,0.086,0.000,215.000,-8997.036,0.000,17.526,15.220
PG,Kris Dunn,3600,Orl@Min 08:00PM ET,12.840,Min,1,0,16.750,7.286,19.625,22.250,17.000,21.600,0.156,0.000,210.500,-0.237,0.000,17.538,20.580
PG,Spencer Dinwiddie,3600,Bkn@Mia 07:30PM ET,14.969,Bkn,0,0,18.000,7.455,21.375,27.000,7.000,21.600,0.213,8.500,218.000,1.099,0.000,18.750,20.932
PG,J.J. Barea,3600,Cle@Dal 08:30PM ET,24.167,Dal,1,1,27.625,18.275,21.500,24.250,23.000,21.600,0.614,4.500,208.000,-2.016,0.000,21.011,18.805
SG/SF,Vince Carter,3600,Mem@Pho 10:30PM ET,17.452,Mem,0,0,15.643,12.688,14.000,4.500,20.250,21.600,0.279,0.000,208.500,-8.706,0.000,16.538,19.053
SF,James Ennis III,3600,Mem@Pho 10:30PM ET,16.879,Mem,0,0,17.607,10.903,11.188,14.000,25.500,21.600,0.270,0.000,208.500,-1.660,0.000,18.160,18.738
C,Aron Baynes,3500,Det@Bos 08:00PM ET,10.517,Det,0,0,7.571,6.704,12.312,9.250,21.500,21.000,0.050,6.000,215.000,-1.036,0.000,15.096,13.433
PF,Okaro White,3500,Bkn@Mia 07:30PM ET,10.583,Mia,1,0,5.562,6.550,14.375,10.000,30.000,21.000,0.176,0.000,218.000,5.099,0.000,16.600,15.715
PG,Yogi Ferrell,3500,Cle@Dal 08:30PM ET,11.455,Dal,1,0,3.500,4.450,12.938,26.500,23.000,21.000,0.138,4.500,208.000,-2.016,0.000,16.198,18.155
SG,J.R. Smith,3500,Cle@Dal 08:30PM ET,17.321,Cle,0,1,13.429,11.300,19.688,8.250,4.000,21.000,0.317,0.000,208.000,-9009.697,0.000,15.885,15.728
PF,Dwight Powell,3500,Cle@Dal 08:30PM ET,17.074,Dal,1,0,14.500,11.050,13.062,6.500,14.000,21.000,0.308,4.500,208.000,-2.016,0.000,18.506,18.597
PF,Jonas Jerebko,3400,Det@Bos 08:00PM ET,11.712,Bos,1,0,13.607,6.663,17.875,9.500,12.000,20.400,0.088,0.000,215.000,2.964,0.000,17.690,15.310
PG,D.J. Augustin,3400,Orl@Min 08:00PM ET,16.380,Orl,0,0,16.893,11.202,17.625,30.500,22.000,20.400,0.274,9.500,210.500,-4.237,0.000,18.836,22.252
PF/C,Channing Frye,3400,Cle@Dal 08:30PM ET,16.462,Cle,0,0,13.000,10.690,12.125,11.750,6.750,20.400,0.309,0.000,208.000,-2.016,0.000,15.091,17.565
SG,Reggie Bullock,3300,Det@Bos 08:00PM ET,12.350,Det,0,0,9.000,5.400,16.875,5.250,13.000,19.800,0.205,6.000,215.000,-1.036,0.000,15.674,19.897
PF/C,Justin Hamilton,3300,Bkn@Mia 07:30PM ET,16.390,Bkn,0,0,19.500,9.724,13.688,19.750,12.250,19.800,0.336,8.500,218.000,1.099,0.000,18.457,21.077
C,Andrew Bogut,3300,Cle@Dal 08:30PM ET,18.390,Dal,1,1,14.643,12.712,9.812,4.000,6.000,19.800,0.422,4.500,208.000,-8.711,0.000,17.668,17.183
SG/SF,Stanley Johnson,3200,Det@Bos 08:00PM ET,10.715,Det,0,0,14.714,5.207,12.188,10.750,13.000,19.200,0.123,6.000,215.000,-1.036,0.000,14.948,14.038
PG,Isaiah Whitehead,3200,Bkn@Mia 07:30PM ET,16.391,Bkn,0,0,17.929,11.369,21.562,29.000,7.000,19.200,0.339,8.500,218.000,1.099,0.000,17.800,20.390
SF,Chandler Parsons,3200,Mem@Pho 10:30PM ET,12.825,Mem,0,1,12.500,8.389,16.562,14.500,25.500,19.200,0.137,0.000,208.500,-1.660,0.000,15.459,15.277
C,Alex Len,3200,Mem@Pho 10:30PM ET,19.583,Pho,1,0,13.214,12.698,13.562,4.500,1.000,19.200,0.516,3.500,208.500,-9011.094,0.000,17.416,17.162
PF,Marquese Chriss,3100,Mem@Pho 10:30PM ET,14.362,Pho,1,0,18.821,9.519,11.250,13.750,2.500,18.600,0.285,3.500,208.500,-9001.660,0.000,16.625,18.560
PG,Beno Udrih,3000,Det@Bos 08:00PM ET,13.278,Det,0,0,9.607,7.929,9.062,0.000,24.000,18.000,0.239,6.000,215.000,-7.631,0.000,15.101,17.515
PG,Ish Smith,3000,Det@Bos 08:00PM ET,20.255,Det,0,0,14.250,14.028,14.188,13.000,24.000,18.000,0.599,6.000,215.000,-1.036,0.000,16.931,17.768
PG,Demetrius Jackson,3000,Det@Bos 08:00PM ET,5.000,Bos,1,1,7.625,1.583,5.000,2.750,25.500,18.000,0.082,0.000,215.000,2.964,0.000,10.387,10.978
PG,Terry Rozier,3000,Det@Bos 08:00PM ET,13.875,Bos,1,0,14.607,8.295,11.438,3.250,25.500,18.000,0.286,0.000,215.000,-4.293,0.000,16.338,18.060
SG,Darrun Hilliard,3000,Det@Bos 08:00PM ET,6.413,Det,0,0,6.750,2.554,4.750,6.500,13.000,18.000,0.016,6.000,215.000,-1.036,0.000,9.959,9.545
SG,James Young,3000,Det@Bos 08:00PM ET,3.893,Bos,1,0,3.143,0.528,4.250,8.250,6.500,18.000,0.025,0.000,215.000,2.964,0.000,8.979,11.545
SF,Gerald Green,3000,Det@Bos 08:00PM ET,9.926,Bos,1,0,8.321,5.078,7.375,8.750,3.500,18.000,0.134,0.000,215.000,-8997.036,0.000,13.800,14.622
SF,Michael Gbinije,3000,Det@Bos 08:00PM ET,1.344,Det,0,1,1.750,0.625,1.500,1.250,13.000,18.000,0.003,6.000,215.000,-1.036,0.000,7.158,6.755
PF,Jordan Mickey,3000,Det@Bos 08:00PM ET,5.750,Bos,1,0,6.857,1.850,5.938,6.500,12.000,18.000,0.005,0.000,215.000,2.964,0.000,10.149,11.127
PF,Henry Ellenson,3000,Det@Bos 08:00PM ET,2.964,Det,0,0,3.500,1.361,4.750,3.500,23.000,18.000,0.001,6.000,215.000,-1.036,0.000,9.648,8.070
C,Tyler Zeller,3000,Det@Bos 08:00PM ET,10.853,Bos,1,0,4.607,4.078,10.438,11.750,5.000,18.000,0.224,0.000,215.000,-8997.036,0.000,15.161,15.053
C,Boban Marjanovic,3000,Det@Bos 08:00PM ET,9.488,Det,0,0,10.750,2.833,12.375,2.750,21.500,18.000,0.194,6.000,215.000,-1.036,0.000,13.901,12.323
PG,Tyus Jones,3000,Orl@Min 08:00PM ET,8.875,Min,1,0,4.643,2.000,7.750,1.500,17.000,18.000,0.167,0.000,210.500,-0.237,0.000,10.576,10.563
SG,Brandon Rush,3000,Orl@Min 08:00PM ET,7.938,Min,1,0,11.000,3.229,15.062,0.000,24.500,18.000,0.159,0.000,210.500,-0.237,0.000,12.501,11.545
SG,C.J. Wilcox,3000,Orl@Min 08:00PM ET,2.609,Orl,0,0,2.107,0.614,3.375,0.000,5.000,18.000,0.001,9.500,210.500,-9004.237,0.000,8.050,10.553
SF/PF,Nemanja Bjelica,3000,Orl@Min 08:00PM ET,12.728,Min,1,0,11.750,6.283,8.188,5.000,17.000,18.000,0.274,0.000,210.500,-0.237,0.000,15.437,15.187
SF,Anthony Brown,3000,Orl@Min 08:00PM ET,9.886,Orl,0,0,6.450,5.143,12.062,15.000,6.000,18.000,0.143,9.500,210.500,-4.237,0.000,14.479,15.297
SF,Damjan Rudez,3000,Orl@Min 08:00PM ET,4.633,Orl,0,0,5.786,1.303,10.625,6.250,6.000,18.000,0.014,9.500,210.500,-4.237,0.000,10.880,12.303
SF,Mario Hezonja,3000,Orl@Min 08:00PM ET,7.150,Orl,0,0,8.393,2.312,15.250,20.750,6.000,18.000,0.056,9.500,210.500,-4.237,0.000,14.772,13.312
PF,Jordan Hill,3000,Orl@Min 08:00PM ET,5.350,Min,1,0,2.667,0.625,5.000,1.250,11.000,18.000,0.048,0.000,210.500,-0.237,0.000,7.340,8.667
PF,Adreian Payne,3000,Orl@Min 08:00PM ET,8.295,Min,1,0,9.167,3.375,2.938,1.250,11.000,18.000,0.089,0.000,210.500,-6.864,0.000,8.808,5.955
PF,Stephen Zimmerman Jr.,3000,Orl@Min 08:00PM ET,4.125,Orl,0,0,2.583,1.950,5.000,11.000,7.500,18.000,0.011,9.500,210.500,-4.237,0.000,10.625,13.897
C,Cole Aldrich,3000,Orl@Min 08:00PM ET,8.589,Min,1,0,3.643,4.174,3.875,-0.500,18.000,18.000,0.095,0.000,210.500,-7.258,0.000,8.966,8.880
C,Nikola Pekovic,3000,Orl@Min 08:00PM ET,0.000,Min,1,1,0.000,0.000,0.000,0.000,18.000,18.000,0.000,0.000,210.500,-0.237,0.000,4.587,6.902
PG,Randy Foye,3000,Bkn@Mia 07:30PM ET,12.684,Bkn,0,0,18.464,7.713,15.938,8.000,7.000,18.000,0.236,8.500,218.000,1.099,0.000,16.684,19.367
SG/SF,Rodney McGruder,3000,Bkn@Mia 07:30PM ET,14.051,Mia,1,0,12.286,7.974,15.688,17.750,30.000,18.000,0.273,0.000,218.000,5.099,0.000,16.329,18.180
SF,Derrick Williams,3000,Bkn@Mia 07:30PM ET,11.813,Mia,1,0,12.429,7.214,8.438,0.000,30.000,18.000,0.180,0.000,218.000,-1.553,0.000,16.780,19.032
SF,Joe Harris,3000,Bkn@Mia 07:30PM ET,15.806,Bkn,0,1,17.179,9.816,14.312,16.000,8.000,18.000,0.384,8.500,218.000,1.099,0.000,16.692,21.325
PF,Chris Bosh,3000,Bkn@Mia 07:30PM ET,0.000,Mia,1,0,0.000,0.000,0.000,0.000,30.000,18.000,0.000,0.000,218.000,5.099,0.000,6.450,6.112
PF,Josh McRoberts,3000,Bkn@Mia 07:30PM ET,13.523,Mia,1,1,15.107,8.917,9.188,10.000,30.000,18.000,0.234,0.000,218.000,5.099,0.000,17.289,20.545
PF,Luke Babbitt,3000,Bkn@Mia 07:30PM ET,9.353,Mia,1,0,11.143,3.962,12.688,13.750,30.000,18.000,0.110,0.000,218.000,5.099,0.000,15.503,14.603
PF,Quincy Acy,3000,Bkn@Mia 07:30PM ET,9.266,Bkn,0,0,14.286,4.300,8.438,10.000,7.500,18.000,0.148,8.500,218.000,1.099,0.000,14.886,12.095
PF,Justise Winslow,3000,Bkn@Mia 07:30PM ET,25.833,Mia,1,1,25.464,20.250,23.875,32.750,30.000,18.000,0.784,0.000,218.000,5.099,0.000,22.074,23.258
PF,Chris McCullough,3000,Bkn@Mia 07:30PM ET,4.981,Bkn,0,0,7.714,2.000,4.562,7.250,7.500,18.000,0.034,8.500,218.000,1.099,0.000,10.644,11.113
C,Luis Scola,3000,Bkn@Mia 07:30PM ET,12.463,Bkn,0,0,13.571,6.203,13.375,5.000,17.000,18.000,0.234,8.500,218.000,1.099,0.000,16.816,18.150
C,Udonis Haslem,3000,Bkn@Mia 07:30PM ET,5.517,Mia,1,0,4.208,1.562,8.500,3.250,29.500,18.000,0.031,0.000,218.000,5.099,0.000,12.256,12.712
PG,Kay Felder,3000,Cle@Dal 08:30PM ET,9.167,Cle,0,0,7.321,4.103,6.125,0.500,1.000,18.000,0.130,0.000,208.000,-9002.016,0.000,8.349,9.153
SG,James Jones,3000,Cle@Dal 08:30PM ET,4.893,Cle,0,0,1.929,1.456,6.938,2.000,4.000,18.000,0.014,0.000,208.000,-9002.016,0.000,7.354,8.323
SG,DeAndre Liggins,3000,Cle@Dal 08:30PM ET,8.388,Cle,0,0,9.607,3.118,2.250,4.750,4.000,18.000,0.066,0.000,208.000,-9008.246,0.000,7.679,7.040
SG,Jordan McRae,3000,Cle@Dal 08:30PM ET,7.425,Cle,0,0,7.857,2.078,1.688,1.250,4.000,18.000,0.092,0.000,208.000,-9009.807,0.000,7.210,6.935
SG,Nicolas Brussino,3000,Cle@Dal 08:30PM ET,5.024,Dal,1,0,4.357,1.278,5.688,1.250,28.000,18.000,0.009,4.500,208.000,-2.016,0.000,10.146,13.028
SF/PF,Richard Jefferson,3000,Cle@Dal 08:30PM ET,10.261,Cle,0,0,7.571,6.115,10.625,15.000,3.750,18.000,0.099,0.000,208.000,-9008.061,0.000,11.288,11.235
C,Chris Andersen,3000,Cle@Dal 08:30PM ET,7.979,Cle,0,1,7.688,4.607,8.312,11.000,9.500,18.000,0.035,0.000,208.000,-2.016,0.000,9.684,9.807
C,Salah Mejri,3000,Cle@Dal 08:30PM ET,10.573,Dal,1,0,8.143,4.837,6.938,0.000,6.000,18.000,0.177,4.500,208.000,-2.016,0.000,11.262,14.910
C,A.J. Hammons,3000,Cle@Dal 08:30PM ET,3.794,Dal,1,0,4.571,1.750,3.875,2.000,6.000,18.000,0.002,4.500,208.000,-2.016,0.000,7.014,6.890
PG,Ronnie Price,3000,Mem@Pho 10:30PM ET,0.000,Pho,1,0,0.000,0.000,0.000,0.000,8.000,18.000,0.000,3.500,208.500,-1.660,0.000,4.355,7.298
PG,Tyler Ulis,3000,Mem@Pho 10:30PM ET,6.542,Pho,1,0,5.286,3.163,3.500,4.250,8.000,18.000,0.052,3.500,208.500,-1.660,0.000,8.621,8.787
PG,Wade Baldwin IV,3000,Mem@Pho 10:30PM ET,9.402,Mem,0,0,5.000,3.327,3.125,6.250,25.500,18.000,0.179,0.000,208.500,-1.660,0.000,9.883,13.277
SG,Leandro Barbosa,3000,Mem@Pho 10:30PM ET,10.216,Pho,1,0,8.607,4.227,6.625,17.500,8.000,18.000,0.155,3.500,208.500,-1.660,0.000,14.542,15.312
SG,Troy Daniels,3000,Mem@Pho 10:30PM ET,13.949,Mem,0,0,13.321,5.458,7.188,7.000,15.000,18.000,0.362,0.000,208.500,-1.660,0.000,12.435,14.582
SG,Troy Williams,3000,Mem@Pho 10:30PM ET,10.720,Mem,0,0,11.821,2.729,4.188,0.000,15.000,18.000,0.234,0.000,208.500,-10.968,0.000,8.994,13.478
SF/PF,Dragan Bender,3000,Mem@Pho 10:30PM ET,7.872,Pho,1,1,9.464,3.604,6.312,2.750,3.750,18.000,0.108,3.500,208.500,-9001.660,0.000,9.549,9.173
SF,Derrick Jones Jr.,3000,Mem@Pho 10:30PM ET,1.500,Pho,1,0,3.000,0.000,1.500,3.000,5.000,18.000,0.081,3.500,208.500,-9001.660,0.000,5.632,8.382
