Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10
C,Roy Hibbert,3000,Cle@Cha 07:00PM ET,13.287,Cha,1,0,14.500,8.883,13.375,10.500,6.000,18.000,0.269,1.000,210.500,0.000,4.500,4.500,10.500,10.750,15.000,17.250,10.500,5.000,22.500,11.250,9.000,15.250
PG,Bobby Brown,3000,NY@Hou 08:00PM ET,0.656,Hou,1,0,1.333,0.000,1.312,0.000,13.000,18.000,0.003,-12.500,224.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PG,Tyler Ennis,3000,NY@Hou 08:00PM ET,5.463,Hou,1,0,3.786,2.182,5.375,1.250,13.000,18.000,0.010,-12.500,224.500,0.000,0.000,0.000,1.250,11.500,2.000,6.750,0.000,1.500,-0.500,0.000,3.500,17.000
SG/SF,Corey Brewer,3000,NY@Hou 08:00PM ET,8.934,Hou,1,0,8.393,5.105,12.812,21.250,20.000,18.000,0.053,-12.500,224.500,0.000,13.000,13.000,21.250,15.750,12.000,2.250,4.500,2.750,3.250,3.000,8.500,2.000
SG,Sasha Vujacic,3000,NY@Hou 08:00PM ET,5.463,NY,0,0,5.250,0.650,5.688,11.000,26.000,18.000,0.019,12.500,224.500,0.000,0.000,0.000,11.000,11.750,0.000,0.000,0.000,2.000,6.500,15.500,14.000,10.750
SG,Ron Baker,3000,NY@Hou 08:00PM ET,7.050,NY,0,0,8.125,3.458,9.188,0.750,26.000,18.000,0.052,12.500,224.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SF/PF,Lance Thomas,3000,NY@Hou 08:00PM ET,8.071,NY,0,0,6.929,5.125,4.562,6.750,20.250,18.000,0.021,12.500,224.500,0.000,13.750,13.750,6.750,1.250,7.000,3.250,6.000,7.500,12.000,4.000,11.000,8.000
SF,K.J. McDaniels,3000,NY@Hou 08:00PM ET,6.213,Hou,1,0,2.607,2.250,2.375,0.000,14.000,18.000,0.034,-12.500,224.500,0.000,0.000,0.000,4.250,5.250,0.000,1.750,0.000,4.500,2.000,9.750,1.250,5.500
SF,Mindaugas Kuzminskas,3000,NY@Hou 08:00PM ET,8.019,NY,0,0,7.143,4.071,5.438,-0.500,24.000,18.000,0.042,12.500,224.500,0.000,21.000,21.000,-0.500,4.750,17.500,0.000,12.250,1.000,9.500,7.500,8.750,4.500
PF,Kyle Wiltjer,3000,NY@Hou 08:00PM ET,2.306,Hou,1,0,4.833,0.375,1.000,3.250,20.000,18.000,0.006,-12.500,224.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PF,Maurice Ndour,3000,NY@Hou 08:00PM ET,5.231,NY,0,0,5.042,2.833,4.625,4.500,16.500,18.000,0.003,12.500,224.500,0.000,6.000,6.000,4.500,9.250,4.750,0.000,1.250,4.000,6.500,5.250,5.250,8.000
C,Marshall Plumlee,3000,NY@Hou 08:00PM ET,5.000,NY,0,0,6.875,0.625,5.000,0.000,26.000,18.000,0.105,12.500,224.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
C,Guillermo Hernangomez,3000,NY@Hou 08:00PM ET,13.519,NY,0,0,15.750,5.667,7.188,4.000,26.000,18.000,0.332,12.500,224.500,0.000,17.000,17.000,4.000,3.500,0.000,21.250,0.000,34.750,25.500,28.500,20.250,4.500
C,Chinanu Onuaku,3000,NY@Hou 08:00PM ET,13.250,Hou,1,0,13.250,0.000,13.250,13.250,22.000,18.000,0.159,-12.500,224.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PG/SG,Leandro Barbosa,3000,Pho@Uta 08:00PM ET,10.680,Pho,0,0,14.214,4.721,7.750,5.000,3.500,18.000,0.184,11.500,207.500,0.000,19.750,19.750,5.000,11.250,10.500,4.250,3.250,18.000,1.500,11.750,11.250,21.250
PG,Raul Neto,3000,Pho@Uta 08:00PM ET,4.721,Uta,1,0,5.286,1.159,5.375,0.000,26.000,18.000,0.022,-11.500,207.500,0.000,12.750,12.750,0.000,13.000,1.250,7.250,12.250,0.000,20.000,8.500,0.000,3.000
PG,Dante Exum,3000,Pho@Uta 08:00PM ET,12.446,Uta,1,0,13.643,6.682,10.188,6.750,26.000,18.000,0.172,-11.500,207.500,0.000,0.000,6.750,5.500,14.250,14.250,14.000,12.750,13.750,12.000,15.500,11.000,5.750
PG,Tyler Ulis,3000,Pho@Uta 08:00PM ET,7.863,Pho,0,0,9.000,3.768,5.438,16.500,6.000,18.000,0.107,11.500,207.500,0.000,5.500,5.500,16.500,1.000,4.750,-0.500,6.500,5.750,2.000,5.000,8.750,0.000
SG,John Jenkins,3000,Pho@Uta 08:00PM ET,2.563,Pho,0,0,3.375,0.000,2.562,3.500,1.000,18.000,0.025,11.500,207.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SG,Alec Burks,3000,Pho@Uta 08:00PM ET,0.000,Uta,1,0,0.000,0.000,0.000,,15.000,18.000,,-11.500,207.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SF,Derrick Jones Jr.,3000,Pho@Uta 08:00PM ET,1.500,Pho,0,0,0.000,0.000,1.500,3.000,1.000,18.000,0.081,11.500,207.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PF/C,Boris Diaw,3000,Pho@Uta 08:00PM ET,11.396,Uta,1,0,10.893,6.200,11.688,3.000,23.000,18.000,0.199,-11.500,207.500,0.000,4.000,4.000,3.000,14.000,7.000,22.750,5.250,22.500,9.500,10.250,8.250,15.500
PF,Joel Bolomboy,3000,Pho@Uta 08:00PM ET,2.833,Uta,1,0,1.938,1.050,2.812,3.500,21.500,18.000,0.004,-11.500,207.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
C,Jeff Withey,3000,Pho@Uta 08:00PM ET,7.948,Uta,1,0,8.179,3.875,8.438,0.000,24.500,18.000,0.041,-11.500,207.500,0.000,0.000,0.000,9.750,5.250,18.750,7.000,8.500,4.750,3.250,14.500,13.000,7.750
C,Alan Williams,3000,Pho@Uta 08:00PM ET,9.768,Pho,0,0,16.429,3.659,4.375,0.000,2.000,18.000,0.275,11.500,207.500,0.000,0.000,0.000,9.250,3.750,4.500,7.000,2.250,4.750,0.000,15.500,38.750,42.250
