Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PF,Juancho Hernangomez,3000,Pho@Den 09:00PM ET,8.200,Den,1,0,3.536,3.612,8.562,20.500,18.000,3.500,0.114,230.000,-7.000,14.286,0.000
C,Alan Williams,3000,Pho@Den 09:00PM ET,8.672,Pho,0,0,10.393,2.750,2.812,18.500,18.000,0.000,0.240,230.000,7.000,14.286,0.000
C,Jusuf Nurkic,3000,Pho@Den 09:00PM ET,20.231,Den,1,0,14.000,11.369,11.438,24.000,18.000,7.500,0.578,230.000,-7.000,2.880,0.000
PG/SG,Devin Harris,3000,Dal@OKC 08:00PM ET,11.414,Dal,0,0,10.429,5.750,12.375,16.750,18.000,17.000,0.193,197.000,9.000,-13.286,18.250
PG,Pierre Jackson,3000,Dal@OKC 08:00PM ET,7.594,Dal,0,0,6.875,0.375,8.688,22.500,18.000,12.250,0.129,197.000,9.000,-13.286,18.000
PG,Semaj Christon,3000,Dal@OKC 08:00PM ET,9.081,OKC,1,0,10.821,4.809,10.312,1.000,18.000,3.500,0.049,197.000,-9.000,-9014.308,0.000
PG,Cameron Payne,3000,Dal@OKC 08:00PM ET,10.667,OKC,1,0,8.000,7.438,11.750,1.000,18.000,10.000,0.061,197.000,-9.000,-9009.286,6.000
SG/SF,Alex Abrines,3000,Dal@OKC 08:00PM ET,9.353,OKC,1,0,10.679,4.488,8.562,3.500,18.000,16.000,0.098,197.000,-9.000,-9009.286,7.000
SG,Anthony Morrow,3000,Dal@OKC 08:00PM ET,8.484,OKC,1,0,8.893,3.559,3.625,4.000,18.000,3.500,0.082,197.000,-9.000,-9009.286,0.000
SG,Nicolas Brussino,3000,Dal@OKC 08:00PM ET,4.983,Dal,0,0,5.607,1.279,4.250,11.000,18.000,11.500,0.010,197.000,9.000,-13.286,10.000
SF/PF,Jerami Grant,3000,Dal@OKC 08:00PM ET,13.156,OKC,1,0,13.429,8.950,14.750,3.000,18.000,8.250,0.167,197.000,-9.000,-9009.286,15.750
