Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,floorAvg,4GameAvg,communityBonus,penalty,dvp,value,Final,O/U,odds
SF/PF,DeMarre Carroll,4500,Bkn@Tor 07:30PM ET,19.280,Tor,1,0,25.143,13.382,28.938,2.000,10.460,29.000,22.500,34.750,225.000,-15.500
SG/SF,Allen Crabbe,4500,Orl@Por 10:00PM ET,18.561,Por,1,0,23.286,12.523,24.562,3.000,2.258,16.750,22.500,15.750,213.500,-7.000
SG/SF,Dion Waiters,4400,Mia@Mil 08:00PM ET,24.675,Mia,0,0,19.179,14.275,20.000,3.000,-7.803,21.750,22.000,25.000,205.000,7.500
SG,Rodney Hood,4400,Det@Uta 10:30PM ET,23.093,Uta,1,0,25.357,15.162,25.438,0.000,-9013.788,4.000,22.000,39.500,191.000,-11.000
SG,Sean Kilpatrick,4400,Bkn@Tor 07:30PM ET,25.480,BKN,0,0,20.964,16.369,19.688,0.000,-9109.277,2.000,22.000,8.500,225.000,15.500
SF,Maurice Harkless,4400,Orl@Por 10:00PM ET,23.713,Por,1,0,20.643,15.844,22.750,0.000,2.258,14.500,22.000,0.000,213.500,-7.000
PG/SG,Darren Collison,4300,Cle@Sac 10:30PM ET,22.892,Sac,1,0,21.643,17.054,22.688,0.000,2.971,23.250,21.500,20.750,214.500,6.500
PF,Jon Leuer,4300,Det@Uta 10:30PM ET,22.711,Det,0,1,23.464,15.562,13.875,0.000,-9097.723,1.000,21.500,0.000,191.000,11.000
PF/C,Spencer Hawes,4300,Cha@Phi 07:00PM ET,16.688,Cha,0,0,17.321,9.100,25.875,0.000,-1.664,18.750,21.500,0.000,208.000,-5.000
C,Jahlil Okafor,4300,Cha@Phi 07:00PM ET,20.580,Phi,1,0,24.643,12.068,13.875,0.000,-82.671,25.000,21.500,0.000,208.000,5.000
SG/SF,Evan Turner,4300,Orl@Por 10:00PM ET,21.178,Por,1,0,24.571,15.429,23.375,0.000,2.258,16.750,21.500,23.000,213.500,-7.000
PF,JaMychal Green,4200,Mem@Hou 08:00PM ET,23.000,Mem,0,0,19.679,15.810,16.625,0.000,-8999.959,8.000,21.000,14.500,216.000,7.500
SG/SF,Thabo Sefolosha,4100,Bos@Atl 08:00PM ET,20.579,Atl,1,0,16.750,13.597,16.625,0.000,-81.717,15.250,20.500,10.250,212.000,-3.500
PF/C,Kelly Olynyk,4100,Bos@Atl 08:00PM ET,18.341,Bos,0,0,22.036,12.015,27.875,0.000,-8998.811,11.250,20.500,42.500,212.000,3.500
SG/SF,Shabazz Muhammad,4100,OKC@Min 08:00PM ET,12.650,Min,1,0,17.821,7.237,15.562,0.000,-9001.664,7.250,20.500,8.250,208.000,2.000
PG,Ty Lawson,4100,Cle@Sac 10:30PM ET,19.973,Sac,1,0,20.964,12.103,22.688,0.000,2.971,17.000,20.500,26.500,214.500,6.500
SF/PF,Dario Saric,4100,Cha@Phi 07:00PM ET,20.403,Phi,1,0,15.571,12.819,19.125,2.000,-1.664,17.000,20.500,27.500,208.000,5.000
PF,Frank Kaminsky,4100,Cha@Phi 07:00PM ET,21.196,Cha,0,0,15.357,14.845,14.812,0.000,-9086.380,10.500,20.500,7.500,208.000,-5.000
SG/SF,Kent Bazemore,4000,Bos@Atl 08:00PM ET,21.194,Atl,1,0,20.321,13.278,15.688,0.000,1.189,15.250,20.000,22.250,212.000,-3.500
SF/PF,Michael Beasley,4000,Mia@Mil 08:00PM ET,16.097,Mil,1,0,17.500,8.859,25.188,0.000,-9003.803,8.000,20.000,25.750,205.000,-7.500
SF,Andre Roberson,4000,OKC@Min 08:00PM ET,18.475,OKC,0,0,14.464,10.676,22.812,0.000,-9001.664,5.500,20.000,26.000,208.000,-2.000
SG/SF,Kyle Korver,4000,Cle@Sac 10:30PM ET,18.331,Cle,0,0,17.679,11.382,16.062,0.000,2.971,16.000,20.000,33.250,214.500,-6.500
SG/SF,Marco Belinelli,4000,Cha@Phi 07:00PM ET,18.640,Cha,0,0,18.964,12.653,16.938,0.000,-1.664,21.750,20.000,14.000,208.000,-5.000
PF/C,Amir Johnson,3900,Bos@Atl 08:00PM ET,17.283,Bos,0,1,15.179,10.417,17.875,0.000,-9090.914,11.250,19.500,8.000,212.000,3.500
C,Willie Reed,3900,Mia@Mil 08:00PM ET,13.617,Mia,0,1,26.179,7.452,23.625,0.000,-9007.803,7.000,19.500,0.000,205.000,7.500
PG/SG,Garrett Temple,3900,Cle@Sac 10:30PM ET,17.461,Sac,1,0,17.464,12.000,18.438,0.000,2.971,23.250,19.500,15.500,214.500,6.500
PG,Shelvin Mack,3800,Det@Uta 10:30PM ET,16.500,Uta,1,0,14.107,8.961,4.875,0.000,-96.570,23.000,19.000,4.000,191.000,-11.000
C,Aron Baynes,3800,Det@Uta 10:30PM ET,10.333,Det,0,0,6.750,6.560,6.062,0.000,-9017.788,3.000,19.000,10.000,191.000,11.000
SG,Nik Stauskas,3800,Cha@Phi 07:00PM ET,17.140,Phi,1,0,14.000,11.412,16.750,0.000,-1.664,24.000,19.000,15.000,208.000,5.000
SG/SF,Terrence Ross,3800,Bkn@Tor 07:30PM ET,17.878,Tor,1,0,17.357,12.143,14.062,0.000,10.460,29.750,19.000,17.000,225.000,-15.500
C,Bismack Biyombo,3800,Orl@Por 10:00PM ET,20.410,Orl,0,0,17.964,13.750,14.812,0.000,-79.036,28.000,19.000,7.250,213.500,7.000
PG/SG,Matthew Dellavedova,3700,Mia@Mil 08:00PM ET,20.141,Mil,1,0,19.286,14.721,17.250,0.000,-9003.803,7.000,18.500,25.000,205.000,-7.500
PG,Andrew Harrison,3700,Mem@Hou 08:00PM ET,17.475,Mem,0,0,16.357,11.125,10.000,0.000,-9092.400,12.000,18.500,0.000,216.000,7.500
SF/PF,Matt Barnes,3700,Cle@Sac 10:30PM ET,19.293,Sac,1,1,18.679,12.013,18.438,0.000,2.971,19.000,18.500,13.750,214.500,6.500
PF,Richaun Holmes,3700,Cha@Phi 07:00PM ET,16.393,Phi,1,1,14.143,7.667,16.438,0.000,-9001.664,8.000,18.500,0.000,208.000,5.000
SF,Rondae Hollis-Jefferson,3700,Bkn@Tor 07:30PM ET,19.074,BKN,0,0,18.857,13.560,16.750,0.000,-8993.540,12.500,18.500,12.250,225.000,15.500
PG,D.J. Augustin,3700,Orl@Por 10:00PM ET,16.369,Orl,0,0,15.500,11.602,21.062,0.000,-8997.742,10.000,18.500,19.750,213.500,7.000
SG/SF,Gerald Green,3600,Bos@Atl 08:00PM ET,11.060,Bos,0,0,10.500,5.188,14.125,0.000,1.189,21.000,18.000,4.750,212.000,3.500
SG,Brandon Rush,3600,OKC@Min 08:00PM ET,7.071,Min,1,0,11.000,3.523,18.625,0.000,-9001.664,11.000,18.000,26.000,208.000,2.000
SG/SF,Vince Carter,3600,Mem@Hou 08:00PM ET,17.816,Mem,0,0,17.286,12.537,11.875,0.000,-72.361,24.500,18.000,7.000,216.000,7.500
SF/PF,Anthony Tolliver,3600,Cle@Sac 10:30PM ET,13.673,Sac,1,0,19.821,6.196,20.000,0.000,2.971,19.000,18.000,18.500,214.500,6.500
PG,Sergio Rodriguez,3600,Cha@Phi 07:00PM ET,23.109,Phi,1,0,21.429,14.912,11.375,0.000,-1.664,19.000,18.000,22.250,208.000,5.000
PG,Spencer Dinwiddie,3600,Bkn@Tor 07:30PM ET,13.200,BKN,0,0,15.500,4.964,21.125,0.000,6.460,14.000,18.000,24.250,225.000,15.500
SG/SF,Norman Powell,3600,Bkn@Tor 07:30PM ET,10.904,Tor,1,0,10.571,5.120,7.562,0.000,10.460,29.750,18.000,10.000,225.000,-15.500
SG/SF,Joe Ingles,3500,Det@Uta 10:30PM ET,15.100,Uta,1,0,15.536,7.533,15.625,0.000,-9013.788,5.500,17.500,10.750,191.000,-11.000
PF,Patrick Patterson,3500,Bkn@Tor 07:30PM ET,19.197,Tor,1,1,19.071,13.219,10.125,0.000,-62.814,28.000,17.500,0.000,225.000,-15.500
SG/SF,Tony Snell,3400,Mia@Mil 08:00PM ET,16.556,Mil,1,0,18.000,11.066,18.438,0.000,-9003.803,8.000,17.000,21.250,205.000,-7.500
SF/PF,Nemanja Bjelica,3400,OKC@Min 08:00PM ET,13.162,Min,1,0,14.643,6.474,13.000,0.000,-9001.664,9.750,17.000,13.750,208.000,2.000
C,Cole Aldrich,3400,OKC@Min 08:00PM ET,9.507,Min,1,0,5.179,5.226,4.750,0.000,-9001.664,9.000,17.000,6.000,208.000,2.000
SG/SF,Corey Brewer,3400,Mem@Hou 08:00PM ET,9.659,Hou,1,0,14.036,6.019,16.438,0.000,-8995.959,5.250,17.000,11.500,216.000,-7.500
