Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
SG,Rodney McGruder,3000,OKC@Mia 07:30PM ET,14.667,Mia,1,0,15.750,7.646,12.500,18.250,11.000,18.000,0.330,4.500,203.000,-0.369,10.250
SG,Alex Abrines,3000,OKC@Mia 07:30PM ET,7.698,OKC,0,0,8.286,3.229,15.750,16.000,3.000,18.000,0.056,0.000,203.000,-9000.369,20.500
SF/PF,Luke Babbitt,3000,OKC@Mia 07:30PM ET,7.781,Mia,1,0,4.857,3.192,6.375,8.750,11.250,18.000,0.051,4.500,203.000,-0.369,0.000
SF,Kyle Singler,3000,OKC@Mia 07:30PM ET,4.515,OKC,0,0,6.143,1.143,3.875,0.000,8.000,18.000,0.002,0.000,203.000,-0.369,2.000
SF,Derrick Williams,3000,OKC@Mia 07:30PM ET,11.985,Mia,1,0,11.893,7.425,15.750,12.750,7.000,18.000,0.187,4.500,203.000,-0.369,13.500
SF,Josh Huestis,3000,OKC@Mia 07:30PM ET,0.000,OKC,0,0,0.000,0.000,0.000,0.000,8.000,18.000,,0.000,203.000,-0.369,0.000
PF/C,Josh McRoberts,3000,OKC@Mia 07:30PM ET,13.523,Mia,1,0,15.107,8.917,9.188,10.000,13.750,18.000,0.234,4.500,203.000,-0.369,0.000
PF/C,Joffrey Lauvergne,3000,OKC@Mia 07:30PM ET,13.537,OKC,0,0,15.643,8.824,14.500,15.500,12.250,18.000,0.275,0.000,203.000,-0.369,7.000
PF,Chris Bosh,3000,OKC@Mia 07:30PM ET,0.000,Mia,1,0,0.000,0.000,0.000,0.000,15.500,18.000,,4.500,203.000,-0.369,0.000
PF,Udonis Haslem,3000,OKC@Mia 07:30PM ET,2.750,Mia,1,0,2.688,1.150,2.750,1.000,15.500,18.000,0.012,4.500,203.000,-0.369,0.000
PF,Domantas Sabonis,3000,OKC@Mia 07:30PM ET,14.702,OKC,0,0,15.929,9.500,13.375,13.250,7.500,18.000,0.321,0.000,203.000,-0.369,14.250
C,Nick Collison,3000,OKC@Mia 07:30PM ET,3.944,OKC,0,0,5.562,0.500,6.500,0.000,17.000,18.000,0.015,0.000,203.000,-0.369,0.000
PG/SG,Devin Harris,3000,Hou@Dal 08:30PM ET,9.283,Dal,1,0,13.464,4.889,7.625,12.250,19.250,18.000,0.122,5.000,209.000,4.054,4.750
