Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,dvp,value,O/U,odds,penalty
C,Clint Capela,4200,Hou@Bos 07:30PM ET,25.826,HOU,0,0,17.750,18.406,23.000,0.000,21.000,25.200,229.000,-4.000,1.815
SF/PF,Dario Saric,4200,Phi@Mil 08:00PM ET,20.936,PHI,0,0,23.607,13.226,21.562,0.000,21.500,25.200,207.000,11.000,-8.635
PG,Michael Carter-Williams,4200,Atl@Chi 08:00PM ET,18.681,CHI,1,0,19.679,12.562,20.125,1.868,23.000,25.200,202.500,1.500,-7.795
SG,Tim Hardaway Jr.,4200,Atl@Chi 08:00PM ET,19.041,ATL,0,0,22.000,11.295,18.938,0.000,12.000,25.200,202.500,-1.500,-9007.795
SG,Nick Young,4200,LAL@Por 10:30PM ET,20.872,LAL,0,0,18.607,13.211,22.500,0.000,8.500,25.200,221.000,8.500,-8998.803
PG/SG,Matthew Dellavedova,4100,Phi@Mil 08:00PM ET,19.628,MIL,1,0,19.714,13.400,17.250,0.000,14.750,24.600,207.000,-11.000,-8.635
SG,Bojan Bogdanovic,4100,Mia@Bkn 07:30PM ET,21.818,BKN,1,0,21.893,15.540,22.938,0.000,3.000,24.600,215.000,3.000,-8999.017
PG,Ty Lawson,4100,Sac@Cle 07:00PM ET,20.464,SAC,0,0,24.536,12.139,23.812,2.046,20.000,24.600,216.000,12.000,-2.315
PF/C,Amir Johnson,4000,Hou@Bos 07:30PM ET,16.855,BOS,1,0,21.393,9.761,15.000,0.000,18.750,24.000,229.000,4.000,10.815
SG/SF,Caris LeVert,4000,Mia@Bkn 07:30PM ET,14.978,BKN,1,1,17.929,8.596,25.188,0.000,6.750,24.000,215.000,3.000,-8999.017
SG,Jeremy Lamb,4000,GS@Cha 08:00PM ET,18.536,CHA,1,1,15.429,8.188,19.812,0.000,13.000,24.000,223.500,10.000,-8997.048
PF,Frank Kaminsky,4000,GS@Cha 08:00PM ET,20.948,CHA,1,1,24.714,14.804,24.312,0.000,9.000,24.000,223.500,10.000,-8997.048
PF/C,Lucas Nogueira,4000,Tor@Mem 08:00PM ET,17.611,TOR,0,0,13.500,11.162,19.312,0.000,2.500,24.000,200.500,6.000,-9009.199
PG/SG,Iman Shumpert,4000,Sac@Cle 07:00PM ET,16.375,CLE,1,0,17.000,11.159,25.375,0.000,23.250,24.000,216.000,-12.000,-2.315
SG/SF,Garrett Temple,4000,Sac@Cle 07:00PM ET,17.915,SAC,0,0,23.464,12.478,22.938,0.000,27.750,24.000,216.000,12.000,-2.315
SF/PF,Matt Barnes,4000,Sac@Cle 07:00PM ET,18.902,SAC,0,0,18.000,12.125,15.750,1.890,21.250,24.000,216.000,12.000,-2.315
C,Joakim Noah,4000,NY@Dal 08:30PM ET,22.875,NY,0,0,20.107,15.359,22.625,2.288,9.000,24.000,204.000,3.000,-9006.742
SF/PF,Luol Deng,4000,LAL@Por 10:30PM ET,20.409,LAL,0,0,23.821,13.558,15.875,2.041,24.750,24.000,221.000,8.500,1.197
SF/PF,Rondae Hollis-Jefferson,3900,Mia@Bkn 07:30PM ET,19.363,BKN,1,0,20.393,13.609,21.125,0.000,8.750,23.400,215.000,3.000,-8999.017
SF,Wayne Ellington,3900,Mia@Bkn 07:30PM ET,17.940,MIA,0,0,11.607,10.396,21.188,0.000,30.000,23.400,215.000,-3.000,0.983
