max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,game_id,Target,Name,Position,team,ou,odds,home,OPP
4900,5300,5140.0000,5000,101.9803902718557,20.2,2.5661254840712684,15.25,22.75,201586,21700280,?,Serge Ibaka,PF/C,TOR,209,-7,0,ATL
3400,3700,3540.0000,3500,79.99999999999997,9.75,4.513867521316947,4.75,18,1627098,21700280,?,Malcolm Delaney,PG/SG,ATL,209,7,1,TOR
3300,3400,3250.0000,3000,180.2775637731994,12.125,8.917153413505904,1.5,28.5,1628463,21700280,?,Tyler Cavanaugh,PF,ATL,209,7,1,TOR
4800,5300,5050.0000,4600,221.73557826083447,29.875,12.148173731059332,17.5,55,203473,21700280,?,Dewayne Dedmon,C,ATL,209,7,1,TOR
3700,3900,3850.0000,3800,50,10.875,6.634427254857799,2.75,20,101141,21700280,?,Ersan Ilyasova,SF/PF,ATL,209,7,1,TOR
4900,5300,5066.6667,4800,159.86105077709055,26.125,9.38388467888788,10.75,41.25,1627752,21700280,?,Taurean Prince,SG/SF,ATL,209,7,1,TOR
5200,4800,4650.0000,4400,138.4437310486346,28.375,7.116222663745142,20,39.5,1628381,21700280,?,John Collins,PF/C,ATL,209,7,1,TOR
4000,4100,3916.6667,3800,106.71873729054747,23.833333333333332,7.560404898034379,9.5,31.25,201158,21700280,?,Marco Belinelli,SG,ATL,209,7,1,TOR
5300,5500,5233.3333,4900,221.1083193570267,28.875,9.137548449483957,19.25,44.5,203145,21700280,?,Kent Bazemore,SG/SF,ATL,209,7,1,TOR
3000,3000,3000.0000,3000,0,4.375,3.907124902021946,0,8.75,1627761,21700280,?,DeAndre' Bembry,SG/SF,ATL,209,7,1,TOR
6700,7100,6683.3333,6300,240.94720491334925,34.75,6.701989754294367,23,43,203471,21700280,?,Dennis Schroder,PG,ATL,209,7,1,TOR
3000,3000,3000.0000,3000,0,11.25,5.25,6,16.5,203705,21700280,?,Josh Magette,PG,ATL,209,7,1,TOR
6300,6700,6516.6667,6300,121.33516482134198,31.541666666666668,6.290562817074125,20.75,40.25,1627759,21700281,?,Jaylen Brown,SG/SF,BOS,205,-4,0,IND
4300,5300,4616.6667,4400,323.6081306491266,16.375,12.14817373105933,2.5,38,1626179,21700281,?,Terry Rozier,PG/SG,BOS,205,-4,0,IND
3000,3000,3000.0000,3000,0,4,0,4,4,1627824,21700281,?,Guerschon Yabusele,PF/C,BOS,205,-4,0,IND
3200,3200,3200.0000,3200,0,5.125,5.217658318952414,0,15.25,1628400,21700281,?,Semi Ojeleye,SF/PF,BOS,205,-4,0,IND
5100,6300,5550.0000,5100,373.05048809332317,20.416666666666668,5.294782547208357,13.75,31.25,203935,21700281,?,Marcus Smart,SG/SF,BOS,205,-4,0,IND
3000,3000,3000.0000,3000,0,2.5,3,-0.5,5.5,1627846,21700281,?,Abdel Nader,PF,BOS,205,-4,0,IND
3300,3300,3300.0000,3300,0,5.3,4.495553358597805,2.5,14.25,1628464,21700281,?,Daniel Theis,PF/C,BOS,205,-4,0,IND
3500,3800,3600.0000,3500,115.47005383792515,11.666666666666666,8.906536301441145,5.5,30.75,203382,21700281,?,Aron Baynes,C,BOS,205,-4,0,IND
6000,6200,5983.3333,5700,177.16909687891075,29.291666666666668,7.079042818222124,18.5,37.75,1628369,21700281,?,Jayson Tatum,SF/PF,BOS,205,-4,0,IND
7000,7600,7366.6667,6900,274.8737083745107,30.291666666666668,3.817221575381177,24.5,36.25,201143,21700281,?,Al Horford,PF/C,BOS,205,-4,0,IND
8300,8500,8300.0000,8100,152.75252316519484,42.916666666666664,9.610830117921946,34.25,62.75,202681,21700281,?,Kyrie Irving,PG,BOS,205,-4,0,IND
3200,3500,3275.0000,3200,129.9038105676658,3.75,2.4558603380485624,0,6.5,203499,21700281,?,Shane Larkin,PG,BOS,205,-4,0,IND
6300,7200,6860.0000,6700,185.47236990991405,28.6,11.173182178770737,17.75,49.75,1626167,21700281,?,Myles Turner,C,IND,205,4,1,BOS
3000,3000,3000.0000,3000,0,4.5,3.1966779631361053,0,8.75,1628388,21700281,?,TJ Leaf,SF/PF,IND,205,4,1,BOS
5900,6300,6080.0000,5700,222.71057451320098,29.55,6.673454877348014,17,36.75,201152,21700281,?,Thaddeus Young,SF/PF,IND,205,4,1,BOS
3500,3700,3620.0000,3600,40.00000000000003,17.95,7.073542252648244,6.25,26.25,202709,21700281,?,Cory Joseph,PG,IND,205,4,1,BOS
7800,8000,7600.0000,7100,289.82753492378873,43.85,13.513511756756643,27.75,65.75,203506,21700281,?,Victor Oladipo,PG/SG,IND,205,4,1,BOS
5800,6100,5940.0000,5500,224.4994432064364,33.9,5.66259657754285,30,45,201954,21700281,?,Darren Collison,PG,IND,205,4,1,BOS
4600,4500,4420.0000,4300,74.83314773547876,29.05,8.207313811473277,21.75,40.75,202711,21700281,?,Bojan Bogdanovic,SG/SF,IND,205,4,1,BOS
3000,3000,3000.0000,3000,0,1,0,1,1,1626202,21700281,?,Joe Young,PG/SG,IND,205,4,1,BOS
3500,3700,3560.0000,3500,80,21.65,6.2900715417235125,9.25,26.25,202362,21700281,?,Lance Stephenson,SG/SF,IND,205,4,1,BOS
3000,3000,3000.0000,3000,0,2,0,2,2,2863,21700281,?,Damien Wilkins,SG/SF,IND,205,4,1,BOS
5600,5900,5680.0000,5300,203.9607805437114,23.7,4.202380277890139,15.5,27.5,1627734,21700281,?,Domantas Sabonis,PF/C,IND,205,4,1,BOS
3700,3900,3750.0000,3700,76.37626158259731,20.875,9.105572927242598,10.5,37,101127,21700282,?,Jarrett Jack,PG,NYK,217,15,0,HOU
6800,6700,6516.6667,6200,177.1690968789109,42.625,12.25148800486428,27.75,61,203501,21700282,?,Tim Hardaway Jr.,SG/SF,NYK,217,15,0,HOU
3400,3500,3466.6667,3400,47.14045207910311,7.833333333333333,6.665624918607074,2.75,17.25,1626195,21700282,?,,,NYK,217,15,0,HOU
3300,3400,3400.0000,3400,0,9.375,3.375,6,12.75,201196,21700282,?,Ramon Sessions,PG,NYK,217,15,0,HOU
4800,4700,4433.3333,4100,213.43747458109502,29.875,6.634427254857799,19,37.75,201584,21700282,?,Courtney Lee,SG/SF,NYK,217,15,0,HOU
3400,3400,3400.0000,3400,0,6.708333333333333,3.4260541767786195,2,12.5,202498,21700282,?,Lance Thomas,SF/PF,NYK,217,15,0,HOU
3500,3700,3533.3333,3500,74.53559924999297,15,5.800502851764951,6,25.25,203926,21700282,?,Doug McDermott,SF/PF,NYK,217,15,0,HOU
3300,3400,3400.0000,3400,0,11.125,6.875,4.25,18,201563,21700282,?,Michael Beasley,SF/PF,NYK,217,15,0,HOU
6000,6600,6380.0000,6000,213.54156504062618,31.2,10.814804667676619,19,47,202683,21700282,?,Enes Kanter,PF/C,NYK,217,15,0,HOU
3800,4000,3916.6667,3800,89.75274678557507,12.833333333333334,7.658963521405636,-0.5,24.25,1628373,21700282,?,Frank Ntilikina,PG/SG,NYK,217,15,0,HOU
3500,3900,3666.6667,3500,124.72191289246469,12.875,3.3408768809001828,8,18.5,203124,21700282,?,Kyle O'Quinn,PF/C,NYK,217,15,0,HOU
8600,9600,8950.0000,8600,320.15621187164237,38.333333333333336,6.541003151063469,25.5,46,204001,21700282,?,Kristaps Porzingis,PF/C,NYK,217,15,0,HOU
3800,3800,3775.0000,3700,43.30127018922197,18.5,6.7592529172978875,7.25,25.25,200782,21700282,?,P.J. Tucker,SF/PF,HOU,217,-15,1,NYK
4700,4700,4533.3333,4400,124.72191289246463,24.833333333333332,6.182412330330469,19.5,33.5,201583,21700282,?,Ryan Anderson,PF/C,HOU,217,-15,1,NYK
11500,12700,11850.0000,11100,668.9544080129829,56.1875,9.901664948381157,41.5,67.5,201935,21700282,?,James Harden,PG/SG,HOU,217,-15,1,NYK
3500,3500,3375.0000,3000,216.50635094610962,15.25,7.59317127424372,3.75,24.75,204028,21700282,?,Tarik Black,PF/C,HOU,217,-15,1,NYK
3400,3300,3266.6667,3200,47.1404520791032,19.833333333333332,6.158778738967293,14.75,28.5,2403,21700282,?,Nene Hilario,C,HOU,217,-15,1,NYK
3000,3000,3000.0000,3000,0,0,0,0,0,1627743,21700282,?,Demetrius Jackson,PG,HOU,217,-15,1,NYK
3600,3600,3533.3333,3500,47.1404520791032,16.833333333333332,8.98455464796237,6,28,201601,21700282,?,Luc Richard Mbah a Moute,SF/PF,HOU,217,-15,1,NYK
6600,7200,6950.0000,6700,206.15528128088303,30.25,8.160499371974732,17,39.25,203991,21700282,?,Clint Capela,C,HOU,217,-15,1,NYK
5200,5200,5150.0000,5100,50,28.875,8.157626799504866,18,37,2772,21700282,?,Trevor Ariza,SG/SF,HOU,217,-15,1,NYK
7800,7500,7366.6667,7100,188.56180831641262,41.5,7.820912137766711,35,52.5,101108,21700282,?,Chris Paul,PG/SG,HOU,217,-15,1,NYK
5500,6600,6266.6667,6000,249.44382578492952,19,3.409545424246464,15.25,23.5,201569,21700282,?,Eric Gordon,SG,HOU,217,-15,1,NYK
3100,3100,3100.0000,3100,0,2.75,2.772634126602354,0.5,7.5,201628,21700282,?,Bobby Brown,PG,HOU,217,-15,1,NYK
3500,3500,3500.0000,3500,0,11.958333333333334,4.848575105693997,4,18,201967,21700284,?,Dante Cunningham,SF/PF,NOP,229,11,0,GSW
10600,11000,10300.0000,9600,489.8979485566355,43.541666666666664,11.075890357990287,28.25,61.25,203076,21700284,?,Anthony Davis,PF/C,NOP,229,11,0,GSW
3500,3900,3766.6667,3600,94.28090415820631,18.125,6.6516758539985,8,27,2749,21700284,?,Jameer Nelson,PG/SG,NOP,229,11,0,GSW
3300,3300,3300.0000,3300,0,6.2,4.736559933116016,0,11.75,1627767,21700284,?,Cheick Diallo,PF,NOP,229,11,0,GSW
3000,3000,3000.0000,3000,0,1.5,0,1.5,1.5,1628429,21700284,?,Charles Cooke,SG,NOP,229,11,0,GSW
11000,11400,10983.3333,10300,357.84850922639805,45.375,10.510659272059643,26,58,202326,21700284,?,DeMarcus Cousins,PF/C,NOP,229,11,0,GSW
3000,3000,3000.0000,3000,0,11.333333333333334,3.92286743197994,7,16.5,2754,21700284,?,Tony Allen,SG/SF,NOP,229,11,0,GSW
5100,5200,4750.0000,4400,281.3657169355689,19.333333333333332,7.158425494168083,4.5,26.5,200765,21700284,?,Rajon Rondo,PG,NOP,229,11,0,GSW
6200,6800,6483.3333,6100,211.47629234082527,28.166666666666668,5.7548288902065154,16.25,34.5,201950,21700284,?,Jrue Holiday,PG/SG,NOP,229,11,0,GSW
3400,3300,3250.0000,3000,111.80339887498948,21.416666666666668,7.008427466668651,8,28.25,203121,21700284,?,Darius Miller,SF,NOP,229,11,0,GSW
3000,3000,3000.0000,3000,0,3.375,1.375,2,4.75,1627883,21700284,?,Jalen Jones,SF,NOP,229,11,0,GSW
3700,4100,3933.3333,3700,149.071198499986,20.208333333333332,7.9075605523378,10,34.5,202734,21700284,?,E'Twaun Moore,SG/SF,NOP,229,11,0,GSW
3300,3400,3400.0000,3400,0,6.8125,2.7464465678399788,2.75,10,203546,21700284,?,Ian Clark,PG/SG,NOP,229,11,0,GSW
3000,3000,3000.0000,3000,0,14.9,2.4372115213907883,11,18.25,1626172,21700284,?,Kevon Looney,SF/PF,GSW,229,-11,1,NOP
3000,3000,3000.0000,3000,0,18.625,17.375,1.25,36,1628395,21700284,?,Jordan Bell,PF/C,GSW,229,-11,1,NOP
3000,3000,3000.0000,3000,0,6.041666666666667,3.9539449358274523,2.75,12.75,201580,21700284,?,JaVale McGee,C,GSW,229,-11,1,NOP
3500,3500,3466.6667,3300,74.53559924999297,17.416666666666668,7.4072974528876285,5.75,28.25,2561,21700284,?,David West,PF/C,GSW,229,-11,1,NOP
9600,9600,9220.0000,8700,305.9411708155669,48.9,12.97073629367277,31,69.25,201939,21700284,?,Stephen Curry,PG/SG,GSW,229,-11,1,NOP
7200,7800,7580.0000,7300,160,33.4,3.3188853550552175,27,36.5,203110,21700284,?,Draymond Green,PF/C,GSW,229,-11,1,NOP
3100,3100,3100.0000,3100,0,16.75,6.454972243679028,9.75,30.25,2585,21700284,?,Zaza Pachulia,C,GSW,229,-11,1,NOP
3200,3300,3220.0000,3200,40.00000000000003,3.95,5.64668044075455,-0.5,14.75,1627775,21700284,?,Patrick McCaw,SG/SF,GSW,229,-11,1,NOP
6700,7400,7033.3333,6700,228.5218200133682,30.791666666666668,8.554259010704682,20,44,202691,21700284,?,Klay Thompson,SG,GSW,229,-11,1,NOP
3600,3600,3550.0000,3500,50,11.791666666666666,8.282029575465721,2.5,29,2733,21700284,?,Shaun Livingston,PG/SG,GSW,229,-11,1,NOP
3300,3300,3300.0000,3300,0,12.583333333333334,6.138448953567631,6,25.5,201156,21700284,?,Nick Young,SG,GSW,229,-11,1,NOP
3600,3600,3400.0000,3300,141.4213562373095,16.541666666666668,7.706080751948785,3.25,27.5,201956,21700284,?,Omri Casspi,SF/PF,GSW,229,-11,1,NOP
3900,4000,3800.0000,3500,208.16659994661327,16.541666666666668,5.2587559259666055,8,25.75,2738,21700284,?,Andre Iguodala,SG/SF,GSW,229,-11,1,NOP
3400,3400,3400.0000,3400,0,2.6875,2.0794755949517656,1.25,6.25,1626177,21700283,?,Dakari Johnson,C,OKC,204,-6,0,DAL
3000,3000,3000.0000,3000,0,0,0,0,0,1628390,21700283,?,Terrance Ferguson,SG/SF,OKC,204,-6,0,DAL
3100,3100,3100.0000,3100,0,5.65,4.01434926233381,-0.5,10.25,202335,21700283,?,Patrick Patterson,PF/C,OKC,204,-6,0,DAL
10900,10800,10520.0000,10300,172.04650534085258,57.25,12.871480101371404,38.75,70,201566,21700283,?,Russell Westbrook,PG,OKC,204,-6,0,DAL
5400,5700,5550.0000,5200,206.1552812808831,29.8125,5.715589973922202,20.75,36,203500,21700283,?,Steven Adams,C,OKC,204,-6,0,DAL
3000,3000,3000.0000,3000,0,3.75,2.669269563007828,1.25,7.25,203962,21700283,?,Josh Huestis,SF/PF,OKC,204,-6,0,DAL
3400,3400,3400.0000,3400,0,7.75,3.784838173555112,2,12.25,203518,21700283,?,Alex Abrines,SG/SF,OKC,204,-6,0,DAL
6800,7000,6860.0000,6700,101.9803902718557,35.55,2.938537050983023,32.25,40.75,2546,21700283,?,Carmelo Anthony,SF/PF,OKC,204,-6,0,DAL
3300,3400,3320.0000,3300,40.00000000000003,12.25,1.5890248582070703,9.25,13.5,101109,21700283,?,Raymond Felton,PG/SG,OKC,204,-6,0,DAL
8900,8700,8500.0000,8300,126.49110640673517,39.4,11.370576062803503,19.75,50.25,202331,21700283,?,Paul George,SF,OKC,204,-6,0,DAL
3400,3300,3300.0000,3300,0,14.4,4.707971962533337,8,22.25,203460,21700283,?,Andre Roberson,SG/SF,OKC,204,-6,0,DAL
