Salary,max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),DKFPS,std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Team,ou,odds,Home,OPP,Target,game_id,Position,Name,DISPLAY_FIRST_LAST,AdaBoost,Neural Network,Random Forest
3600,3700,3650,3500,86.60254038,2.375,1.397542486,1.25,4.75,203464,SAS,201,1,0,CHA,,21700277,SG,Brandon Paul,Brandon Paul,9,13.18872593,6.26797619
4700,4500,4500,4500,0,26.875,8.231987913,15.25,38.5,203937,SAS,201,1,0,CHA,,21700277,PG/SF,Kyle Anderson,Kyle Anderson,21.25,22.75828413,20.35077381
3000,3000,3000,3000,0,4.4375,5.44969896,0,13.75,202722,SAS,201,1,0,CHA,,21700277,SF/PF,Davis Bertans,Davis Bertans,12,12.6079733,11.46791667
5700,6500,6275,6100,147.9019946,23.8125,7.784951429,14.25,34.5,2200,SAS,201,1,0,CHA,,21700277,PF/C,Pau Gasol,Pau Gasol,27.75,26.65296778,31.00835498
4400,4600,4450,4300,150,11.0625,4.832749606,6.75,19.25,1627749,SAS,201,1,0,CHA,,21700277,PG,Dejounte Murray,Dejounte Murray,21,14.07489744,17.41389881
3700,3800,3750,3600,86.60254038,15.1875,5.663410523,9.75,24.5,1938,SAS,201,1,0,CHA,,21700277,SG/SF,Manu Ginobili,Manu Ginobili,21.25,17.31702887,12.92916667
4500,4600,4525,4400,82.91561976,27.0625,11.38855648,14.75,44.5,201980,SAS,201,1,0,CHA,,21700277,SG/SF,Danny Green,Danny Green,27,22.54494951,28.373125
3700,3900,3850,3700,86.60254038,9.875,5.696764433,1.5,15.25,1627854,SAS,201,1,0,CHA,,21700277,PG/SG,Bryn Forbes,Bryn Forbes,8.5,12.69350188,9.3525
7700,8500,8225,8000,178.5357107,40.0625,6.024364593,32,48.75,200746,SAS,201,1,0,CHA,,21700277,PF/C,LaMarcus Aldridge,LaMarcus Aldridge,38.25,38.08225536,41.62208333
4400,4500,4275,4000,192.0286437,28.9375,8.372900856,17.25,37.25,201988,SAS,201,1,0,CHA,,21700277,PG,Patty Mills,Patty Mills,23,22.12183312,17.36041667
3000,3000,3000,3000,0,8.125,4.214928825,1.5,12.75,203530,SAS,201,1,0,CHA,,21700277,PF/C,Joffrey Lauvergne,Joffrey Lauvergne,9.25,12.90434009,9.618928571
3700,4000,3860,3800,80,20.2,7.372923436,8.5,31,101107,CHA,201,-1,1,SAS,,21700277,SF/PF,Marvin Williams,Marvin Williams,17.5,20.62424979,16.62705357
3600,4100,3775,3600,204.6338193,3.125,3.007802354,0,8,1628370,CHA,201,-1,1,SAS,,21700277,PG/SG,Malik Monk,Malik Monk,3.75,12.1295864,7.010833333
7600,8200,7820,7400,263.8181192,41.15,12.29593429,27,64,202689,CHA,201,-1,1,SAS,,21700277,PG,Kemba Walker,Kemba Walker,40.25,39.34850758,33.89194444
3800,4000,3980,3900,40,16.2,11.00613465,0.5,33.75,1626163,CHA,201,-1,1,SAS,,21700277,PF/C,Frank Kaminsky,Frank Kaminsky,13.5,17.07873668,14.19430556
3400,3400,3400,3400,0,6.1,2.648584528,1.5,9,1628407,CHA,201,-1,1,SAS,,21700277,SG/SF,Dwayne Bacon,Dwayne Bacon,8.25,11.62498315,9.760833333
6000,6300,5775,4600,686.9315832,28.375,6.856794076,16.75,33.75,201587,CHA,201,-1,1,SAS,,21700277,SG/SF,Nicolas Batum,Nicolas Batum,30,27.42482471,31.2635119
3600,4000,3720,3600,160,15.05,2.158703314,11.5,17.5,203469,CHA,201,-1,1,SAS,,21700277,C,Cody Zeller,Cody Zeller,16,17.86374347,14.28604167
4000,4200,4080,4000,74.83314774,22,8.474963127,15.5,37.5,203077,CHA,201,-1,1,SAS,,21700277,SF,Michael Kidd-Gilchrist,Michael Kidd-Gilchrist,17.5,21.22309343,22.38002976
3200,3200,3200,3200,0,18.66666667,8.196374537,12.5,30.25,203487,CHA,201,-1,1,SAS,,21700277,PG,Michael Carter-Williams,Michael Carter-Williams,14.5,16.20750015,17.54407287
6700,7200,7020,6800,132.6649916,35.75,15.35008143,15.25,57,2730,CHA,201,-1,1,SAS,,21700277,C,Dwight Howard,Dwight Howard,33.5,34.47834375,35.81181548
5400,5700,5280,5100,222.7105745,28.9,3.672873534,24.75,35.75,203087,CHA,201,-1,1,SAS,,21700277,SG/SF,Jeremy Lamb,Jeremy Lamb,29.25,26.57955224,27.24333333
3000,3000,3000,3000,0,3,2.150581317,0,6,1627774,POR,202,4,0,WAS,,21700279,SF/PF,Jake Layman,Jake Layman,2.75,8.472787905,3.340833333
3500,3600,3550,3500,50,21.91666667,9.952665751,14.25,42,203943,POR,202,4,0,WAS,,21700279,PF/C,Noah Vonleh,Noah Vonleh,17.75,19.964752,11.93402778
3000,3000,3000,3000,0,1.375,2.375,-1,3.75,1628380,POR,202,4,0,WAS,,21700279,PF/C,Zach Collins,Zach Collins,3.75,8.327280174,2.968333333
