max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,game_id,Target,Name,Position,DISPLAY_FIRST_LAST,team,ou,odds,home,OPP
3000,3000,3000.0000,3000,0,18.625,17.375,1.25,36,1628395,21700284,?,Jordan Bell,PF/C,Jordan Bell,GSW,229,-11,1,NOP
3000,3000,3000.0000,3000,0,6.7,4.019950248448356,2.75,12.75,201580,21700284,?,JaVale McGee,C,JaVale McGee,GSW,229,-11,1,NOP
3500,3500,3460.0000,3300,79.99999999999997,19.75,5.759774301133683,12.5,28.25,2561,21700284,?,David West,PF/C,David West,GSW,229,-11,1,NOP
9600,9600,9175.0000,8700,326.91742076555033,51.1875,13.569698550446875,31,69.25,201939,21700284,?,Stephen Curry,PG/SG,Stephen Curry,GSW,229,-11,1,NOP
7200,7800,7575.0000,7300,178.53571071357126,35,0.9842509842514757,33.75,36.5,203110,21700284,?,Draymond Green,PF/C,Draymond Green,GSW,229,-11,1,NOP
3100,3100,3100.0000,3100,0,18.15,6.1838499334961226,13,30.25,2585,21700284,?,Zaza Pachulia,C,Zaza Pachulia,GSW,229,-11,1,NOP
3200,3300,3225.0000,3200,43.30127018922197,3.875,6.310952780682169,-0.5,14.75,1627775,21700284,?,Patrick McCaw,SG/SF,Patrick McCaw,GSW,229,-11,1,NOP
6700,7400,7000.0000,6700,236.64319132398472,32.95,7.736924453553879,23.5,44,202691,21700284,?,Klay Thompson,SG,Klay Thompson,GSW,229,-11,1,NOP
3600,3600,3540.0000,3500,48.98979485566356,12.55,8.88031530971733,2.5,29,2733,21700284,?,Shaun Livingston,PG/SG,Shaun Livingston,GSW,229,-11,1,NOP
3300,3300,3300.0000,3300,0,13.3,6.491147818375421,6,25.5,201156,21700284,?,Nick Young,SG,Nick Young,GSW,229,-11,1,NOP
3600,3600,3360.0000,3300,120,16.25,8.411301920630361,3.25,27.5,201956,21700284,?,Omri Casspi,SF/PF,Omri Casspi,GSW,229,-11,1,NOP
