GAME_ID,tdate,player_id,Target,avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),avg(t2.MIN),min(s1.salary),max(s1.salary),avg(s1.salary),DISPLAY_FIRST_LAST,id,fantasy_pts,avg_pts,fpts_diff,player_name,date,salary,salary_change,salary_diff,salary_diff_percentage,GAME_ID,GAME_DATE,Player_ID,team,ou,odds,home,OPP
21700268,21700268-1626195,1626195,?,3.125,0.375,2.75,3.5,3.5,3400,3400,3400,Willy Hernangomez,56,2.32,6.83,-4.51,Willy Hernangomez,11/22/17,3400,-2.9,-100,-2.9,21700268,11/24/17,1626195,NYK,208,-2,0,ATL
21700268,21700268-1628373,1628373,?,8.8125,5.813172004,-0.5,15.5,16,4000,4000,4000,Frank Ntilikina,184,14.54,15.22,-0.68,Frank Ntilikina,11/22/17,4000,0,0,0,21700268,11/24/17,1628373,NYK,208,-2,0,ATL
21700268,21700268-204001,204001,?,38.3125,7.86879716,25.5,46,33.75,8900,8900,8900,Kristaps Porzingis,44,39.83,43.84,-4.01,Kristaps Porzingis,11/22/17,8900,3.5,300,3.5,21700268,11/24/17,204001,NYK,208,-2,0,ATL
21700268,21700268-1628422,1628422,?,3.75,3.75,0,7.5,7,3300,3300,3300,Damyean Dotson,13,0.81,4.64,-3.83,Damyean Dotson,11/22/17,3300,-5.7,-200,-5.7,21700268,11/24/17,1628422,NYK,208,-2,0,ATL
21700268,21700268-201563,201563,?,11.125,6.875,4.25,18,8,3300,3300,3300,Michael Beasley,9373,4.35,10.23,-5.88,Michael Beasley,11/22/17,3300,-2.9,-100,-2.9,21700268,11/24/17,201563,NYK,208,-2,0,ATL
21700268,21700268-202498,202498,?,7.75,3.302461203,3.25,12.5,13.75,3400,3400,3400,Lance Thomas,173,9.85,7.8,2.05,Lance Thomas,11/22/17,3400,0,0,0,21700268,11/24/17,202498,NYK,208,-2,0,ATL
21700268,21700268-203124,203124,?,13.6875,3.079036984,11,18.5,14.25,3500,3500,3500,Kyle O'Quinn,17,16.58,18.01,-1.43,Kyle O'Quinn,11/22/17,3500,-5.4,-200,-5.4,21700268,11/24/17,203124,NYK,208,-2,0,ATL
21700268,21700268-1627098,1627098,?,11,4.201934078,7,18,23.25,3400,3400,3400,Malcolm Delaney,59,13.12,12.83,0.29,Malcolm Delaney,11/22/17,3400,-2.9,-100,-2.9,21700268,11/24/17,1627098,ATL,208,2,1,NYK
21700268,21700268-1627761,1627761,?,3.25,3.910456069,0,8.75,6,3000,3000,3000,DeAndre' Bembry,215,9.78,7.44,2.34,DeAndre' Bembry,11/22/17,3000,0,0,0,21700268,11/24/17,1627761,ATL,208,2,1,NYK
21700268,21700268-1628381,1628381,?,31.75,6.361505325,22.5,39.5,30.25,4800,4800,4800,John Collins,35,30.27,24.9,5.37,John Collins,11/22/17,4800,4.3,200,4.3,21700268,11/24/17,1628381,ATL,208,2,1,NYK
