max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Position,team,ou,odds,home,OPP,Target,game_id,Name,AdaBoost,Neural Network,Random Forest
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,continuous,continuous,discrete,discrete,continuous,continuous,string,continuous,continuous,continuous
,,,,,,,,,,,,,,,,class,meta,meta,meta,meta,meta
3500.0,3600.0,3542.8571,3500.0,49.4871659305,21.5357142857,9.26150690785,14.25,42.0,203943.0,PF/C,POR,202.0,4.0,0,WAS,,21700279.0,Noah Vonleh,17.75,18.430599671681122,18.331785714285715
3000.0,3000.0,3000.0,3000.0,0.0,3.5,0.0,3.5,3.5,1626191.0,PF/C,WAS,202.0,-4.0,1,POR,,21700279.0,Chris McCullough,4.0,10.638823500662511,10.359791666666666
3400.0,3400.0,3400.0,3400.0,0.0,8.41666666667,4.70076825872,2.5,15.75,101133.0,C,WAS,202.0,-4.0,1,POR,,21700279.0,Ian Mahinmi,7.5,13.429071658108597,7.3018849206349214
3500.0,3500.0,3500.0,3500.0,0.0,5.75,0.0,5.75,5.75,201160.0,PF/C,WAS,202.0,-4.0,1,POR,,21700279.0,Jason Smith,12.75,11.644029436845383,12.508495670995673
4500.0,4800.0,4716.6667,4600.0,68.7184270936,19.0833333333,6.12145589074,11.5,27.0,202693.0,SF/PF,WAS,202.0,-4.0,1,POR,,21700279.0,Markieff Morris,26.75,22.600599158755934,23.503234126984122
6000.0,6300.0,6200.0,6100.0,57.735026919,27.0,7.97391580927,15.75,38.75,203490.0,SF/PF,WAS,202.0,-4.0,1,POR,,21700279.0,Otto Porter,26.0,30.200691622769046,28.5
3600.0,3600.0,3500.0,3400.0,81.6496580928,11.6666666667,6.84298099434,6.25,26.5,204025.0,PG,WAS,202.0,-4.0,1,POR,,21700279.0,Tim Frazier,11.5,14.233300794263307,11.63347222222222
4900.0,5400.0,5266.6667,5100.0,110.554159679,29.4583333333,8.85580867127,11.75,41.0,101162.0,C,WAS,202.0,-4.0,1,POR,,21700279.0,Marcin Gortat,29.0,26.67845600976197,23.529761904761905
3400.0,3400.0,3400.0,3400.0,0.0,9.20833333333,2.03826246811,5.25,12.0,201975.0,SG,WAS,202.0,-4.0,1,POR,,21700279.0,Jodie Meeks,9.25,11.90080358625552,13.64857142857143
7400.0,8000.0,7583.3333,7200.0,279.384243571,38.1666666667,5.64886911003,33.5,50.0,203078.0,SG,WAS,202.0,-4.0,1,POR,,21700279.0,Bradley Beal,36.0,37.36871344974608,38.55818452380953
3200.0,3200.0,3200.0,3200.0,0.0,7.625,5.625,2.0,13.25,203107.0,PG/SG,WAS,202.0,-4.0,1,POR,,21700279.0,Tomas Satoransky,10.75,10.75889176728875,10.478412698412699
4300.0,4700.0,4516.6667,4400.0,89.7527467856,18.5416666667,6.94084629006,9.5,30.5,1626162.0,SG/SF,WAS,202.0,-4.0,1,POR,,21700279.0,Kelly Oubre Jr.,19.0,22.0242647727753,22.200833333333332
3500.0,3500.0,3375.0,3200.0,108.972473589,13.5,7.08651889153,3.5,21.25,203118.0,PF,WAS,202.0,-4.0,1,POR,,21700279.0,Mike Scott,16.25,13.429545102847445,12.751597222222223
3800.0,3800.0,3700.0,3600.0,100.0,20.5416666667,7.26208284325,9.75,32.5,1627783.0,PF,TOR,209.0,-7.0,0,ATL,,21700280.0,Pascal Siakam,18.0,19.293042417018288,19.17875
8200.0,8400.0,8100.0,7600.0,294.392028878,41.1666666667,10.9636393998,23.75,58.0,201942.0,SG/SF,TOR,209.0,-7.0,0,ATL,,21700280.0,DeMar DeRozan,41.5,41.10083152214058,38.59625
3300.0,3600.0,3466.6667,3300.0,137.436854187,9.83333333333,3.71277823499,2.25,14.5,1627751.0,PF/C,TOR,209.0,-7.0,0,ATL,,21700280.0,Jakob Poeltl,7.5,9.590321749953187,9.132916666666667
3500.0,3500.0,3250.0,3000.0,250.0,20.7916666667,7.28642668864,13.25,35.25,1627832.0,PG,TOR,209.0,-7.0,0,ATL,,21700280.0,Fred VanVleet,17.5,14.083895782681704,16.34279761904762
7700.0,8200.0,7866.6667,7300.0,329.983164554,46.9583333333,9.02013565431,28.75,57.0,200768.0,PG,TOR,209.0,-7.0,0,ATL,,21700280.0,Kyle Lowry,39.25,40.16001071956806,36.533452380952376
4800.0,5200.0,4933.3333,4700.0,169.96731712,19.3333333333,6.53622385038,10.75,31.0,202685.0,C,TOR,209.0,-7.0,0,ATL,,21700280.0,Jonas Valanciunas,17.5,23.032982634038657,22.31440476190476
3000.0,3000.0,3000.0,3000.0,0.0,5.16666666667,2.55223213852,2.0,8.25,203485.0,PG,TOR,209.0,-7.0,0,ATL,,21700280.0,Lorenzo Brown,3.5,10.227425283031188,7.563749999999999
3400.0,3400.0,3400.0,3400.0,0.0,5.625,7.56051971318,0.0,20.0,203512.0,C,TOR,209.0,-7.0,0,ATL,,21700280.0,Lucas Nogueira,10.5,14.001478889600019,11.809722222222222
