max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,game_id,DISPLAY_FIRST_LAST,team,ou,odds,home,OPP
4000,4800,4475.0000,4300,204.63381929681114,10.9375,2.138742329033584,8,14,203482,21700272,Kelly Olynyk,MIA,208,5,0,MIN
3500,3700,3540.0000,3500,79.99999999999997,6.85,4.6141087980237305,2,13.5,203498,21700272,Shabazz Muhammad,MIN,208,-5,1,MIA
3600,3800,3740.0000,3700,48.98979485566352,13.9,6.230168537046168,5,24.5,2037,21700272,Jamal Crawford,MIN,208,-5,1,MIA
6300,6700,6600.0000,6500,89.44271909999166,26.4,8.091044431963033,15.75,36.5,203952,21700272,Andrew Wiggins,MIN,208,-5,1,MIA
4000,4500,4400.0000,4300,70.71067811865467,20.1875,2.9441414283284693,16,24,204020,21700272,Tyler Johnson,MIA,208,5,0,MIN
3000,3000,3000.0000,3000,0,2,0,2,2,2617,21700272,Udonis Haslem,MIA,208,5,0,MIN
3300,3400,3350.0000,3300,49.99999999999994,12.9375,0.5694020986965187,12,13.5,101109,21700273,Raymond Felton,OKC,203,-8,1,DET
3800,4400,4175.0000,3700,286.13807855648986,13.4375,5.721054863397135,7.75,22,1626169,21700273,Stanley Johnson,DET,203,8,0,OKC
3400,3400,3400.0000,3400,0,4.9375,3.6115050532984165,1.25,10.25,1626177,21700273,Dakari Johnson,OKC,203,-8,1,DET
3000,3000,3000.0000,3000,0,13,0,13,13,1627740,21700273,Henry Ellenson,DET,203,8,0,OKC
3300,3300,3240.0000,3000,120,16,7.870832230456955,4.25,26.75,1628379,21700273,Luke Kennard,DET,203,8,0,OKC
3000,3000,3000.0000,3000,0,1.25,1.25,0,2.5,1628390,21700273,Terrance Ferguson,OKC,203,-8,1,DET
3500,3700,3540.0000,3400,135.64659966250537,15.2,6.063002556489648,8.25,23.75,201229,21700273,Anthony Tolliver,DET,203,8,0,OKC
10600,11000,10650.0000,10300,269.2582403567252,50.25,11.833480046038867,38.75,70,201566,21700273,Russell Westbrook,OKC,203,-8,1,DET
8500,8700,8350.0000,7900,295.8039891549807,43.0625,15.007680325420049,19.75,60.5,202331,21700273,Paul George,OKC,203,-8,1,DET
3100,3100,3100.0000,3100,0,8,5.01560066193472,-0.5,12.5,202335,21700273,Patrick Patterson,OKC,203,-8,1,DET
6100,6400,6020.0000,5700,231.5167380558045,28.75,8.87693640846886,15.5,40.5,202340,21700273,Avery Bradley,DET,203,8,0,OKC
3700,3800,3700.0000,3600,89.44271909999158,17,6.220932405998316,8,26.5,202397,21700273,Ish Smith,DET,203,8,0,OKC
6500,6700,6420.0000,6200,172.04650534085246,28.95,6.989992846920518,20.25,37.75,202699,21700273,Tobias Harris,DET,203,8,0,OKC
6000,6200,6120.0000,6000,74.83314773547876,22.7,7.333825741044029,9.25,29,202704,21700273,Reggie Jackson,DET,203,8,0,OKC
8800,9000,8860.0000,8700,101.98039027185575,38.75,9.837428525788637,21.5,50.5,203083,21700273,Andre Drummond,DET,203,8,0,OKC
3300,3300,3275.0000,3200,43.30127018922197,13,3.5838177967078626,8,17.75,203460,21700273,Andre Roberson,OKC,203,-8,1,DET
3000,3500,3166.6667,3000,235.70226039551582,7,5.820223363411408,0,14.25,203493,21700273,Reggie Bullock,DET,203,8,0,OKC
5200,5700,5700.0000,5700,0,25.125,4.375,20.75,29.5,203500,21700273,Steven Adams,OKC,203,-8,1,DET
3400,3400,3400.0000,3400,0,9.375,2.452677108793573,5.5,12.25,203518,21700273,Alex Abrines,OKC,203,-8,1,DET
4100,4300,4200.0000,3900,173.20508075688767,21.5625,9.925306985176832,11,34.75,203924,21700273,Jerami Grant,OKC,203,-8,1,DET
3000,3000,3000.0000,3000,0,11.15,5.885575587824865,5.25,19.75,203961,21700273,Eric Moreland,DET,203,8,0,OKC
3000,3000,3000.0000,3000,0,7.0625,7.09615873201833,1.25,18.75,203962,21700273,Josh Huestis,OKC,203,-8,1,DET
3000,3000,3000.0000,3000,0,10.7,3.5930488446443367,6.25,16.25,204038,21700273,Langston Galloway,DET,203,8,0,OKC
6900,7000,6900.0000,6800,81.64965809277261,36.333333333333336,3.1380283972937875,33.75,40.75,2546,21700273,Carmelo Anthony,OKC,203,-8,1,DET
4200,4700,4475.0000,4400,129.9038105676658,17.6875,13.65807339085568,3.75,33.5,1626144,21700274,Emmanuel Mudiay,DEN,211,-7,1,MEM
3400,3200,3200.0000,3200,0,5.375,3.375,2,8.75,1626150,21700274,Andrew Harrison,MEM,211,7,0,DEN
3200,3000,3000.0000,3000,0,11.3125,8.092000293499748,2,21,1626168,21700274,Trey Lyles,DEN,211,-7,1,MEM
3400,3700,3566.6667,3500,94.28090415820631,4.416666666666667,1.1606990230986767,3.25,6,1626185,21700274,Jarell Martin,MEM,211,7,0,DEN
3000,3000,3000.0000,3000,0,5.25,2.6536138880151094,3.25,9,1627736,21700274,Malik Beasley,DEN,211,-7,1,MEM
3000,3000,3000.0000,3000,0,8.25,1.5,6.75,9.75,1627738,21700274,Deyonta Davis,MEM,211,7,0,DEN
5200,5400,5025.0000,4700,286.1380785564899,26.8125,8.229852292113145,21,41,1627750,21700274,Jamal Murray,DEN,211,-7,1,MEM
4100,4300,4150.0000,4000,111.80339887498948,19.625,5.954252681907277,11.5,27,1628415,21700274,Dillon Brooks,MEM,211,7,0,DEN
4900,4600,4433.3333,4300,124.72191289246481,32.666666666666664,3.85320934056563,27.5,36.75,201163,21700274,Wilson Chandler,DEN,211,-7,1,MEM
7900,8200,7750.0000,7200,415.3311931459039,48.875,14.027317099146222,35.75,70.75,201188,21700274,Marc Gasol,MEM,211,7,0,DEN
5300,4700,4075.0000,3700,389.7114317029974,30.1875,6.570233538467258,21.5,40,201596,21700274,Mario Chalmers,MEM,211,7,0,DEN
6900,7300,6850.0000,6500,320.1562118716424,33.75,9.481890634256441,19.75,44.5,201936,21700274,Tyreke Evans,MEM,211,7,0,DEN
3800,3400,3400.0000,3400,0,10.9375,4.787271535018669,5.75,18.75,202702,21700274,Kenneth Faried,DEN,211,-7,1,MEM
