Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,DKFPS,AdaBoost,Neural Network,Random Forest
PG/SG,Jamal Murray,5200,MEM@DEN 11/24/2017 09:00PM ET,22.431,DEN,25.9375,20.25,23.50584291,26.02309524
C,Dewayne Dedmon,5100,NY@ATL 11/24/2017 07:30PM ET,25.292,ATL,32.4375,21.25,27.57160842,25.07893398
SG/SF,Marcus Smart,5100,ORL@BOS 11/24/2017 07:30PM ET,25.588,BOS,20.6,29.5,26.14152912,34.36050595
SG/SF,Jeremy Lamb,5100,CHA@CLE 11/24/2017 08:00PM ET,30.25,CHA,31.2,36.5,30.6228672,31.10125
PF/C,Taj Gibson,5100,MIA@MIN 11/24/2017 08:00PM ET,25.347,MIN,26.2,20.75,25.34496484,28.81666667
SG,Gary Harris,5100,MEM@DEN 11/24/2017 09:00PM ET,25.781,DEN,29.5,24.75,26.80916782,31.17354167
PF/C,Serge Ibaka,5000,TOR@IND 11/24/2017 08:00PM ET,23.017,TOR,19.5625,23.5,24.18536211,24.74157738
PF/C,Nikola Mirotic,5000,CHI@GS 11/24/2017 10:30PM ET,0,CHI,#N/A,#N/A,#N/A,#N/A
SF/PF,Marcus Morris,4900,ORL@BOS 11/24/2017 07:30PM ET,24.175,BOS,26.85,15.75,23.30254017,17.22375
PG,Rajon Rondo,4900,NO@PHO 11/24/2017 09:00PM ET,17.9,NO,21.25,23.5,18.2357849,23.68306548
SF/PF,Wilson Chandler,4900,MEM@DEN 11/24/2017 09:00PM ET,20.162,DEN,25.16666667,19.75,21.98388845,21.31886905
PF/C,John Collins,4800,NY@ATL 11/24/2017 07:30PM ET,24.903,ATL,31.75,25.75,26.89334939,33.23988636
C,Jonas Valanciunas,4800,TOR@IND 11/24/2017 08:00PM ET,21.654,TOR,21.05,19,20.07904629,21.51583333
PF/C,Greg Monroe,4700,NO@PHO 11/24/2017 09:00PM ET,21.167,PHO,30.1875,21.25,22.71444282,25.11333333
C,Robin Lopez,4700,CHI@GS 11/24/2017 10:30PM ET,24.625,CHI,19,22.5,25.60174304,25.55925595
SG/SF,Courtney Lee,4600,NY@ATL 11/24/2017 07:30PM ET,24.25,NY,29.0625,23.5,26.9736785,25.28874008
SG/SF,Bojan Bogdanovic,4500,TOR@IND 11/24/2017 08:00PM ET,23.431,IND,30.625,22.25,25.11961625,17.96829212
PF/C,Alex Len,4500,NO@PHO 11/24/2017 09:00PM ET,24.059,PHO,32.58333333,20.5,22.92225524,19.70541667
PG/SG,Zach LaVine,4500,CHI@GS 11/24/2017 10:30PM ET,0,CHI,#N/A,#N/A,#N/A,#N/A
SG/SF,Josh Richardson,4500,MIA@MIN 11/24/2017 08:00PM ET,19.779,MIA,13.1875,24.25,21.75597155,25.91805556
PG/SG,Terry Rozier,4400,ORL@BOS 11/24/2017 07:30PM ET,20.684,BOS,12.05,20.25,22.48678953,26.68869048
C,Tyson Chandler,4400,NO@PHO 11/24/2017 09:00PM ET,21.446,PHO,26,18.75,21.59013983,21.17077381
PG/SG,Jerian Grant,4400,CHI@GS 11/24/2017 10:30PM ET,21.203,CHI,14.5,18.25,15.69153868,21.10684524
PG,Derrick Rose,4400,CHA@CLE 11/24/2017 08:00PM ET,19.786,CLE,#N/A,#N/A,#N/A,#N/A
SF/PF,JaMychal Green,4300,MEM@DEN 11/24/2017 09:00PM ET,17.1,MEM,20.3125,18.5,19.9471257,17.16666667
SG/SF,Jonathon Simmons,4200,ORL@BOS 11/24/2017 07:30PM ET,22.056,ORL,16.8125,23.75,21.10648779,24.03627976
PG,Mike James,4200,NO@PHO 11/24/2017 09:00PM ET,22.237,PHO,18.4375,21.25,22.29322851,21.45848214
PG,Emmanuel Mudiay,4200,MEM@DEN 11/24/2017 09:00PM ET,20.556,DEN,17.9375,20.25,23.38619779,21.7625
SG/SF,C.J. Miles,4100,TOR@IND 11/24/2017 08:00PM ET,17.313,TOR,#N/A,#N/A,#N/A,#N/A
PG,Tyler Ulis,4100,NO@PHO 11/24/2017 09:00PM ET,16.778,PHO,22.6875,21.5,22.62423381,15.8491369
SF/PF,Jerami Grant,4100,DET@OKC 11/24/2017 08:00PM ET,18.691,OKC,16.6875,17.25,18.83161787,11.66041667
SF/PF,Justise Winslow,4100,MIA@MIN 11/24/2017 08:00PM ET,18.265,MIA,20.5625,15.5,18.77981128,17.656875
SG/SF,Dillon Brooks,4100,MEM@DEN 11/24/2017 09:00PM ET,19.015,MEM,17.875,15.25,17.70646724,18.69
C,Joakim Noah,4000,NY@ATL 11/24/2017 07:30PM ET,0,NY,#N/A,#N/A,#N/A,#N/A
PG/SG,Frank Ntilikina,4000,NY@ATL 11/24/2017 07:30PM ET,15.217,NY,8.8125,17.75,11.87866394,17.42916667
SG/SF,Andre Iguodala,4000,CHI@GS 11/24/2017 10:30PM ET,16.469,GS,16.375,19.25,18.36620973,17.36577381
PG/SG,David Nwaba,4000,CHI@GS 11/24/2017 10:30PM ET,18.313,CHI,#N/A,#N/A,#N/A,#N/A
SF,Michael Kidd-Gilchrist,4000,CHA@CLE 11/24/2017 08:00PM ET,17.205,CHA,22.6,17.75,21.77188489,15.63363095
SG/SF,J.R. Smith,4000,CHA@CLE 11/24/2017 08:00PM ET,16.5,CLE,#N/A,#N/A,#N/A,#N/A
PF/C,Kelly Olynyk,4000,MIA@MIN 11/24/2017 08:00PM ET,19.559,MIA,13.1875,19.5,17.41074218,18.0775
PG/SG,Tyler Johnson,4000,MIA@MIN 11/24/2017 08:00PM ET,20.031,MIA,21.875,21.75,21.45783924,22.75688492
SF/PF,Chandler Parsons,4000,MEM@DEN 11/24/2017 09:00PM ET,16.683,MEM,18.75,16.25,17.02227527,16.08559524
PF/C,Frank Kaminsky,3900,CHA@CLE 11/24/2017 08:00PM ET,20.313,CHA,20.15,23.75,22.01147079,17.68107143
PG,Jarrett Jack,3800,NY@ATL 11/24/2017 07:30PM ET,17.867,NY,19.4375,17,18.80021533,18.81616071
SF/PF,Luke Babbitt,3800,NY@ATL 11/24/2017 07:30PM ET,13.912,ATL,#N/A,#N/A,#N/A,#N/A
SF/PF,Ersan Ilyasova,3800,NY@ATL 11/24/2017 07:30PM ET,13.143,ATL,7.833333333,10,8.809555849,10.73833333
SG,Marco Belinelli,3800,NY@ATL 11/24/2017 07:30PM ET,21.417,ATL,20.8125,22.75,24.52336695,26.12930556
PF,Pascal Siakam,3800,TOR@IND 11/24/2017 08:00PM ET,18.172,TOR,21.05,20.75,20.71563231,18.6977877
SG/SF,Glenn Robinson III,3800,TOR@IND 11/24/2017 08:00PM ET,0,IND,#N/A,#N/A,#N/A,#N/A
PF/C,Marquese Chriss,3800,NO@PHO 11/24/2017 09:00PM ET,17.684,PHO,12,16,18.11036486,16.28779762
SG/SF,Paul Zipser,3800,CHI@GS 11/24/2017 10:30PM ET,10.212,CHI,4.583333333,7.75,7.474882982,9.368571429
SF/PF,Jae Crowder,3800,CHA@CLE 11/24/2017 08:00PM ET,16.792,CLE,19.5,16.25,21.90284908,14.81416667
SF/PF,Marvin Williams,3800,CHA@CLE 11/24/2017 08:00PM ET,18.603,CHA,19.2,16.5,21.45979143,18.63145833
PF/C,Tristan Thompson,3800,CHA@CLE 11/24/2017 08:00PM ET,13.781,CLE,#N/A,#N/A,#N/A,#N/A
SG/SF,Stanley Johnson,3800,DET@OKC 11/24/2017 08:00PM ET,16.804,DET,13.4375,18.25,18.95517201,17.47092803
PF/C,Kenneth Faried,3800,MEM@DEN 11/24/2017 09:00PM ET,9.533,DEN,11.5,8,7.689264638,11.64041667
SG/SF,Terrence Ross,3700,ORL@BOS 11/24/2017 07:30PM ET,19.403,ORL,20.9375,17,20.89521343,16.4764881
PG/SG,D.J. Augustin,3700,ORL@BOS 11/24/2017 07:30PM ET,18.523,ORL,#N/A,#N/A,#N/A,#N/A
SF/PF,OG Anunoby,3700,TOR@IND 11/24/2017 08:00PM ET,12.676,TOR,11.9,9.5,14.01453838,9.410565476
