max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS) ,min(t2.DKFPS),max(t2.DKFPS),team    ,ou        ,odds      ,home    ,OPP     ,Target    ,player_id ,game_id   ,DISPLAY_FIRST_LAST     ,AdaBoost  ,Neural Network    ,Random Forest
continuous    ,continuous    ,continuous    ,continuous    ,continuous       ,continuous   ,continuous    ,continuous   ,continuous   ,discrete,continuous,continuous,discrete,discrete,continuous,continuous,continuous,string                 ,continuous,continuous        ,continuous
              ,              ,              ,              ,                 ,             ,              ,             ,             ,        ,          ,          ,        ,        ,class     ,meta      ,meta      ,meta                   ,meta      ,meta              ,meta
3400.0        ,3400.0        ,3400.0        ,3400.0        ,0.0              ,6.4375       ,1.89880719137 ,3.25         ,8.25         ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,202498.0  ,21700268.0,Lance Thomas           ,9.75      ,9.844139905371271 ,7.679166666666667
6100.0        ,6600.0        ,6475.0        ,6300.0        ,108.972473589    ,31.75        ,12.0286117237 ,19.0         ,47.0         ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,202683.0  ,21700268.0,Enes Kanter            ,31.75     ,35.42716632035355 ,33.84366071428572
3500.0        ,3900.0        ,3700.0        ,3600.0        ,122.474487139    ,12.125       ,3.8790301623  ,8.0          ,18.5         ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,203124.0  ,21700268.0,Kyle O'Quinn           ,15.5      ,13.02387418412226 ,14.963214285714283
5400.0        ,5400.0        ,5125.0        ,4900.0        ,192.028643697    ,29.0625      ,10.276452148  ,19.25        ,44.5         ,ATL     ,208.0     ,2.0       ,1       ,NYK     ,          ,203145.0  ,21700268.0,Kent Bazemore          ,28.25     ,25.944520740050898,25.233869047619045
6600.0        ,7100.0        ,6700.0        ,6300.0        ,291.547594742    ,32.9375      ,7.13787214441 ,23.0         ,43.0         ,ATL     ,208.0     ,2.0       ,1       ,NYK     ,          ,203471.0  ,21700268.0,Dennis Schroder        ,36.5      ,33.997053408905515,32.99756944444444
5100.0        ,5200.0        ,4975.0        ,4600.0        ,227.760839479    ,30.1875      ,14.8675138725 ,17.5         ,55.0         ,ATL     ,208.0     ,2.0       ,1       ,NYK     ,          ,203473.0  ,21700268.0,Dewayne Dedmon         ,22.75     ,24.993747024596274,25.491190476190475
6600.0        ,6700.0        ,6500.0        ,6200.0        ,212.132034356    ,39.875       ,10.935178325  ,27.75        ,56.0         ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,203501.0  ,21700268.0,Tim Hardaway Jr.       ,29.25     ,36.28252007856748 ,30.659761904761904
3500.0        ,3700.0        ,3550.0        ,3500.0        ,86.6025403784    ,15.0         ,6.96195015782 ,6.0          ,25.25        ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,203926.0  ,21700268.0,Doug McDermott         ,18.0      ,14.088582992687446,14.046369047619049
8900.0        ,9600.0        ,9050.0        ,8700.0        ,335.410196625    ,35.875       ,6.50120181197 ,25.5         ,43.25        ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,204001.0  ,21700268.0,Kristaps Porzingis     ,44.25     ,40.68183489600945 ,42.95744047619047
4400.0        ,5300.0        ,4780.0        ,4400.0        ,331.058907145    ,13.65        ,10.4947605976 ,2.5          ,31.0         ,BOS     ,209.0     ,-8.0      ,1       ,ORL     ,          ,1626179.0 ,21700269.0,Terry Rozier           ,16.0      ,18.545655218296954,19.581666666666667
3000.0        ,3000.0        ,3000.0        ,3000.0        ,0.0              ,6.75         ,3.78043207407 ,3.25         ,12.0         ,ORL     ,209.0     ,8.0       ,0       ,BOS     ,          ,1626209.0 ,21700269.0,Mario Hezonja          ,6.0       ,9.577078312826428 ,9.614404761904762
6500.0        ,6700.0        ,6540.0        ,6300.0        ,135.646599663    ,34.05        ,4.0478389296  ,29.0         ,40.25        ,BOS     ,209.0     ,-8.0      ,1       ,ORL     ,          ,1627759.0 ,21700269.0,Jaylen Brown           ,32.0      ,34.472401942244524,35.36479166666666
3000.0        ,3000.0        ,3000.0        ,3000.0        ,0.0              ,-0.5         ,0.0           ,-0.5         ,-0.5         ,BOS     ,209.0     ,-8.0      ,1       ,ORL     ,          ,1627846.0 ,21700269.0,Abdel Nader            ,2.75      ,8.368175862687433 ,5.449761904761905
5700.0        ,6300.0        ,6140.0        ,6000.0        ,101.980390272    ,27.65        ,6.5049980784  ,18.5         ,34.75        ,BOS     ,209.0     ,-8.0      ,1       ,ORL     ,          ,1628369.0 ,21700269.0,Jayson Tatum           ,27.5      ,31.456844767557033,28.326607142857142
3200.0        ,3400.0        ,3240.0        ,3200.0        ,80.0             ,3.45         ,2.72671964089 ,0.0          ,8.25         ,BOS     ,209.0     ,-8.0      ,1       ,ORL     ,          ,1628400.0 ,21700269.0,Semi Ojeleye           ,5.25      ,9.135875738502307 ,7.979464285714286
