Position,Name,Salary,GameInfo,AvgPointsPerGame,Team,DKFPS,AdaBoost,Neural Network,Random Forest,Home
C,Myles Turner,6700,TOR@IND 11/24/2017 08:00PM ET,31.455,IND,29.7,35.75,28.25240912,33.50252976,1
PG,Goran Dragic,6700,MIA@MIN 11/24/2017 08:00PM ET,32.75,MIA,28.125,29,32.98260249,34.51755952,0
SG/SF,Tim Hardaway Jr.,6600,NY@ATL 11/24/2017 07:30PM ET,32.544,NY,39.875,29.25,36.28252008,30.6597619,0
PG,Dennis Schroder,6600,NY@ATL 11/24/2017 07:30PM ET,35.484,ATL,32.9375,36.5,33.99705341,32.99756944,1
C,Nikola Vucevic,6600,ORL@BOS 11/24/2017 07:30PM ET,35.306,ORL,34.25,33.25,32.84854915,34.72708333,0
SF/PF,T.J. Warren,6600,NO@PHO 11/24/2017 09:00PM ET,31.395,PHO,0,0,0,0,0
PG,Isaiah Thomas,6600,CHA@CLE 11/24/2017 08:00PM ET,0,CLE,0,0,0,0,0
SG/SF,Jaylen Brown,6500,ORL@BOS 11/24/2017 07:30PM ET,28.868,BOS,34.05,32,34.47240194,35.36479167,1
SF/PF,Aaron Gordon,6500,ORL@BOS 11/24/2017 07:30PM ET,35.063,ORL,28.875,30.5,31.88297995,30.28805556,0
PG/SG,Jrue Holiday,6500,NO@PHO 11/24/2017 09:00PM ET,30.958,NO,30.3125,35.5,33.38940917,28.675,0
SF/PF,Tobias Harris,6500,DET@OKC 11/24/2017 08:00PM ET,30.544,DET,28.95,37,28.70300508,33.16580357,0
PF/C,Paul Millsap,6500,MEM@DEN 11/24/2017 09:00PM ET,31.828,DEN,0,0,0,0,0
PF,Lauri Markkanen,6400,CHI@GS 11/24/2017 10:30PM ET,30.516,CHI,37.5,26.25,33.28252658,30.098125,0
PG,Jeff Teague,6400,MIA@MIN 11/24/2017 08:00PM ET,33.167,MIN,30.9,32.25,31.5622701,35.45875,1
SF/PF,Andrew Wiggins,6300,MIA@MIN 11/24/2017 08:00PM ET,29.903,MIN,26.4,35.75,30.97866034,25.83318452,1
PG,Mike Conley,6300,MEM@DEN 11/24/2017 09:00PM ET,28.771,MEM,0,0,0,0,0
SG/SF,Nicolas Batum,6200,CHA@CLE 11/24/2017 08:00PM ET,24.15,CHA,0,0,0,0,0
PF/C,Enes Kanter,6100,NY@ATL 11/24/2017 07:30PM ET,30.426,NY,31.75,31.75,35.42716632,33.84366071,0
