max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Position,team,ou,odds,home,OPP,Target,game_id,Name,AdaBoost,Random Forest,Neural Network
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,continuous,continuous,discrete,discrete,continuous,continuous,string,continuous,continuous,continuous
,,,,,,,,,,,,,,,,class,meta,meta,meta,meta,meta
5400.0,5700.0,5266.6667,5100.0,205.480466766,31.9583333333,7.61634299093,24.75,47.25,203087.0,SG/SF,CHA,201.0,-1.0,1,SAS,,21700277.0,Jeremy Lamb,26.75,26.30845424107143,19.18148968328571
3700.0,3900.0,3720.0,3500.0,132.664991614,5.65,6.71118469423,-0.5,16.75,1628403.0,PF,POR,202.0,4.0,0,WAS,,21700279.0,Caleb Swanigan,19.5,14.923837425595236,9.703523491265422
3400.0,3700.0,3471.4286,3400.0,103.015750728,14.8928571429,3.54777883948,10.25,22.0,202334.0,PF/C,POR,202.0,4.0,0,WAS,,21700279.0,Ed Davis,20.25,16.35229724702381,8.310285458901156
3200.0,3200.0,3100.0,3000.0,100.0,9.125,8.88907334878,0.0,21.25,203086.0,PF/C,POR,202.0,4.0,0,WAS,,21700279.0,Meyers Leonard,18.5,12.111207217261905,14.208136284962507
6900.0,7300.0,7085.7143,6900.0,145.686271817,31.8928571429,9.61291648072,11.75,40.5,203468.0,PG/SG,POR,202.0,4.0,0,WAS,,21700279.0,C.J. McCollum,25.75,29.71850198412698,21.964681074265954
6300.0,7100.0,6785.7143,6500.0,203.038148622,30.4285714286,14.4757890765,16.25,63.25,203994.0,C,POR,202.0,4.0,0,WAS,,21700279.0,Jusuf Nurkic,32.0,32.26986607142857,23.956040791873082
3000.0,3000.0,3000.0,3000.0,0.0,7.92857142857,3.27248891113,5.0,15.5,1626192.0,SG/SF,POR,202.0,4.0,0,WAS,,21700279.0,Pat Connaughton,18.5,13.663281249999999,7.070467406380331
3500.0,3700.0,3528.5714,3500.0,69.9854212224,10.5357142857,5.3191509987,1.0,15.75,203090.0,SF/PF,POR,202.0,4.0,0,WAS,,21700279.0,Maurice Harkless,20.25,12.45064174107143,8.964803513034276
3000.0,3000.0,3000.0,3000.0,0.0,3.45,2.12367605816,0.0,6.0,1627774.0,SF/PF,POR,202.0,4.0,0,WAS,,21700279.0,Jake Layman,19.75,11.387732514880954,6.793535709517105
3900.0,3700.0,3428.5714,3100.0,243.276948085,19.8571428571,9.02759375358,5.75,32.0,203894.0,PG/SG,POR,202.0,4.0,0,WAS,,21700279.0,Shabazz Napier,19.5,15.037825520833335,19.778390515285523
3000.0,3000.0,3000.0,3000.0,0.0,2.08333333333,2.18263347562,-1.0,3.75,1628380.0,PF/C,POR,202.0,4.0,0,WAS,,21700279.0,Zach Collins,20.0,11.877278645833334,6.971588054651748
4200.0,4500.0,4371.4286,4200.0,88.0630571853,13.8214285714,8.37909205544,2.5,26.25,202323.0,SG/SF,POR,202.0,4.0,0,WAS,,21700279.0,Evan Turner,20.75,16.00005270337301,11.339495138209582
8500.0,9200.0,8857.1429,8300.0,266.496544374,42.9642857143,8.60899505856,30.25,57.0,203081.0,PG,POR,202.0,4.0,0,WAS,,21700279.0,Damian Lillard,25.25,40.401853918650794,20.64902589398913
3500.0,3600.0,3542.8571,3500.0,49.4871659305,21.5357142857,9.26150690785,14.25,42.0,203943.0,PF/C,POR,202.0,4.0,0,WAS,,21700279.0,Noah Vonleh,21.0,20.316155133928575,29.54984890457224
3000.0,3000.0,3000.0,3000.0,0.0,3.5,0.0,3.5,3.5,1626191.0,PF/C,WAS,202.0,-4.0,1,POR,,21700279.0,Chris McCullough,19.0,12.541493055555556,11.669124093324346
