Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
56,576429696,danieru85,0,312.25,PG Kyrie Irving SG Tony Allen SF LeBron James PF Kevin Love C Andre Drummond F Larry Nance Jr. G Evan Fournier UTIL Brandon Knight,,Jamal Murray,3.92%,35
56,577204595,AdamL2424,0,312.25,PG Tim Frazier SG Tony Allen SF Kevin Durant PF Kevin Love C Marc Gasol F Thabo Sefolosha G José Calderón UTIL LeBron James,,Joffrey Lauvergne,3.79%,3.75
59,576359629,genois2005,0,312,PG Tim Frazier SG Avery Bradley SF Larry Nance Jr. PF Draymond Green C LaMarcus Aldridge F Kevin Love G Damian Lillard UTIL Brandon Ingram,,Paul Millsap,3.44%,53.25
59,576570687,Afishbein15,0,312,PG Jordan Clarkson SG Tony Allen SF Andre Roberson PF Kevin Love C Al Horford F LeBron James G Stephen Curry UTIL Larry Nance Jr.,,Brandon Ingram,3.39%,20.75
61,577139867,rooneypsu,0,311.75,PG Mike Conley SG Tony Allen SF Wilson Chandler PF Kevin Love C Alex Len F Paul Millsap G Lou Williams UTIL Kawhi Leonard,,Trevor Booker,3.05%,46
62,576663822,DVernon,0,311,PG Tim Frazier SG Tony Allen SF Kawhi Leonard PF Kevin Love C LaMarcus Aldridge F LeBron James G José Calderón UTIL Brook Lopez,,Andre Drummond,3.05%,55.75
63,576569053,Marshg1214,0,310.5,PG Mike Conley SG Marco Belinelli SF LeBron James PF Joffrey Lauvergne C DeMarcus Cousins F Kevin Love G Tim Frazier UTIL Larry Nance Jr.,,Jonas Valanciunas,2.92%,39
64,576830039,Double-Js,0,310,PG Tim Frazier SG Tony Allen SF Larry Nance Jr. PF Kevin Love C LaMarcus Aldridge F LeBron James G Ty Lawson UTIL DeMarcus Cousins,,Rodney Hood,2.87%,25
65,576731436,rdero23,0,309.5,PG José Calderón SG Monta Ellis SF Devin Booker PF Trevor Booker C Al Horford F DeMarcus Cousins G Mike Conley UTIL LaMarcus Aldridge,,Chris Paul,2.83%,36.75
65,576733553,Missadm908,0,309.5,PG Tim Frazier SG Vince Carter SF LeBron James PF DeMarcus Cousins C Brook Lopez F DeMarre Carroll G Jerryd Bayless UTIL Al Horford,,Dennis Schroder,2.79%,14.25
67,576766657,JACKIEJERZ,0,309,PG Tim Frazier SG Tyler Johnson SF Robert Covington PF LeBron James C Clint Capela F Serge Ibaka G DeMar DeRozan UTIL Thaddeus Young,,DeAndre Jordan,2.70%,32.5
68,576946253,4pointplay,0,308.75,PG Kyrie Irving SG Tony Allen SF LeBron James PF Kevin Love C Bismack Biyombo F Trevor Booker G Eric Gordon UTIL Dwight Howard,,Eric Gordon,2.70%,15.75
69,576486475,tjkeen96,0,307.75,PG Russell Westbrook SG James Harden SF DeMarre Carroll PF Larry Nance Jr. C Alex Len F LaMarcus Aldridge G Tony Allen UTIL Jamal Murray,,Zach LaVine,2.65%,33.25
69,576679361,ecu443,0,307.75,PG Mike Conley SG Evan Fournier SF Thabo Sefolosha PF Kevin Love C Joffrey Lauvergne F Kawhi Leonard G Kyrie Irving UTIL Marc Gasol,,Tristan Thompson,2.65%,17
69,576897551,ChrisDK24,0,307.75,PG Russell Westbrook SG James Harden SF DeMarre Carroll PF Larry Nance Jr. C Alex Len F LaMarcus Aldridge G Tony Allen UTIL Jamal Murray,,Avery Bradley,2.65%,41.75
69,577232435,bobbyfranke2002,0,307.75,PG Russell Westbrook SG DeMar DeRozan SF Larry Nance Jr. PF Kevin Love C Alex Len F DeMarre Carroll G Brandon Knight UTIL Terrence Ross,,Jeff Teague,2.57%,43.5
73,577045860,schultzdrew,0,307.5,PG Russell Westbrook SG Jordan Clarkson SF DeMarre Carroll PF Larry Nance Jr. C Alex Len F Kevin Love G Isaiah Thomas UTIL JaMychal Green,,Gordon Hayward,2.52%,42.75
73,577204122,Phinnatic,0,307.5,PG Mike Conley SG Victor Oladipo SF Jeff Green PF LaMarcus Aldridge C DeMarcus Cousins F Thaddeus Young G Tim Frazier UTIL Nikola Vucevic,,Brandon Knight,2.52%,16.5
73,577272408,bjm208,0,307.5,PG Kemba Walker SG Zach LaVine SF P.J. Tucker PF Kevin Love C Andre Drummond F Kawhi Leonard G Nick Young UTIL Tim Frazier,,Nikola Vucevic,2.44%,45.75
76,577137192,megatronaldinho,0,307.25,PG Mike Conley SG Tony Allen SF Wilson Chandler PF Trevor Booker C Andrew Bogut F Brandon Ingram G James Harden UTIL DeMarcus Cousins,,Dwight Howard,2.26%,49.5
77,576378093,AdamLis,0,307,PG Tim Frazier SG Tony Allen SF Larry Nance Jr. PF LeBron James C Marc Gasol F Kawhi Leonard G Mike Conley UTIL Elfrid Payton,,Isaiah Whitehead,2.22%,14.5
77,577290232,Rjwheeler971,0,307,PG Stephen Curry SG Eric Gordon SF Wilson Chandler PF LaMarcus Aldridge C Jonas Valanciunas F Kevin Love G Darren Collison UTIL Evan Fournier,,J.R. Smith,2.22%,11
79,576409581,HeejSavage,0,306.75,PG Isaiah Thomas SG Tony Allen SF LeBron James PF JaMychal Green C Kevin Love F Wilson Chandler G José Calderón UTIL DeMar DeRozan,,Gorgui Dieng,2.09%,29.5
80,576700890,bobapalooza,0,306.5,PG Isaiah Whitehead SG DeMar DeRozan SF Brandon Ingram PF Anthony Davis C Timofey Mozgov F Kevin Love G Zach LaVine UTIL Al Horford,,Hollis Thompson,2.05%,17.25
80,576883282,drew1121,0,306.5,PG Isaiah Thomas SG DeMar DeRozan SF Larry Nance Jr. PF DeMarre Carroll C Marc Gasol F Trevor Booker G Tony Allen UTIL DeMarcus Cousins,,Seth Curry,2.00%,11.25
80,577050232,sundogsports1983,0,306.5,PG Mike Conley SG DeMar DeRozan SF Wilson Chandler PF Channing Frye C Marc Gasol F Kawhi Leonard G José Calderón UTIL Al Horford,,Damian Lillard,1.91%,68.25
83,576436005,cnickersonjr,0,306,PG Mike Conley SG Victor Oladipo SF Rudy Gay PF Kevin Love C Al Horford F Channing Frye G Kemba Walker UTIL Tim Hardaway Jr.,,Marco Belinelli,1.83%,19
83,576461637,cowboys4life0319,0,306,PG Jamal Murray SG Tony Allen SF Larry Nance Jr. PF LeBron James C Alex Len F Gordon Hayward G Stephen Curry UTIL Blake Griffin,,Frank Kaminsky,1.74%,29.5
85,576817626,dhuffman55,0,305.75,PG Mike Conley SG Tony Allen SF LeBron James PF Draymond Green C Clint Capela F Marcus Morris G Evan Fournier UTIL Joel Embiid,,Spencer Hawes,1.74%,23.25
85,576828722,dvillanueva22,0,305.75,PG Mike Conley SG Tony Allen SF Devin Booker PF Trevor Booker C DeMarcus Cousins F LaMarcus Aldridge G Kemba Walker UTIL Spencer Hawes,,Michael Kidd-Gilchrist,1.74%,18.75
87,576231278,zach2012,0,305.5,PG Kemba Walker SG Victor Oladipo SF Rudy Gay PF Trevor Booker C Ed Davis F LaMarcus Aldridge G Mike Conley UTIL Eric Bledsoe,,Harrison Barnes,1.65%,32.5
88,577184836,xiening13,0,305.25,PG Tim Frazier SG Jordan Clarkson SF Larry Nance Jr. PF Rudy Gay C Alex Len F LeBron James G Mike Conley UTIL Al Horford,,Pau Gasol,1.65%,35
89,576801673,AtxDolfan,0,305,PG Isaiah Thomas SG Darren Collison SF Wilson Chandler PF LeBron James C Alex Len F Frank Kaminsky G Mike Conley UTIL Jae Crowder,,Channing Frye,1.57%,23.25
89,576842111,Cameronscoach79,0,305,PG Jamal Murray SG Jordan Clarkson SF Wilson Chandler PF Larry Nance Jr. C Joel Embiid F LeBron James G Kemba Walker UTIL Kawhi Leonard,,Ryan Anderson,1.52%,21.75
91,576465875,Kritsberg13,0,304.75,PG Kemba Walker SG Danny Green SF Larry Nance Jr. PF JaMychal Green C Andre Drummond F LaMarcus Aldridge G Kyrie Irving UTIL Stephen Curry,,Kent Bazemore,1.48%,22.5
91,576986342,swches,0,304.75,PG Mike Conley SG Nicolas Batum SF Kawhi Leonard PF Trevor Booker C Andre Drummond F Rondae Hollis-Jefferson G Kemba Walker UTIL Vince Carter,,Steven Adams,1.39%,20
93,576335422,spar87,0,304.5,PG Chris Paul SG DeMar DeRozan SF Thabo Sefolosha PF Anthony Davis C Andre Drummond F Robert Covington G Tony Allen UTIL Isaiah Whitehead,,Tim Hardaway Jr.,1.35%,7.25
94,576479776,slushfundx,0,304,PG Darren Collison SG Jordan Clarkson SF Wilson Chandler PF Kevin Love C Marc Gasol F LaMarcus Aldridge G Kemba Walker UTIL Tim Frazier,,Will Barton,1.35%,6.75
94,576541254,Dkunysz,0,304,PG Jamal Murray SG DeMar DeRozan SF Wilson Chandler PF Kevin Love C DeMarcus Cousins F Frank Kaminsky G Vince Carter UTIL Joel Embiid,,Marcus Smart,1.31%,31.5
94,576835823,CoolhandLG,0,304,PG Eric Bledsoe SG DeMar DeRozan SF Robert Covington PF Kevin Love C Alex Len F Larry Nance Jr. G Kyrie Irving UTIL Wilson Chandler,,J.J. Redick,1.31%,13
97,576492860,TwentyOneOuts,0,303.75,PG Darren Collison SG Kent Bazemore SF P.J. Tucker PF Larry Nance Jr. C Alex Len F Kevin Durant G Damian Lillard UTIL Kevin Love,,Goran Dragic,1.31%,13.5
97,577224768,beverhart,0,303.75,PG Tim Frazier SG Tony Allen SF Wilson Chandler PF Anthony Davis C Al Horford F Kevin Love G Darren Collison UTIL Alex Len,,Thaddeus Young,1.26%,36.25
99,576587282,mconley41,0,303.5,PG Mike Conley SG Darren Collison SF Wilson Chandler PF Serge Ibaka C Alex Len F Ersan Ilyasova G James Harden UTIL Trevor Booker,,Jeff Green,1.22%,13.25
100,576386688,dmoe1968,0,303.25,PG Kyrie Irving SG C.J. McCollum SF LeBron James PF DeMarre Carroll C Marc Gasol F Channing Frye G Nick Young UTIL Mike Conley,,Monta Ellis,1.22%,28.75
100,576443978,castman86,0,303.25,PG Tim Frazier SG Tony Allen SF Wilson Chandler PF Kevin Love C Andre Drummond F Nikola Jokic G Russell Westbrook UTIL Andrew Bogut,,Andre Iguodala,1.17%,13.5
100,576759273,Mattyc02,0,303.25,PG Eric Bledsoe SG Victor Oladipo SF Larry Nance Jr. PF Kevin Love C Clint Capela F Gorgui Dieng G Mike Conley UTIL Evan Fournier,,Bismack Biyombo,1.13%,13.75
100,576786081,Cdc5011,0,303.25,PG Damian Lillard SG Tony Allen SF Larry Nance Jr. PF LaMarcus Aldridge C Kevin Love F Anthony Davis G Dennis Schroder UTIL Thabo Sefolosha,,Terrence Jones,1.13%,30.75
104,576453401,punsa008,0,303,PG Mike Conley SG Evan Fournier SF Wilson Chandler PF LaMarcus Aldridge C Andre Drummond F DeMarcus Cousins G Tony Allen UTIL Brandon Knight,,Enes Kanter,1.09%,20.25
104,576737410,tommyh012,0,303,PG Mike Conley SG Darren Collison SF LeBron James PF Kevin Love C Serge Ibaka F Wilson Chandler G Tim Frazier UTIL Marco Belinelli,,Alan Williams,1.09%,0
104,576911389,boostedsilvia,0,303,PG Elfrid Payton SG Victor Oladipo SF LeBron James PF DeMarre Carroll C Marc Gasol F Maurice Harkless G Isaiah Thomas UTIL Nick Young,,Tony Parker,1.04%,18.75
107,576885520,wuph,0,302.75,PG Kyle Lowry SG Evan Fournier SF Wilson Chandler PF Larry Nance Jr. C Alex Len F Kevin Love G Mike Conley UTIL Eric Bledsoe,,Nik Stauskas,1.04%,24.25
107,577185663,princessnicole93,0,302.75,PG Eric Bledsoe SG Tony Allen SF Wilson Chandler PF Anthony Davis C Alex Len F LeBron James G Elfrid Payton UTIL José Calderón,,Trey Lyles,1.00%,15.75
109,576626137,ezmoney27,0,302.25,PG Ricky Rubio SG Tony Allen SF LeBron James PF Draymond Green C Nikola Vucevic F Gordon Hayward G Evan Fournier UTIL Alex Len,,Nikola Jokic,0.96%,24.25
109,576759360,benmitchell7,0,302.25,PG Mike Conley SG Darren Collison SF LeBron James PF LaMarcus Aldridge C Clint Capela F Wilson Chandler G Tim Frazier UTIL Zach Randolph,,Ty Lawson,0.96%,20
109,577202075,BuzzBomb,0,302.25,PG Mike Conley SG Tony Allen SF Wilson Chandler PF LaMarcus Aldridge C Alex Len F Devin Booker G Stephen Curry UTIL Andre Drummond,,Bojan Bogdanovic,0.91%,27
112,576513635,kegler846,0,302,PG James Harden SG Nick Young SF Michael Kidd-Gilchrist PF LaMarcus Aldridge C Jonas Valanciunas F Trevor Booker G Evan Fournier UTIL Nikola Vucevic,,Ersan Ilyasova,0.91%,39
113,576557256,mbrosso11,0,301.75,PG Mike Conley SG Tony Allen SF Larry Nance Jr. PF DeMarcus Cousins C Kevin Love F LaMarcus Aldridge G Ricky Rubio UTIL Nikola Vucevic,,Rondae Hollis-Jefferson,0.87%,14.5
114,577171679,mrediger05,0,301.5,PG Stephen Curry SG DeMar DeRozan SF Wilson Chandler PF Ersan Ilyasova C Joel Embiid F Terrence Ross G Jordan Clarkson UTIL Dwight Howard,,Luol Deng,0.83%,19.75
115,577232900,Will2Rich,0,301.25,PG Tim Frazier SG Lou Williams SF Thabo Sefolosha PF LeBron James C Marc Gasol F Wilson Chandler G Elfrid Payton UTIL Kevin Love,,Paul George,0.83%,35.5
115,577236304,tommydagreek77,0,301.25,PG Isaiah Thomas SG Tony Allen SF LeBron James PF Paul Millsap C Marc Gasol F Larry Nance Jr. G Jordan Clarkson UTIL Alex Len,,Robert Covington,0.83%,47
117,576742018,SACKMAN32,0,300.5,PG José Calderón SG James Harden SF Larry Nance Jr. PF Kevin Love C Marc Gasol F Zach Randolph G Kemba Walker UTIL Marco Belinelli,,Patrick Patterson,0.83%,21.25
118,576911400,Scuba3321,0,300,PG Mike Conley SG Hollis Thompson SF Wilson Chandler PF Kevin Love C Alex Len F LeBron James G Tony Allen UTIL Hassan Whiteside,,Josh Richardson,0.78%,10
118,577160781,storm0812,0,300,PG Isaiah Thomas SG Jordan Clarkson SF Thabo Sefolosha PF LeBron James C Al Horford F Kevin Love G Darren Collison UTIL Tony Allen,,Timofey Mozgov,0.78%,18
120,577231406,jlee79,0,299.75,PG Kyrie Irving SG Lou Williams SF LeBron James PF Kevin Love C Joel Embiid F Thabo Sefolosha G Hollis Thompson UTIL Eric Bledsoe,,Rodney Stuckey,0.74%,1.75
121,576994357,mikebern24,0,299.5,PG Stephen Curry SG Nicolas Batum SF Jeff Green PF Kevin Love C Pau Gasol F Rudy Gay G Evan Fournier UTIL Mason Plumlee,,Tobias Harris,0.74%,28
121,577058944,gonoles2121,0,299.5,PG Kemba Walker SG Nick Young SF Trevor Ariza PF Kevin Love C Andre Drummond F Nicolas Batum G Mike Conley UTIL Tony Parker,,Danilo Gallinari,0.74%,0
121,577183887,zrab123,0,299.5,PG Jeff Teague SG Kent Bazemore SF Shabazz Muhammad PF JaMychal Green C Al Horford F Kawhi Leonard G Damian Lillard UTIL Harrison Barnes,,Jahlil Okafor,0.74%,9.75
124,576291298,rocky3213,0,299.25,PG Tim Frazier SG DeMar DeRozan SF Wilson Chandler PF Anthony Davis C Alex Len F Kevin Love G Tony Allen UTIL Thabo Sefolosha,,Aaron Gordon,0.74%,13
125,576446437,beardgang69,0,299,PG Kyrie Irving SG Kentavious Caldwell-Pope SF Nicolas Batum PF Kevin Love C Jonas Valanciunas F Trevor Booker G Elfrid Payton UTIL Gorgui Dieng,,Glenn Robinson III,0.74%,5.25
