Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final,NN2,RF2
PG/SG,Marcus Smart,5400,Por@Bos 05:00PM ET,24.590,BOS,1,0,24.857,19.273,21.625,0.000,-1.002,9.750,32.400,218.000,-8.000,36.000,26.249,21.530
SG,Kentavious Caldwell-Pope,5400,Was@Det 06:00PM ET,26.650,DET,1,1,27.036,16.434,23.562,0.000,-2696.266,10.000,32.400,208.000,-1.000,0.000,25.853,19.500
PF/C,Taj Gibson,5400,Sac@Chi 09:00PM ET,25.169,CHI,1,0,21.607,19.281,25.625,0.000,-24.566,17.250,32.400,205.000,-6.500,18.250,25.827,27.769
PG/SG,Malcolm Brogdon,5400,Mil@Mia 07:30PM ET,21.155,MIL,0,0,31.143,13.190,26.000,0.000,-3.613,6.000,32.400,206.000,1.500,11.500,23.056,22.288
SG/SF,Dion Waiters,5400,Mil@Mia 07:30PM ET,24.652,MIA,1,0,27.143,14.727,25.188,0.000,-1.334,22.500,32.400,206.000,-1.500,44.250,25.514,31.033
C,Jahlil Okafor,5300,Phi@Atl 07:00PM ET,21.050,PHI,0,0,22.250,13.019,21.188,0.000,-7.366,4.000,31.800,198.500,10.000,25.000,22.459,24.234
PG/SG,Darren Collison,5300,Sac@Chi 09:00PM ET,23.118,SAC,0,0,17.679,16.833,24.812,0.000,-20.020,14.000,31.800,205.000,6.500,14.750,22.657,20.633
SG,Eric Gordon,5300,Hou@Mem 08:00PM ET,28.239,HOU,0,0,28.500,21.583,23.750,2.824,-26.192,3.000,31.800,215.500,-1.500,37.250,23.417,23.622
SF,Trevor Ariza,5300,Hou@Mem 08:00PM ET,27.793,HOU,0,0,27.036,21.500,26.438,0.000,-23.974,6.000,31.800,215.500,-1.500,19.000,23.395,22.310
PG,Tyler Johnson,5300,Mil@Mia 07:30PM ET,28.456,MIA,1,0,30.000,22.038,31.625,0.000,-5.523,2.500,31.800,206.000,-1.500,0.000,25.501,27.957
SG/SF,J.J. Redick,5200,LAC@Den 09:00PM ET,22.250,LAC,0,0,19.321,14.812,26.500,0.000,2.264,24.250,31.200,222.500,5.000,24.750,22.082,22.842
