Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,NN,RF,Final
PF/C,Taj Gibson,5000,Chi@Orl 07:00PM ET,25.011,CHI,0,0,23.679,19.160,24.750,0.000,-3.257,16.500,30.000,206.500,-2.500,21.233,21.424,19.500
C,Pau Gasol,5000,SA@Tor 07:00PM ET,28.686,SA,0,1,32.357,21.455,24.062,0.000,-2901.644,7.000,30.000,206.000,-3.000,20.927,4.114,0.000
SG/SF,Joe Ingles,4900,Uta@Den 09:00PM ET,15.658,UTA,0,0,21.321,7.950,23.562,0.000,-1.367,23.750,29.400,211.000,2.500,20.974,22.149,10.750
PG,Kris Dunn,4900,Min@Pho 09:00PM ET,12.886,MIN,0,0,7.893,7.298,15.938,0.000,0.410,26.000,29.400,213.000,1.000,20.648,23.818,6.250
PF/C,Kenneth Faried,4800,Uta@Den 09:00PM ET,23.353,DEN,1,0,18.964,13.855,19.312,0.000,-33.176,1.000,28.800,211.000,-2.500,22.028,26.076,21.250
SG,Gary Harris,4700,Uta@Den 09:00PM ET,23.013,DEN,1,0,21.964,13.357,22.000,0.000,-6.611,1.000,28.200,211.000,-2.500,21.505,26.410,15.500
PF/C,Kelly Olynyk,4600,Bos@Was 07:00PM ET,19.216,BOS,0,0,21.750,11.847,26.438,0.000,1.344,16.500,27.600,217.000,-1.000,18.963,13.992,11.250
SF,T.J. Warren,4600,Min@Pho 09:00PM ET,22.597,PHO,1,0,17.964,10.967,17.375,0.000,-31.608,5.500,27.600,213.000,-1.000,20.947,16.068,11.000
PG,Emmanuel Mudiay,4500,Uta@Den 09:00PM ET,24.293,DEN,1,1,25.536,14.405,26.188,0.000,-2460.196,6.500,27.000,211.000,-2.500,20.563,25.060,0.000
C,Robin Lopez,4500,Chi@Orl 07:00PM ET,22.767,CHI,0,0,19.750,16.807,26.375,0.000,-2.964,20.000,27.000,206.500,-2.500,18.729,23.111,14.500
PG,Tony Parker,4500,SA@Tor 07:00PM ET,21.414,SA,0,1,21.321,15.206,23.750,0.000,-2144.076,13.000,27.000,206.000,-3.000,18.619,12.755,0.000
PG,Dejounte Murray,4500,SA@Tor 07:00PM ET,7.565,SA,0,0,9.964,2.967,21.688,0.000,-1.021,13.000,27.000,206.000,-3.000,14.157,11.011,18.250
SF,DeMarre Carroll,4500,SA@Tor 07:00PM ET,19.526,TOR,1,0,27.929,12.905,15.375,0.000,-5.564,2.000,27.000,206.000,3.000,20.202,15.571,9.000
SG,Rodney Hood,4400,Uta@Den 09:00PM ET,23.547,UTA,0,1,13.429,15.625,28.000,0.000,-2358.874,29.000,26.400,211.000,2.500,18.748,10.671,0.000
PF,Nikola Mirotic,4400,Chi@Orl 07:00PM ET,20.994,CHI,0,0,20.857,13.395,13.938,0.000,-1894.293,13.000,26.400,206.500,-2.500,18.048,14.957,10.750
SG,Jamal Crawford,4400,LAC@Phi 07:00PM ET,19.239,LAC,0,0,19.964,12.350,19.375,0.000,-4.796,18.000,26.400,204.500,-4.500,18.434,13.503,34.750
SG,Jodie Meeks,4300,Chi@Orl 07:00PM ET,16.792,ORL,1,1,15.286,9.188,19.250,0.000,-1682.898,12.000,25.800,206.500,2.500,18.266,16.236,0.000
PF/C,Marreese Speights,4300,LAC@Phi 07:00PM ET,19.647,LAC,0,0,22.107,13.750,23.875,0.000,-22.242,16.500,25.800,204.500,-4.500,17.851,14.848,10.750
PF/C,Nerlens Noel,4300,LAC@Phi 07:00PM ET,15.922,PHI,1,0,15.036,9.917,14.438,0.000,-1436.949,8.000,25.800,204.500,4.500,18.112,15.799,46.000
PG,Michael Carter-Williams,4200,Chi@Orl 07:00PM ET,18.681,CHI,0,0,19.500,12.562,20.125,0.000,-4.300,15.000,25.200,206.500,-2.500,17.099,16.557,0.000
C,Bismack Biyombo,4200,Chi@Orl 07:00PM ET,20.644,ORL,1,0,22.679,13.823,28.938,0.000,-1862.712,11.000,25.200,206.500,2.500,18.380,15.584,6.500
SF/PF,Dario Saric,4200,LAC@Phi 07:00PM ET,20.649,PHI,1,0,18.500,13.226,22.250,0.000,-1863.557,10.000,25.200,204.500,4.500,18.164,18.405,33.000
SG/SF,Terrence Ross,4200,SA@Tor 07:00PM ET,17.988,TOR,1,0,15.071,12.583,19.250,0.000,-1623.147,10.000,25.200,206.000,3.000,17.940,19.905,28.250
SF/PF,P.J. Tucker,4100,Min@Pho 09:00PM ET,18.506,PHO,1,0,22.929,10.250,24.312,0.000,-1664.952,7.750,24.600,213.000,-1.000,18.363,15.489,34.500
PG,Jameer Nelson,4000,Uta@Den 09:00PM ET,18.971,DEN,1,0,18.321,12.000,17.312,0.000,-1710.943,6.500,24.000,211.000,-2.500,17.922,15.432,30.250
PF/C,Amir Johnson,4000,Bos@Was 07:00PM ET,17.256,BOS,0,0,15.179,10.534,17.000,0.000,1.207,16.500,24.000,217.000,-1.000,16.103,12.035,0.000
C,Lucas Nogueira,4000,SA@Tor 07:00PM ET,17.371,TOR,1,0,22.107,10.829,20.625,0.000,-1567.472,3.000,24.000,206.000,3.000,17.144,13.196,26.000
PG/SG,Jamal Murray,3900,Uta@Den 09:00PM ET,15.390,DEN,1,0,8.571,8.442,18.688,0.000,-1387.982,3.750,23.400,211.000,-2.500,16.933,20.128,16.000
PG,Cory Joseph,3900,SA@Tor 07:00PM ET,18.233,TOR,1,0,18.357,12.660,19.000,0.000,-1645.254,4.500,23.400,206.000,3.000,16.593,14.264,20.250
PG,Shelvin Mack,3800,Uta@Den 09:00PM ET,16.195,UTA,0,0,15.000,8.961,4.875,0.000,-16.440,29.000,22.800,211.000,2.500,15.074,12.103,4.000
PG,Sergio Rodriguez,3800,LAC@Phi 07:00PM ET,22.372,PHI,1,0,16.250,14.105,16.500,0.000,-2041.708,2.000,22.800,204.500,4.500,16.316,17.671,23.250
PG/SG,C.J. Watson,3700,Chi@Orl 07:00PM ET,7.728,ORL,1,0,10.929,3.900,14.062,0.000,-697.299,11.500,22.200,206.500,2.500,9.201,8.628,19.250
SF,Doug McDermott,3700,Chi@Orl 07:00PM ET,16.727,CHI,0,0,17.857,10.059,18.688,0.000,-19.533,20.000,22.200,206.500,-2.500,14.253,10.511,18.750
PF,Richaun Holmes,3700,LAC@Phi 07:00PM ET,15.648,PHI,1,0,14.143,6.900,9.562,0.000,-1426.414,5.000,22.200,204.500,4.500,14.739,15.514,24.250
PG,Rajon Rondo,3600,Chi@Orl 07:00PM ET,26.153,CHI,0,0,19.429,17.619,12.562,0.000,-38.229,15.000,21.600,206.500,-2.500,13.722,15.913,11.250
SF/PF,Jeff Green,3600,Chi@Orl 07:00PM ET,16.406,ORL,1,0,14.643,10.448,23.000,1.641,-1480.317,13.000,21.600,206.500,2.500,14.007,13.954,24.250
SG,Manu Ginobili,3600,SA@Tor 07:00PM ET,18.108,SA,0,1,19.393,12.807,21.938,0.000,-1814.874,2.000,21.600,206.000,-3.000,13.613,18.171,11.000
SG/SF,Shabazz Muhammad,3600,Min@Pho 09:00PM ET,12.863,MIN,0,0,13.571,7.202,15.875,0.000,0.409,20.250,21.600,213.000,1.000,12.742,12.533,22.250
