Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,dvp,value,LastGame,O/U,odds
PG/SG,C.J. McCollum,7800,LAL@Por 10:30PM ET,37.255,POR,1,0,42.321,29.546,33.875,3.726,24.500,46.800,49.500,221.000,-8.500
SG,DeMar DeRozan,7700,Tor@Mem 08:00PM ET,42.170,TOR,0,1,40.679,34.864,40.750,0.000,6.500,46.200,34.750,200.500,6.000
PG,Jrue Holiday,7600,OKC@NO 08:00PM ET,32.975,NO,1,0,37.929,26.426,39.312,0.000,21.500,45.600,67.500,217.500,1.500
PF/C,Draymond Green,7500,GS@Cha 08:00PM ET,39.238,GS,0,0,36.179,31.974,32.875,3.924,18.000,45.000,24.250,223.500,-10.000
C,Marc Gasol,7500,Tor@Mem 08:00PM ET,38.807,MEM,1,0,42.464,29.188,46.312,3.881,7.500,45.000,48.250,200.500,-6.000
SG/SF,Nicolas Batum,7400,GS@Cha 08:00PM ET,35.839,CHA,1,0,36.607,27.075,32.688,3.584,11.000,44.400,20.750,223.500,10.000
PG,Goran Dragic,7300,Mia@Bkn 07:30PM ET,35.209,MIA,0,0,31.179,28.131,38.938,0.000,30.000,43.800,32.000,215.000,-3.000
SF,Carmelo Anthony,7300,NY@Dal 08:30PM ET,37.617,NY,0,0,31.179,27.978,41.750,0.000,4.000,43.800,35.750,204.000,3.000
SF/PF,Jabari Parker,7200,Phi@Mil 08:00PM ET,35.097,MIL,1,0,42.000,27.424,39.625,0.000,12.000,43.200,56.000,207.000,-11.000
PG,Mike Conley,7200,Tor@Mem 08:00PM ET,36.397,MEM,1,0,37.250,28.264,38.375,0.000,13.500,43.200,30.000,200.500,-6.000
PF/C,Terrence Jones,7100,OKC@NO 08:00PM ET,24.331,NO,1,0,28.036,15.896,37.000,0.000,15.750,42.600,63.750,217.500,1.500
C,Dwight Howard,7000,Atl@Chi 08:00PM ET,35.900,ATL,0,0,36.286,24.824,29.125,0.000,10.000,42.000,40.000,202.500,-1.500
C,Al Horford,6800,Hou@Bos 07:30PM ET,36.140,BOS,1,0,37.107,29.279,34.375,3.614,22.000,40.800,33.000,229.000,4.000
PF,Julius Randle,6700,LAL@Por 10:30PM ET,31.314,LAL,0,0,31.286,22.864,24.750,0.000,29.000,40.200,23.000,221.000,8.500
SG/SF,Dion Waiters,6600,Mia@Bkn 07:30PM ET,26.400,MIA,0,0,19.179,15.583,35.375,0.000,30.000,39.600,48.750,215.000,-3.000
PF,Kristaps Porzingis,6500,NY@Dal 08:30PM ET,35.641,NY,0,0,34.643,25.882,20.500,0.000,3.000,39.000,16.500,204.000,3.000
SG,Dwyane Wade,6400,Atl@Chi 08:00PM ET,33.628,CHI,1,0,35.393,25.512,36.312,0.000,22.000,38.400,49.250,202.500,1.500
C,Brook Lopez,6300,Mia@Bkn 07:30PM ET,34.831,BKN,1,0,30.321,27.511,37.062,3.483,16.000,37.800,20.500,215.000,3.000
SG,Klay Thompson,6300,GS@Cha 08:00PM ET,31.875,GS,0,0,30.750,25.293,29.062,0.000,20.000,37.800,36.250,223.500,-10.000
PG,Dennis Schroder,6200,Atl@Chi 08:00PM ET,31.756,ATL,0,0,31.464,23.464,33.375,0.000,9.500,37.200,38.500,202.500,-1.500
SF/PF,Harrison Barnes,6200,NY@Dal 08:30PM ET,31.131,DAL,1,0,28.393,24.238,24.438,0.000,17.750,37.200,14.750,204.000,-3.000
C,Mason Plumlee,6200,LAL@Por 10:30PM ET,30.636,POR,1,0,32.250,23.540,31.938,3.064,30.000,37.200,37.750,221.000,-8.500
PG,Deron Williams,6100,NY@Dal 08:30PM ET,28.743,DAL,1,0,29.214,20.700,29.750,0.000,15.000,36.600,31.750,204.000,-3.000
PG/SG,Marcus Smart,6000,Hou@Bos 07:30PM ET,24.970,BOS,1,0,27.500,19.729,26.812,2.497,18.000,36.000,28.750,229.000,4.000
PF,Ersan Ilyasova,6000,Phi@Mil 08:00PM ET,27.116,PHI,0,0,32.857,19.702,31.688,2.712,14.000,36.000,23.750,207.000,11.000
C,Jonas Valanciunas,6000,Tor@Mem 08:00PM ET,28.105,TOR,0,0,22.929,21.000,32.812,0.000,1.000,36.000,32.250,200.500,6.000
PG,Derrick Rose,6000,NY@Dal 08:30PM ET,30.927,NY,0,0,34.143,24.583,38.562,0.000,1.000,36.000,30.750,204.000,3.000
PG,D'Angelo Russell,6000,LAL@Por 10:30PM ET,28.250,LAL,0,0,26.929,18.906,16.000,0.000,12.000,36.000,-0.500,221.000,8.500
PF,James Johnson,5900,Mia@Bkn 07:30PM ET,25.356,MIA,0,0,31.929,16.486,24.938,0.000,30.000,35.400,21.500,215.000,-3.000
SG,Lou Williams,5800,LAL@Por 10:30PM ET,27.677,LAL,0,0,22.536,18.772,34.812,2.768,8.500,34.800,18.000,221.000,8.500
SF,Jae Crowder,5600,Hou@Bos 07:30PM ET,26.403,BOS,1,0,27.464,19.357,30.500,2.640,25.000,33.600,31.500,229.000,4.000
SF,Robert Covington,5600,Phi@Mil 08:00PM ET,25.644,PHI,0,0,27.929,17.887,33.062,2.564,29.000,33.600,37.500,207.000,11.000
SF/PF,Trevor Ariza,5500,Hou@Bos 07:30PM ET,27.703,HOU,0,0,28.536,21.400,22.625,0.000,19.750,33.000,32.250,229.000,-4.000
PG,T.J. McConnell,5500,Phi@Mil 08:00PM ET,19.417,PHI,0,0,25.679,13.260,27.188,0.000,4.000,33.000,23.500,207.000,11.000
PF/C,Dirk Nowitzki,5500,NY@Dal 08:30PM ET,24.987,DAL,1,0,22.750,19.068,24.812,0.000,23.500,33.000,24.750,204.000,-3.000
SG/SF,Tyreke Evans,5500,OKC@NO 08:00PM ET,21.603,NO,1,1,20.571,14.194,24.812,0.000,7.000,33.000,17.500,217.500,1.500
SG,Victor Oladipo,5500,OKC@NO 08:00PM ET,28.451,OKC,0,0,28.464,20.500,29.312,0.000,18.500,33.000,29.000,217.500,-1.500
PF/C,Zach Randolph,5400,Tor@Mem 08:00PM ET,27.865,MEM,1,0,31.393,22.818,29.188,0.000,14.750,32.400,22.500,200.500,-6.000
C,Enes Kanter,5400,OKC@NO 08:00PM ET,26.267,OKC,0,0,34.036,17.261,32.062,0.000,18.000,32.400,20.250,217.500,-1.500
PG,Patrick Beverley,5300,Hou@Bos 07:30PM ET,27.824,HOU,0,0,27.929,21.838,28.750,0.000,24.000,31.800,26.500,229.000,-4.000
SG,Eric Gordon,5300,Hou@Bos 07:30PM ET,28.158,HOU,0,0,26.393,21.307,25.812,2.816,14.000,31.800,15.500,229.000,-4.000
PG,Tyler Johnson,5300,Mia@Bkn 07:30PM ET,28.456,MIA,0,1,33.214,22.038,31.625,0.000,30.000,31.800,29.750,215.000,-3.000
SF,Michael Kidd-Gilchrist,5200,GS@Cha 08:00PM ET,23.915,CHA,1,0,26.857,17.304,29.062,0.000,9.000,31.200,19.750,223.500,10.000
PG/SG,Malcolm Brogdon,5100,Phi@Mil 08:00PM ET,21.091,MIL,1,0,29.357,13.114,24.750,2.109,14.750,30.600,28.000,207.000,-11.000
C,Jahlil Okafor,5100,Phi@Mil 08:00PM ET,21.177,PHI,0,1,22.500,13.019,22.188,0.000,12.500,30.600,25.000,207.000,11.000
C,Cody Zeller,5100,GS@Cha 08:00PM ET,24.375,CHA,1,1,24.500,19.060,25.312,0.000,24.000,30.600,36.250,223.500,10.000
PF/C,Taj Gibson,5000,Atl@Chi 08:00PM ET,24.889,CHI,1,0,22.000,19.173,19.500,0.000,11.500,30.000,19.500,202.500,1.500
C,Steven Adams,5000,OKC@NO 08:00PM ET,26.890,OKC,0,0,28.286,20.298,20.562,0.000,18.000,30.000,25.000,217.500,-1.500
PF,Al-Farouq Aminu,5000,LAL@Por 10:30PM ET,21.793,POR,1,0,24.393,15.929,23.000,0.000,26.500,30.000,23.750,221.000,-8.500
PG/SG,Jordan Clarkson,4900,LAL@Por 10:30PM ET,23.042,LAL,0,0,25.750,16.083,22.750,2.304,10.250,29.400,12.750,221.000,8.500
PF,Trevor Booker,4800,Mia@Bkn 07:30PM ET,27.781,BKN,1,0,27.929,20.179,22.750,0.000,7.000,28.800,13.500,215.000,3.000
PF,Marvin Williams,4800,GS@Cha 08:00PM ET,22.449,CHA,1,0,25.214,16.263,26.938,2.245,9.000,28.800,35.500,223.500,10.000
C,Greg Monroe,4700,Phi@Mil 08:00PM ET,25.395,MIL,1,0,34.536,16.466,19.938,2.540,27.000,28.200,37.500,207.000,-11.000
SG/SF,Kent Bazemore,4700,Atl@Chi 08:00PM ET,21.808,ATL,0,0,18.214,13.200,21.188,2.181,10.000,28.200,36.250,202.500,-1.500
SG,Seth Curry,4700,NY@Dal 08:30PM ET,20.094,DAL,1,0,18.036,14.062,23.562,0.000,23.500,28.200,23.500,204.000,-3.000
PF/C,Kelly Olynyk,4600,Hou@Bos 07:30PM ET,19.007,BOS,1,0,21.929,11.816,18.625,1.901,18.750,27.600,11.250,229.000,4.000
SG,Sean Kilpatrick,4600,Mia@Bkn 07:30PM ET,24.831,BKN,1,0,19.679,15.830,22.750,0.000,3.000,27.600,31.500,215.000,3.000
SG/SF,Wesley Matthews,4600,NY@Dal 08:30PM ET,26.023,DAL,1,1,23.643,19.534,25.062,0.000,19.000,27.600,21.500,204.000,-3.000
SF,Brandon Ingram,4600,LAL@Por 10:30PM ET,17.958,LAL,0,0,16.821,13.017,22.812,1.796,20.500,27.600,7.750,221.000,8.500
PF,Ryan Anderson,4500,Hou@Bos 07:30PM ET,23.778,HOU,0,0,29.679,16.865,14.188,2.378,25.000,27.000,21.750,229.000,-4.000
SG/SF,Josh Richardson,4500,Mia@Bkn 07:30PM ET,22.473,MIA,0,1,26.036,15.467,23.500,0.000,30.000,27.000,9.750,215.000,-3.000
C,Robin Lopez,4500,Atl@Chi 08:00PM ET,22.587,CHI,1,0,21.036,16.432,22.688,0.000,4.000,27.000,14.500,202.500,1.500
SG/SF,Terrence Ross,4500,Tor@Mem 08:00PM ET,18.222,TOR,0,0,20.893,13.000,18.812,0.000,6.750,27.000,28.250,200.500,6.000
SF,DeMarre Carroll,4500,Tor@Mem 08:00PM ET,19.263,TOR,0,0,12.750,12.727,12.688,0.000,7.000,27.000,9.000,200.500,6.000
PG/SG,Darren Collison,4500,Sac@Cle 07:00PM ET,22.882,SAC,0,0,18.464,16.703,21.625,0.000,24.250,27.000,23.000,216.000,12.000
SG/SF,Evan Turner,4500,LAL@Por 10:30PM ET,21.279,POR,1,0,24.571,15.652,21.812,0.000,24.500,27.000,28.000,221.000,-8.500
PF,Nikola Mirotic,4400,Atl@Chi 08:00PM ET,20.738,CHI,1,0,18.643,13.262,15.438,0.000,19.000,26.400,10.750,202.500,1.500
SG,Tony Allen,4400,Tor@Mem 08:00PM ET,22.314,MEM,1,0,20.929,15.690,21.312,0.000,2.000,26.400,13.000,200.500,-6.000
PF,JaMychal Green,4400,Tor@Mem 08:00PM ET,22.989,MEM,1,0,21.786,16.087,25.000,2.299,22.000,26.400,24.750,200.500,-6.000
C,Tristan Thompson,4400,Sac@Cle 07:00PM ET,23.733,CLE,1,0,22.857,18.020,19.625,0.000,11.000,26.400,12.750,216.000,-12.000
PF/C,Nerlens Noel,4300,Phi@Mil 08:00PM ET,17.691,PHI,0,0,17.893,9.917,21.062,1.769,13.250,25.800,46.000,207.000,11.000
C,Clint Capela,4200,Hou@Bos 07:30PM ET,25.826,HOU,0,0,17.750,18.406,23.000,0.000,21.000,25.200,21.250,229.000,-4.000
SF/PF,Dario Saric,4200,Phi@Mil 08:00PM ET,20.936,PHI,0,0,23.607,13.226,21.562,0.000,21.500,25.200,33.000,207.000,11.000
PG,Michael Carter-Williams,4200,Atl@Chi 08:00PM ET,18.681,CHI,1,0,19.679,12.562,20.125,1.868,23.000,25.200,13.250,202.500,1.500
SG,Tim Hardaway Jr.,4200,Atl@Chi 08:00PM ET,19.041,ATL,0,0,22.000,11.295,18.938,0.000,12.000,25.200,13.000,202.500,-1.500
SG,Nick Young,4200,LAL@Por 10:30PM ET,20.872,LAL,0,0,18.607,13.211,22.500,0.000,8.500,25.200,13.500,221.000,8.500
PG/SG,Matthew Dellavedova,4100,Phi@Mil 08:00PM ET,19.628,MIL,1,0,19.714,13.400,17.250,0.000,14.750,24.600,29.750,207.000,-11.000
SG,Bojan Bogdanovic,4100,Mia@Bkn 07:30PM ET,21.818,BKN,1,0,21.893,15.540,22.938,0.000,3.000,24.600,11.250,215.000,3.000
PG,Ty Lawson,4100,Sac@Cle 07:00PM ET,20.464,SAC,0,0,24.536,12.139,23.812,2.046,20.000,24.600,34.250,216.000,12.000
PF/C,Amir Johnson,4000,Hou@Bos 07:30PM ET,16.855,BOS,1,0,21.393,9.761,15.000,0.000,18.750,24.000,0.000,229.000,4.000
SG/SF,Caris LeVert,4000,Mia@Bkn 07:30PM ET,14.978,BKN,1,1,17.929,8.596,25.188,0.000,6.750,24.000,19.750,215.000,3.000
SG,Jeremy Lamb,4000,GS@Cha 08:00PM ET,18.536,CHA,1,1,15.429,8.188,19.812,0.000,13.000,24.000,25.750,223.500,10.000
PF,Frank Kaminsky,4000,GS@Cha 08:00PM ET,20.948,CHA,1,1,24.714,14.804,24.312,0.000,9.000,24.000,17.000,223.500,10.000
PF/C,Lucas Nogueira,4000,Tor@Mem 08:00PM ET,17.611,TOR,0,0,13.500,11.162,19.312,0.000,2.500,24.000,26.000,200.500,6.000
PG/SG,Iman Shumpert,4000,Sac@Cle 07:00PM ET,16.375,CLE,1,0,17.000,11.159,25.375,0.000,23.250,24.000,18.500,216.000,-12.000
SG/SF,Garrett Temple,4000,Sac@Cle 07:00PM ET,17.915,SAC,0,0,23.464,12.478,22.938,0.000,27.750,24.000,22.250,216.000,12.000
SF/PF,Matt Barnes,4000,Sac@Cle 07:00PM ET,18.902,SAC,0,0,18.000,12.125,15.750,1.890,21.250,24.000,24.500,216.000,12.000
C,Joakim Noah,4000,NY@Dal 08:30PM ET,22.875,NY,0,0,20.107,15.359,22.625,2.288,9.000,24.000,11.000,204.000,3.000
SF/PF,Luol Deng,4000,LAL@Por 10:30PM ET,20.409,LAL,0,0,23.821,13.558,15.875,2.041,24.750,24.000,16.000,221.000,8.500
SF/PF,Rondae Hollis-Jefferson,3900,Mia@Bkn 07:30PM ET,19.363,BKN,1,0,20.393,13.609,21.125,0.000,8.750,23.400,12.250,215.000,3.000
SF,Wayne Ellington,3900,Mia@Bkn 07:30PM ET,17.940,MIA,0,0,11.607,10.396,21.188,0.000,30.000,23.400,24.500,215.000,-3.000
SG/SF,Marco Belinelli,3900,GS@Cha 08:00PM ET,18.800,CHA,1,0,17.643,13.048,22.750,0.000,11.000,23.400,27.750,223.500,10.000
C,Zaza Pachulia,3900,GS@Cha 08:00PM ET,18.524,GS,0,0,24.821,12.512,23.438,0.000,25.000,23.400,23.750,223.500,-10.000
PG,Cory Joseph,3900,Tor@Mem 08:00PM ET,18.278,TOR,0,0,21.607,12.660,13.062,0.000,6.500,23.400,20.250,200.500,6.000
PF/C,Kyle O'Quinn,3900,NY@Dal 08:30PM ET,17.739,NY,0,0,15.964,9.702,13.562,0.000,6.000,23.400,10.250,204.000,3.000
SF/PF,Sam Dekker,3800,Hou@Bos 07:30PM ET,15.932,HOU,0,0,17.214,10.607,22.688,0.000,19.750,22.800,5.250,229.000,-4.000
PG,Sergio Rodriguez,3800,Phi@Mil 08:00PM ET,22.395,PHI,0,0,22.679,14.105,19.875,0.000,4.000,22.800,23.250,207.000,11.000
PG,Jerian Grant,3800,Atl@Chi 08:00PM ET,10.986,CHI,1,0,12.107,4.934,12.625,0.000,23.000,22.800,9.750,202.500,1.500
SF,Maurice Harkless,3800,LAL@Por 10:30PM ET,22.432,POR,1,0,20.643,13.694,9.625,0.000,28.000,22.800,1.500,221.000,-8.500
C,Montrezl Harrell,3700,Hou@Bos 07:30PM ET,18.244,HOU,0,0,18.750,8.803,15.938,0.000,21.000,22.200,-0.500,229.000,-4.000
PF,Richaun Holmes,3700,Phi@Mil 08:00PM ET,16.022,PHI,0,0,14.500,6.900,10.062,0.000,14.000,22.200,24.250,207.000,11.000
C,Willie Reed,3700,Mia@Bkn 07:30PM ET,13.569,MIA,0,0,26.179,7.641,13.188,0.000,29.000,22.200,18.250,215.000,-3.000
SF,Doug McDermott,3700,Atl@Chi 08:00PM ET,16.788,CHI,1,0,17.536,10.059,12.500,0.000,24.000,22.200,18.750,202.500,1.500
SF,Andre Iguodala,3700,GS@Cha 08:00PM ET,18.029,GS,0,1,19.464,12.550,23.875,0.000,22.000,22.200,23.000,223.500,-10.000
PG,Andrew Harrison,3700,Tor@Mem 08:00PM ET,16.802,MEM,1,0,10.571,10.510,7.875,0.000,13.500,22.200,7.500,200.500,-6.000
SG/SF,Kyle Korver,3700,Sac@Cle 07:00PM ET,18.237,CLE,1,0,22.857,11.425,13.688,0.000,17.750,22.200,10.500,216.000,-12.000
SF,Andre Roberson,3700,OKC@NO 08:00PM ET,18.389,OKC,0,0,19.214,10.900,15.312,0.000,23.000,22.200,24.750,217.500,-1.500
SF/PF,Michael Beasley,3600,Phi@Mil 08:00PM ET,16.324,MIL,1,0,18.393,8.514,14.875,0.000,12.000,21.600,7.000,207.000,-11.000
SG/SF,Thabo Sefolosha,3600,Atl@Chi 08:00PM ET,19.649,ATL,0,0,16.500,13.048,14.438,0.000,10.000,21.600,18.250,202.500,-1.500
SG/SF,Norman Powell,3600,Tor@Mem 08:00PM ET,11.396,TOR,0,0,8.571,5.279,14.438,0.000,6.750,21.600,30.000,200.500,6.000
SF/PF,Anthony Tolliver,3600,Sac@Cle 07:00PM ET,13.953,SAC,0,0,14.286,7.015,11.625,0.000,21.250,21.600,12.500,216.000,12.000
PF/C,Channing Frye,3600,Sac@Cle 07:00PM ET,16.674,CLE,1,0,20.357,10.838,15.938,0.000,17.000,21.600,6.750,216.000,-12.000
SG,Courtney Lee,3600,NY@Dal 08:30PM ET,18.854,NY,0,0,19.500,13.145,24.125,0.000,4.000,21.600,23.000,204.000,3.000
SG/SF,Allen Crabbe,3600,LAL@Por 10:30PM ET,17.951,POR,1,0,23.286,12.481,12.250,0.000,24.500,21.600,17.000,221.000,-8.500
PF/C,Spencer Hawes,3500,GS@Cha 08:00PM ET,16.258,CHA,1,0,11.321,9.235,20.062,0.000,16.500,21.000,7.750,223.500,10.000
SG,J.R. Smith,3500,Sac@Cle 07:00PM ET,17.321,CLE,1,1,17.750,11.300,19.688,0.000,25.000,21.000,8.250,216.000,-12.000
SF,Omri Casspi,3500,Sac@Cle 07:00PM ET,13.614,SAC,0,1,16.964,7.100,9.062,0.000,27.000,21.000,4.750,216.000,12.000
SG,Nik Stauskas,3400,Phi@Mil 08:00PM ET,16.518,PHI,0,0,18.643,11.143,13.250,0.000,16.000,20.400,14.750,207.000,11.000
PG,Spencer Dinwiddie,3400,Mia@Bkn 07:30PM ET,14.107,BKN,1,0,17.464,6.825,15.125,0.000,8.000,20.400,22.500,215.000,3.000
PG,Shaun Livingston,3400,GS@Cha 08:00PM ET,11.413,GS,0,0,11.714,8.205,14.312,0.000,17.000,20.400,20.250,223.500,-10.000
PG,Ramon Sessions,3400,GS@Cha 08:00PM ET,13.567,CHA,1,0,15.786,9.950,17.875,0.000,17.000,20.400,14.750,223.500,10.000
SG/SF,Vince Carter,3400,Tor@Mem 08:00PM ET,17.737,MEM,1,0,18.179,12.852,19.750,0.000,7.000,20.400,14.750,200.500,-6.000
SG,Buddy Hield,3400,OKC@NO 08:00PM ET,15.600,NO,1,0,20.571,8.179,15.688,0.000,11.000,20.400,9.000,217.500,1.500
SF/PF,Dante Cunningham,3400,OKC@NO 08:00PM ET,15.156,NO,1,0,21.607,8.717,20.125,0.000,10.250,20.400,24.500,217.500,1.500
SF,Solomon Hill,3400,OKC@NO 08:00PM ET,15.523,NO,1,0,14.607,10.923,13.312,0.000,3.000,20.400,13.500,217.500,1.500
PF/C,Donatas Motiejunas,3400,OKC@NO 08:00PM ET,13.063,NO,1,0,13.083,7.650,11.500,0.000,15.750,20.400,24.500,217.500,1.500
C,John Henson,3300,Phi@Mil 08:00PM ET,18.134,MIL,1,0,18.571,11.607,19.875,0.000,27.000,19.800,23.250,207.000,-11.000
PG,Isaiah Whitehead,3300,Mia@Bkn 07:30PM ET,16.063,BKN,1,0,17.357,11.355,16.750,0.000,8.000,19.800,25.250,215.000,3.000
PF/C,Justin Hamilton,3300,Mia@Bkn 07:30PM ET,16.533,BKN,1,0,18.536,10.500,16.062,0.000,11.500,19.800,11.000,215.000,3.000
PF,Patrick Patterson,3300,Tor@Mem 08:00PM ET,19.206,TOR,0,0,15.786,13.219,11.312,0.000,4.000,19.800,19.500,200.500,6.000
PG,Brandon Jennings,3300,NY@Dal 08:30PM ET,19.962,NY,0,0,23.786,12.304,15.375,1.996,1.000,19.800,22.000,204.000,3.000
SF,Mindaugas Kuzminskas,3300,NY@Dal 08:30PM ET,10.994,NY,0,0,14.107,5.885,13.438,0.000,4.000,19.800,5.250,204.000,3.000
SG,E'Twaun Moore,3300,OKC@NO 08:00PM ET,17.945,NO,1,0,16.429,13.273,16.250,0.000,11.000,19.800,15.500,217.500,1.500
SF/PF,Larry Nance Jr.,3300,LAL@Por 10:30PM ET,18.784,LAL,0,0,16.179,11.850,17.188,0.000,24.750,19.800,6.750,221.000,8.500
SF,Tony Snell,3200,Phi@Mil 08:00PM ET,16.256,MIL,1,0,16.286,10.957,14.438,0.000,19.000,19.200,18.000,207.000,-11.000
PF/C,Kris Humphries,3200,Atl@Chi 08:00PM ET,11.167,ATL,0,0,15.571,5.023,16.188,0.000,13.750,19.200,3.750,202.500,-1.500
SF,Chandler Parsons,3200,Tor@Mem 08:00PM ET,12.737,MEM,1,0,14.179,7.143,16.312,0.000,12.000,19.200,27.000,200.500,-6.000
SF,James Ennis III,3200,Tor@Mem 08:00PM ET,17.320,MEM,1,0,12.393,11.047,14.375,0.000,12.000,19.200,8.250,200.500,-6.000
SG,Justin Holiday,3200,NY@Dal 08:30PM ET,15.033,NY,0,0,17.143,9.357,19.125,0.000,4.000,19.200,28.250,204.000,3.000
PG,Langston Galloway,3200,OKC@NO 08:00PM ET,17.108,NO,1,0,20.393,10.010,22.188,0.000,21.500,19.200,26.000,217.500,1.500
PF,Dwight Powell,3100,NY@Dal 08:30PM ET,17.705,DAL,1,0,16.893,11.979,16.062,0.000,21.000,18.600,28.750,204.000,-3.000
SF/PF,Jerami Grant,3100,OKC@NO 08:00PM ET,13.267,OKC,0,0,13.429,9.393,14.688,0.000,24.750,18.600,8.000,217.500,-1.500
C,Tarik Black,3100,LAL@Por 10:30PM ET,14.694,LAL,0,0,9.679,9.292,16.062,0.000,28.000,18.600,0.000,221.000,8.500
C,Timofey Mozgov,3100,LAL@Por 10:30PM ET,16.122,LAL,0,0,13.571,10.673,15.438,0.000,28.000,18.600,14.500,221.000,8.500
PG,Bobby Brown,3000,Hou@Bos 07:30PM ET,1.558,HOU,0,0,1.071,0.525,2.562,0.000,24.000,18.000,0.000,229.000,-4.000
PG,Demetrius Jackson,3000,Hou@Bos 07:30PM ET,5.000,BOS,1,1,7.625,1.583,5.000,0.000,9.500,18.000,2.750,229.000,4.000
PG,Terry Rozier,3000,Hou@Bos 07:30PM ET,14.135,BOS,1,0,13.607,8.287,16.562,0.000,9.500,18.000,14.250,229.000,4.000
PG,Tyler Ennis,3000,Hou@Bos 07:30PM ET,4.463,HOU,0,0,4.107,1.267,1.625,0.000,24.000,18.000,-0.500,229.000,-4.000
SG/SF,Corey Brewer,3000,Hou@Bos 07:30PM ET,9.760,HOU,0,0,10.321,5.853,10.875,0.000,14.250,18.000,-0.500,229.000,-4.000
SG,Gerald Green,3000,Hou@Bos 07:30PM ET,10.000,BOS,1,1,10.500,4.661,5.125,0.000,26.500,18.000,1.500,229.000,4.000
SG,James Young,3000,Hou@Bos 07:30PM ET,3.854,BOS,1,0,2.500,0.594,4.000,0.000,26.500,18.000,7.500,229.000,4.000
SF,K.J. McDaniels,3000,Hou@Bos 07:30PM ET,5.590,HOU,0,0,4.000,2.109,3.875,0.000,14.500,18.000,3.250,229.000,-4.000
SF,Jaylen Brown,3000,Hou@Bos 07:30PM ET,9.552,BOS,1,0,11.214,4.729,14.812,0.000,25.000,18.000,15.250,229.000,4.000
PF,Jonas Jerebko,3000,Hou@Bos 07:30PM ET,11.244,BOS,1,0,10.000,6.310,8.438,0.000,15.500,18.000,16.250,229.000,4.000
PF,Kyle Wiltjer,3000,Hou@Bos 07:30PM ET,2.306,HOU,0,0,1.042,0.375,1.000,0.000,25.000,18.000,3.250,229.000,-4.000
