Name,Salary,Position,teamAbbrev,AvgPointsPerGame,expectedScore,atHome,opponent,injured,fpWithBonus,penalty,Final,O/U,odds
Stephen Curry,8300,PG,GS,42.093,110,1,POR,0,41.093,0.000,53.250,222.500,-16.000
Draymond Green,7500,PF/C,GS,39.689,110,1,POR,0,41.689,0.000,42.250,222.500,-16.000
Andre Iguodala,3400,SF,GS,17.287,110,1,POR,0,17.287,0.000,25.750,222.500,-16.000
Zaza Pachulia,3300,C,GS,17.040,110,1,POR,0,17.040,0.000,25.750,222.500,-16.000
Shaun Livingston,3600,PG,GS,10.949,110,1,POR,0,10.949,0.000,14.500,222.500,-16.000
Ian Clark,3000,PG/SG,GS,12.445,110,1,POR,0,12.445,0.000,7.000,222.500,-16.000
David West,3000,PF,GS,12.307,110,1,POR,0,12.307,0.000,12.000,222.500,-16.000
Damian Jones,3000,C,GS,-1.000,110,1,POR,0,-1.000,0.000,0.000,222.500,-16.000
Kevon Looney,3000,PF,GS,8.366,110,1,POR,0,8.366,0.000,0.000,222.500,-16.000
Anderson Varejao,3000,C,GS,6.000,110,1,POR,0,6.000,0.000,0.000,222.500,-16.000
James Michael McAdoo,3000,PF,GS,3.036,110,1,POR,0,3.036,0.000,0.000,222.500,-16.000
DeMarcus Cousins,11500,PF/C,SAC,52.894,101,1,MIA,0,52.894,0.000,30.000,204.000,-7.500
Darren Collison,4500,PG,SAC,23.067,101,1,MIA,0,23.067,0.000,19.000,204.000,-7.500
Matt Barnes,4200,SF/PF,SAC,19.188,101,1,MIA,0,19.188,0.000,29.250,204.000,-7.500
Garrett Temple,3600,PG/SG,SAC,17.147,101,1,MIA,0,17.147,0.000,23.500,204.000,-7.500
Arron Afflalo,3000,SG,SAC,12.880,101,1,MIA,0,12.880,0.000,17.750,204.000,-7.500
Kosta Koufos,3500,C,SAC,15.963,101,1,MIA,0,15.963,0.000,17.500,204.000,-7.500
Anthony Tolliver,3700,PF,SAC,12.455,101,1,MIA,0,12.455,0.000,20.750,204.000,-7.500
Omri Casspi,3300,SF/PF,SAC,13.813,101,1,MIA,0,13.813,0.000,0.000,204.000,-7.500
Ben McLemore,3000,SG,SAC,9.813,101,1,MIA,0,9.813,0.000,0.000,204.000,-7.500
Willie Cauley-Stein,3000,C,SAC,9.000,101,1,MIA,0,9.000,0.000,9.250,204.000,-7.500
Skal Labissiere,3000,PF,SAC,4.625,101,1,MIA,0,4.625,0.000,0.000,204.000,-7.500
Malachi Richardson,3000,SG,SAC,5.700,101,1,MIA,0,5.700,0.000,0.000,204.000,-7.500
Georgios Papagiannis,3000,C,SAC,1.375,101,1,MIA,0,1.375,0.000,0.000,204.000,-7.500
Jimmy Butler,9000,SG/SF,CHI,44.229,103,0,CLE,0,46.229,0.000,43.000,204.000,4.000
Rajon Rondo,5500,PG,CHI,28.422,103,0,CLE,0,28.422,0.000,0.000,204.000,4.000
Robin Lopez,4400,C,CHI,23.050,103,0,CLE,0,23.050,0.000,14.750,204.000,4.000
Taj Gibson,4500,PF/C,CHI,25.143,103,0,CLE,0,25.143,0.000,30.250,204.000,4.000
Doug McDermott,3500,SF,CHI,16.045,103,0,CLE,0,16.045,0.000,29.500,204.000,4.000
Nikola Mirotic,4300,SF/PF,CHI,21.326,103,0,CLE,0,21.326,0.000,28.000,204.000,4.000
Michael Carter-Williams,4500,PG,CHI,17.063,103,0,CLE,0,17.063,0.000,24.250,204.000,4.000
Isaiah Canaan,3000,PG,CHI,11.212,103,0,CLE,0,11.212,0.000,0.000,204.000,4.000
Jerian Grant,3500,PG,CHI,9.991,103,0,CLE,0,9.991,0.000,14.000,204.000,4.000
Cristiano Felicio,3000,C,CHI,11.500,103,0,CLE,0,11.500,0.000,8.500,204.000,4.000
Bobby Portis,3000,PF,CHI,9.141,103,0,CLE,0,9.141,0.000,0.000,204.000,4.000
Paul Zipser,3000,SF,CHI,2.750,103,0,CLE,0,2.750,0.000,0.000,204.000,4.000
Carmelo Anthony,7100,SF,NY,36.508,105,1,MIL,0,38.508,0.000,60.750,213.000,3.500
