Name,Salary,Position,teamAbbrev,AvgPointsPerGame,expectedScore,atHome,opponent,injured,penalty,Final,O/U,odds
Harrison Barnes,6700,SF/PF,DAL,31.368,101,1,WAS,0,0.000,44.250,202.000,-1.000
Wesley Matthews,5600,SG,DAL,26.864,101,1,WAS,0,0.000,20.500,202.000,-1.000
Seth Curry,4200,SG,DAL,20.308,101,1,WAS,0,0.000,23.750,202.000,-1.000
Dorian Finney-Smith,3100,SF,DAL,12.076,101,1,WAS,0,0.000,10.000,202.000,-1.000
Dirk Nowitzki,4100,PF,DAL,21.722,101,1,WAS,0,0.000,22.750,202.000,-1.000
Dwight Powell,3900,PF/C,DAL,18.831,101,1,WAS,0,0.000,14.750,202.000,-1.000
Justin Anderson,3200,SG/SF,DAL,15.656,101,1,WAS,0,0.000,2.500,202.000,-1.000
Devin Harris,3000,PG,DAL,9.569,101,1,WAS,0,0.000,27.500,202.000,-1.000
Salah Mejri,3000,C,DAL,11.358,101,1,WAS,0,0.000,1.250,202.000,-1.000
Nicolas Brussino,3000,SG,DAL,5.100,101,1,WAS,0,0.000,0.000,202.000,-1.000
A.J. Hammons,3000,C,DAL,3.794,101,1,WAS,0,0.000,0.000,202.000,-1.000
Danilo Gallinari,5900,SF,DEN,28.863,106,1,SAC,0,0.000,37.000,214.500,-3.500
Wilson Chandler,5600,SF/PF,DEN,30.137,106,1,SAC,0,0.000,19.750,214.500,-3.500
Will Barton,5500,SG/SF,DEN,26.523,106,1,SAC,0,0.000,9.500,214.500,-3.500
Emmanuel Mudiay,4700,PG,DEN,24.871,106,1,SAC,0,0.000,16.500,214.500,-3.500
Gary Harris,4700,SG,DEN,23.214,106,1,SAC,0,0.000,24.250,214.500,-3.500
Jameer Nelson,3300,PG,DEN,18.868,106,1,SAC,0,0.000,12.750,214.500,-3.500
Nikola Jokic,6900,C,DEN,30.315,106,1,SAC,0,0.000,37.000,214.500,-3.500
Jamal Murray,3100,PG/SG,DEN,16.162,106,1,SAC,0,0.000,4.500,214.500,-3.500
Jusuf Nurkic,3100,C,DEN,21.875,106,1,SAC,0,0.000,32.500,214.500,-3.500
Malik Beasley,3000,PG,DEN,4.611,106,1,SAC,0,0.000,3.250,214.500,-3.500
Mike Miller,3000,SG,DEN,5.250,106,1,SAC,0,0.000,0.000,214.500,-3.500
Mike Conley,6500,PG,MEM,34.813,102,0,LAL,0,0.000,28.750,207.000,-5.000
JaMychal Green,4800,PF,MEM,23.764,102,0,LAL,0,0.000,12.500,207.000,-5.000
Tony Allen,5000,SG,MEM,22.319,102,0,LAL,0,0.000,17.000,207.000,-5.000
Andrew Harrison,4900,PG,MEM,18.493,102,0,LAL,0,0.000,11.750,207.000,-5.000
Vince Carter,3200,SG/SF,MEM,17.914,102,0,LAL,0,0.000,19.500,207.000,-5.000
Zach Randolph,5600,PF/C,MEM,26.767,102,0,LAL,0,0.000,26.250,207.000,-5.000
Troy Daniels,3100,SG,MEM,15.370,102,0,LAL,0,0.000,16.500,207.000,-5.000
Chandler Parsons,3400,SF,MEM,11.659,102,0,LAL,0,0.000,6.000,207.000,-5.000
Troy Williams,3000,SG,MEM,10.720,102,0,LAL,0,0.000,0.000,207.000,-5.000
Jarell Martin,3000,PF/C,MEM,10.786,102,0,LAL,0,0.000,2.500,207.000,-5.000
Kentavious Caldwell-Pope,5600,SG,DET,26.914,101,1,IND,0,0.000,29.750,205.000,-5.000
Tobias Harris,6200,SF/PF,DET,27.958,101,1,IND,0,0.000,32.250,205.000,-5.000
Marcus Morris,4200,SF,DET,23.050,101,1,IND,0,0.000,23.750,205.000,-5.000
Andre Drummond,7300,C,DET,37.971,101,1,IND,0,0.000,48.000,205.000,-5.000
Reggie Jackson,6000,PG,DET,26.950,101,1,IND,0,0.000,52.250,205.000,-5.000
Jon Leuer,4800,PF,DET,23.350,101,1,IND,0,0.000,26.750,205.000,-5.000
Ish Smith,3200,PG,DET,22.042,101,1,IND,0,0.000,8.000,205.000,-5.000
Beno Udrih,3000,PG,DET,13.635,101,1,IND,0,0.000,0.000,205.000,-5.000
Stanley Johnson,3000,SG/SF,DET,9.883,101,1,IND,0,0.000,4.250,205.000,-5.000
Darrun Hilliard,3000,SG,DET,6.845,101,1,IND,0,0.000,0.000,205.000,-5.000
Boban Marjanovic,3000,C,DET,5.654,101,1,IND,0,0.000,13.000,205.000,-5.000
Henry Ellenson,3000,PF,DET,2.250,101,1,IND,0,0.000,0.000,205.000,-5.000
Michael Gbinije,3000,SF,DET,1.344,101,1,IND,0,0.000,0.000,205.000,-5.000
Kawhi Leonard,8500,SF,SA,41.352,104,1,TOR,0,0.000,45.500,206.000,-6.000
LaMarcus Aldridge,7600,PF/C,SA,32.556,104,1,TOR,0,0.000,42.750,206.000,-6.000
Pau Gasol,6100,C,SA,29.406,104,1,TOR,0,0.000,22.500,206.000,-6.000
Danny Green,3900,SG,SA,17.808,104,1,TOR,0,0.000,13.250,206.000,-6.000
